symbol,day_n,day_start,day_end,min5_n,min5_start,min5_end,med_tv_cr,split_flags,worst_gap,gap_dates
ASTRAZEN,5361,2005-01-03,2026-09-11,185242,2015-02-02,2026-07-16,1.13,0,1.222,
ATUL,5363,2005-01-03,2026-09-11,185439,2015-02-02,2026-07-16,2.44,0,1.214,
AUROPHARMA,5364,2005-01-03,2026-09-15,185491,2015-02-02,2026-07-16,94.95,0,1.247,
AXISBANK,5845,2003-01-01,2026-09-15,184973,2015-02-02,2026-07-16,279.34,0,1.229,
BAJAJ-AUTO,4522,2008-05-26,2026-09-15,184973,2015-02-02,2026-07-16,80.77,0,1.177,
BAJAJCON,3975,2010-08-18,2026-09-15,185463,2015-02-02,2026-07-16,3.04,0,1.161,
BAJAJELEC,4658,2007-11-02,2026-09-11,185482,2015-02-02,2026-07-16,3.69,0,1.322,
BAJAJFINSV,4522,2008-05-26,2026-09-15,184973,2015-02-02,2026-07-16,58.67,0,1.231,
BAJAJHLDNG,5364,2005-01-03,2026-09-15,185451,2015-02-02,2026-07-16,6.35,0,1.22,
BAJFINANCE,5363,2005-01-03,2026-09-15,184973,2015-02-02,2026-07-16,30.3,8,2.0,2008-12-16;2008-12-18;2008-12-23;2008-12-24;2008-12-29;2008-12-30
BALKRISIND,5098,2006-01-27,2026-09-15,185432,2015-02-02,2026-07-16,5.5,0,1.236,
BALMLAWRIE,5363,2005-01-03,2026-09-11,185435,2015-02-02,2026-07-16,0.69,0,1.183,
BALRAMCHIN,5364,2005-01-03,2026-09-15,185488,2015-02-02,2026-07-16,18.72,0,1.196,
BANKBARODA,5364,2005-01-03,2026-09-15,185233,2015-02-02,2026-07-16,96.05,0,1.284,
BANKINDIA,5364,2005-01-03,2026-09-15,185488,2015-02-02,2026-07-16,42.77,0,1.18,
BANKNIFTY,3892,2011-01-03,2026-09-15,180969,2015-02-02,2026-03-25,0.0,0,1.11,
BASF,5363,2005-01-03,2026-09-11,185334,2015-02-02,2026-07-16,1.29,0,1.2,
BATAINDIA,5363,2005-01-03,2026-09-11,185489,2015-02-02,2026-07-16,19.38,0,1.186,
BAYERCROP,4126,2010-01-08,2026-09-11,185130,2015-02-02,2026-07-16,3.53,0,1.192,
BEL,5364,2005-01-03,2026-09-15,184973,2015-02-02,2026-07-16,34.02,0,1.204,
BEML,5364,2005-01-03,2026-09-15,185484,2015-02-02,2026-07-16,18.32,0,1.256,
BERGEPAINT,5363,2005-01-03,2026-09-11,185488,2015-02-02,2026-07-16,7.31,0,1.208,
BHARATFORG,5364,2005-01-03,2026-09-15,185490,2015-02-02,2026-07-16,53.57,0,1.233,
BHARTIARTL,5845,2003-01-01,2026-09-15,186063,2015-02-02,2026-07-16,168.85,0,1.188,
BHEL,5364,2005-01-03,2026-09-15,185488,2015-02-02,2026-07-16,107.51,0,1.166,
BIOCON,5364,2005-01-03,2026-09-15,185489,2015-02-02,2026-07-16,20.64,0,1.222,
BIRLACORPN,5363,2005-01-03,2026-09-11,185258,2015-02-02,2026-07-16,2.98,0,1.24,
BLUESTARCO,5364,2005-01-03,2026-09-15,185426,2015-02-02,2026-07-16,1.46,0,1.25,
BOSCHLTD,5364,2005-01-03,2026-09-15,185488,2015-02-02,2026-07-16,21.57,0,1.192,
BPCL,5827,2003-01-27,2026-09-15,184972,2015-02-02,2026-07-16,73.39,0,1.498,
BRIGADE,4619,2007-12-31,2026-09-11,185385,2015-02-02,2026-07-16,0.92,0,1.336,
BRITANNIA,5827,2003-01-27,2026-09-15,184971,2015-02-02,2026-07-16,10.33,0,1.228,
BSOFT,5363,2005-01-03,2026-09-11,185487,2015-02-02,2026-07-16,7.46,0,1.25,
CANBK,5364,2005-01-03,2026-09-15,185489,2015-02-02,2026-07-16,66.12,0,1.165,
CANFINHOME,5363,2005-01-03,2026-09-11,185487,2015-02-02,2026-07-16,2.91,0,1.198,
CAPLIPOINT,3023,2014-06-23,2026-09-15,185410,2015-02-02,2026-07-16,4.34,0,1.211,
CARBORUNIV,5363,2005-01-03,2026-09-11,185188,2015-02-02,2026-07-16,0.91,0,1.231,
CARERATING,3390,2012-12-26,2026-09-11,185434,2015-02-02,2026-07-16,4.9,0,1.097,
CASTROLIND,4713,2007-08-16,2026-09-11,185489,2015-02-02,2026-07-16,9.92,0,1.25,
CCL,5363,2005-01-03,2026-09-11,185265,2015-02-02,2026-07-16,1.25,0,1.196,
CEATLTD,5363,2005-01-03,2026-09-11,185487,2015-02-02,2026-07-16,12.42,0,1.251,
CENTRALBK,4710,2007-08-21,2026-09-11,185489,2015-02-02,2026-07-16,5.35,0,1.249,
CENTURYPLY,5060,2006-03-23,2026-09-11,185486,2015-02-02,2026-07-16,2.9,0,1.25,
CERA,4587,2007-11-02,2026-09-11,185270,2015-02-02,2026-07-16,1.18,0,1.25,
CESC,5363,2005-01-03,2026-09-11,185489,2015-02-02,2026-07-16,15.87,0,1.23,
CGCL,3885,2010-10-29,2026-09-15,183343,2015-02-02,2026-07-16,1.55,0,1.25,
