label,symbol,strategy,strike_dist,hold_period,signal,lots,total_trades,win_rate,total_pnl,total_return_pct,cagr_pct,profit_factor,max_drawdown_pct,avg_premium,avg_zone_width_pct,zone_hold_rate,max_consecutive_losses,avg_pnl_per_trade,avg_win,avg_loss,max_win,max_loss,final_capital
BANKNIFTY_iron_condor_weekly_BB+ATR_SD2.5_L3,BANKNIFTY,iron_condor,2.5,weekly,BB+ATR,3,33,75.76,551.25,0.06,0.02,1.01,3.13,124.84,5.54,66.67,1,16.7,3129.92,-9712.11,5627.55,-26533.5,1000551.25
BANKNIFTY_iron_condor_weekly_BB+ATR_SD2.5_L5,BANKNIFTY,iron_condor,2.5,weekly,BB+ATR,5,33,75.76,20775.0,2.08,0.7,1.19,4.63,124.84,5.54,66.67,1,629.55,5216.54,-13704.81,9379.25,-30000.0,1020775.0
BANKNIFTY_iron_condor_weekly_BB+ATR_SD3.0_L3,BANKNIFTY,iron_condor,3.0,weekly,BB+ATR,3,33,78.79,-12325.05,-1.23,-0.42,0.79,2.85,79.07,6.66,81.82,1,-373.49,1760.54,-8299.89,3173.7,-20380.65,987674.95
BANKNIFTY_iron_condor_weekly_BB+ATR_SD3.0_L5,BANKNIFTY,iron_condor,3.0,weekly,BB+ATR,5,33,78.79,-16574.0,-1.66,-0.56,0.82,4.75,79.07,6.66,81.82,1,-502.24,2934.24,-13266.32,5289.5,-30063.25,983426.0
BANKNIFTY_iron_condor_weekly_BB_only_SD1.5_L3,BANKNIFTY,iron_condor,1.5,weekly,BB_only,3,52,67.31,41548.35,4.15,1.4,1.22,4.03,281.4,3.51,38.46,3,799.01,6531.32,-11002.81,12777.15,-25814.85,1041548.35
BANKNIFTY_iron_condor_weekly_BB_only_SD1.5_L5,BANKNIFTY,iron_condor,1.5,weekly,BB_only,5,52,67.31,104634.0,10.46,3.45,1.38,5.7,281.4,3.51,38.46,3,2012.19,10885.53,-16256.44,21295.25,-31429.75,1104634.0
BANKNIFTY_iron_condor_weekly_BB_only_SD2.0_L3,BANKNIFTY,iron_condor,2.0,weekly,BB_only,3,52,71.15,21418.05,2.14,0.73,1.13,3.94,195.27,4.7,55.77,3,411.89,4984.95,-10868.34,9302.25,-28588.2,1021418.05
BANKNIFTY_iron_condor_weekly_BB_only_SD2.0_L5,BANKNIFTY,iron_condor,2.0,weekly,BB_only,5,52,71.15,78114.0,7.81,2.6,1.34,5.11,195.27,4.7,55.77,3,1502.19,8308.25,-15286.08,15503.75,-30000.0,1078114.0
BANKNIFTY_iron_condor_weekly_BB_only_SD2.5_L3,BANKNIFTY,iron_condor,2.5,weekly,BB_only,3,52,73.08,2710.5,0.27,0.09,1.02,3.82,131.22,5.87,67.31,3,52.13,3589.22,-9548.55,7148.55,-30000.0,1002710.5
BANKNIFTY_iron_condor_weekly_BB_only_SD2.5_L5,BANKNIFTY,iron_condor,2.5,weekly,BB_only,5,52,73.08,41832.5,4.18,1.41,1.23,4.16,131.22,5.87,67.31,3,804.47,5982.03,-13248.89,11914.25,-30000.0,1041832.5
