symbol,timeframe,signal,category,zone_width_atr,hold_period,zone_hold_rate,avg_zone_duration,avg_break_magnitude,max_break_magnitude,signal_frequency,total_signals,total_bars,score
NIFTY50,daily,ATR_CONTRACT_20,volatility,2.0,7,29.09,4.16,1.17,5.26,44.59,330,740,0.5666
NIFTY50,daily,ATR_CONTRACT_20,volatility,2.0,10,15.45,4.75,1.52,5.99,44.59,330,740,0.4747
NIFTY50,daily,ATR_CONTRACT_20,volatility,2.0,15,6.67,5.21,1.95,7.3,44.59,330,740,0.3963
NIFTY50,daily,ATR_CONTRACT_20,volatility,2.0,20,3.64,5.43,2.33,7.81,44.59,330,740,0.3541
NIFTY50,daily,ATR_CONTRACT_20,volatility,2.5,1,98.48,0.98,0.32,0.82,44.59,330,740,0.9565
NIFTY50,daily,ATR_CONTRACT_20,volatility,2.5,3,83.94,2.75,0.67,2.13,44.59,330,740,0.8708
NIFTY50,daily,ATR_CONTRACT_20,volatility,2.5,5,62.73,4.1,0.88,3.76,44.59,330,740,0.7581
NIFTY50,daily,ATR_CONTRACT_20,volatility,2.5,7,47.88,5.12,1.1,4.72,44.59,330,740,0.6722
NIFTY50,daily,ATR_CONTRACT_20,volatility,2.5,10,29.7,6.19,1.35,5.46,44.59,330,740,0.567
NIFTY50,daily,ATR_CONTRACT_20,volatility,2.5,15,17.58,7.26,1.74,6.98,44.59,330,740,0.4758
NIFTY50,daily,ATR_CONTRACT_20,volatility,2.5,20,9.39,7.88,2.03,7.49,44.59,330,740,0.4137
NIFTY50,daily,TTM_SQUEEZE,volatility,1.0,1,78.57,0.79,0.39,0.42,1.89,14,740,0.6636
NIFTY50,daily,TTM_SQUEEZE,volatility,1.0,3,14.29,1.36,0.97,3.69,1.89,14,740,0.3163
NIFTY50,daily,TTM_SQUEEZE,volatility,1.0,5,7.14,1.57,1.61,3.69,1.89,14,740,0.2348
NIFTY50,daily,TTM_SQUEEZE,volatility,1.0,7,0.0,1.57,2.15,6.08,1.89,14,740,0.1663
NIFTY50,daily,TTM_SQUEEZE,volatility,1.0,10,0.0,1.57,2.77,8.37,1.89,14,740,0.1281
NIFTY50,daily,TTM_SQUEEZE,volatility,1.0,15,0.0,1.69,3.23,8.93,1.89,14,740,0.1008
NIFTY50,daily,TTM_SQUEEZE,volatility,1.0,20,0.0,1.73,2.32,3.82,1.89,14,740,0.132
NIFTY50,daily,TTM_SQUEEZE,volatility,1.5,1,92.86,0.93,0.01,0.01,1.89,14,740,0.7645
NIFTY50,daily,TTM_SQUEEZE,volatility,1.5,3,64.29,2.36,1.51,3.2,1.89,14,740,0.5613
NIFTY50,daily,TTM_SQUEEZE,volatility,1.5,5,14.29,2.86,1.25,3.2,1.89,14,740,0.3292
NIFTY50,daily,TTM_SQUEEZE,volatility,1.5,7,7.14,3.0,1.81,5.59,1.89,14,740,0.2494
NIFTY50,daily,TTM_SQUEEZE,volatility,1.5,10,7.14,3.21,2.48,7.89,1.89,14,740,0.2013
NIFTY50,daily,TTM_SQUEEZE,volatility,1.5,15,0.0,3.38,2.76,8.43,1.89,14,740,0.1424
NIFTY50,daily,TTM_SQUEEZE,volatility,1.5,20,0.0,3.55,1.85,3.48,1.89,14,740,0.1691
NIFTY50,daily,TTM_SQUEEZE,volatility,2.0,1,100.0,1.0,0,0,1.89,14,740,0.8076
NIFTY50,daily,TTM_SQUEEZE,volatility,2.0,3,64.29,2.5,1.05,2.72,1.89,14,740,0.5892
NIFTY50,daily,TTM_SQUEEZE,volatility,2.0,5,28.57,3.21,1.0,2.72,1.89,14,740,0.4103
NIFTY50,daily,TTM_SQUEEZE,volatility,2.0,7,21.43,3.71,1.66,5.1,1.89,14,740,0.3329
NIFTY50,daily,TTM_SQUEEZE,volatility,2.0,10,14.29,4.14,2.21,7.4,1.89,14,740,0.2591
NIFTY50,daily,TTM_SQUEEZE,volatility,2.0,15,0.0,4.77,2.28,7.94,1.89,14,740,0.1799
NIFTY50,daily,TTM_SQUEEZE,volatility,2.0,20,0.0,5.18,1.38,3.13,1.89,14,740,0.2043
NIFTY50,daily,TTM_SQUEEZE,volatility,2.5,1,100.0,1.0,0,0,1.89,14,740,0.8076
NIFTY50,daily,TTM_SQUEEZE,volatility,2.5,3,85.71,2.79,1.6,2.23,1.89,14,740,0.6721
NIFTY50,daily,TTM_SQUEEZE,volatility,2.5,5,64.29,4.07,1.35,2.23,1.89,14,740,0.5734
NIFTY50,daily,TTM_SQUEEZE,volatility,2.5,7,42.86,5.0,1.74,4.61,1.89,14,740,0.4522
NIFTY50,daily,TTM_SQUEEZE,volatility,2.5,10,28.57,6.0,2.17,6.91,1.89,14,740,0.3551
NIFTY50,daily,TTM_SQUEEZE,volatility,2.5,15,30.77,7.92,2.66,7.44,1.89,14,740,0.3299
NIFTY50,daily,TTM_SQUEEZE,volatility,2.5,20,18.18,9.82,1.14,2.78,1.89,14,740,0.3328
NIFTY50,daily,HV_LOW_10,volatility,1.0,1,69.82,0.7,0.39,2.82,44.32,328,740,0.7805
NIFTY50,daily,HV_LOW_10,volatility,1.0,3,22.87,1.33,0.77,3.69,44.32,328,740,0.527
NIFTY50,daily,HV_LOW_10,volatility,1.0,5,6.71,1.53,1.15,6.03,44.32,328,740,0.4196
NIFTY50,daily,HV_LOW_10,volatility,1.0,7,1.52,1.58,1.47,6.29,44.32,328,740,0.3694
NIFTY50,daily,HV_LOW_10,volatility,1.0,10,0.0,1.59,1.97,8.37,44.32,328,740,0.33
NIFTY50,daily,HV_LOW_10,volatility,1.0,15,0.0,1.6,2.65,9.79,44.32,328,740,0.2927
NIFTY50,daily,HV_LOW_10,volatility,1.0,20,0.0,1.58,3.12,9.85,44.32,328,740,0.2684
NIFTY50,daily,HV_LOW_10,volatility,1.5,1,89.63,0.9,0.34,2.27,44.32,328,740,0.9017
NIFTY50,daily,HV_LOW_10,volatility,1.5,3,54.27,2.13,0.7,3.2,44.32,328,740,0.7084
NIFTY50,daily,HV_LOW_10,volatility,1.5,5,30.79,2.85,1.01,5.54,44.32,328,740,0.5742
NIFTY50,daily,HV_LOW_10,volatility,1.5,7,18.29,3.29,1.26,5.79,44.32,328,740,0.494
NIFTY50,daily,HV_LOW_10,volatility,1.5,10,7.32,3.59,1.64,7.89,44.32,328,740,0.4128
