label,symbol,strategy,strike_dist,hold_period,signal,total_trades,win_rate,total_pnl,total_return_pct,cagr_pct,profit_factor,max_drawdown_pct,avg_premium,avg_zone_width_pct,zone_hold_rate,max_consecutive_losses,avg_pnl_per_trade,avg_win,avg_loss,max_win,max_loss
NIFTY50_short_strangle_weekly_Consensus3_SD3.0,NIFTY50,short_strangle,3.0,weekly,Consensus3,36,69.44,-11286.5,-1.13,-0.39,0.61,1.7,40.13,5.86,77.78,3,-313.51,693.85,-2602.98,1586.25,-10987.25
NIFTY50_short_strangle_weekly_Consensus4_SD2.0,NIFTY50,short_strangle,2.0,weekly,Consensus4,10,70.0,-7853.0,-0.79,-0.27,0.6,1.23,95.35,3.67,60.0,2,-785.3,1649.93,-6467.5,3093.0,-10029.75
NIFTY50_short_strangle_weekly_Consensus4_SD2.5,NIFTY50,short_strangle,2.5,weekly,Consensus4,10,70.0,-7219.0,-0.72,-0.25,0.52,1.03,62.88,4.55,70.0,2,-721.9,1123.64,-5028.17,2099.5,-9181.0
NIFTY50_short_strangle_weekly_Consensus4_SD3.0,NIFTY50,short_strangle,3.0,weekly,Consensus4,10,70.0,-7992.0,-0.8,-0.27,0.37,0.92,38.7,5.51,70.0,2,-799.2,682.5,-4256.5,1210.75,-8333.25
NIFTY50_short_strangle_weekly_BB_only_SD2.0,NIFTY50,short_strangle,2.0,weekly,BB_only,55,70.91,8664.75,0.87,0.29,1.17,1.33,97.2,3.86,52.73,4,157.54,1495.78,-3104.42,4005.5,-10393.25
NIFTY50_short_strangle_weekly_BB_only_SD2.5,NIFTY50,short_strangle,2.5,weekly,BB_only,55,72.73,6313.0,0.63,0.21,1.18,1.15,63.05,4.83,72.73,4,114.78,1035.6,-2340.73,2648.0,-9181.0
NIFTY50_short_strangle_weekly_BB_only_SD3.0,NIFTY50,short_strangle,3.0,weekly,BB_only,55,76.36,-1151.25,-0.12,-0.04,0.96,1.01,39.36,5.8,80.0,3,-20.93,604.06,-2040.13,1621.75,-8333.25
NIFTY50_short_strangle_biweekly_BB+ATR_SD2.0,NIFTY50,short_strangle,2.0,biweekly,BB+ATR,26,57.69,-8337.5,-0.83,-0.28,0.84,2.2,216.28,3.74,19.23,3,-320.67,2976.35,-4816.61,6878.5,-18528.0
NIFTY50_short_strangle_biweekly_BB+ATR_SD2.5,NIFTY50,short_strangle,2.5,biweekly,BB+ATR,26,65.38,-3309.75,-0.33,-0.11,0.92,1.9,164.61,4.68,30.77,2,-127.3,2263.76,-4643.75,5665.25,-16248.0
NIFTY50_short_strangle_biweekly_BB+ATR_SD3.0,NIFTY50,short_strangle,3.0,biweekly,BB+ATR,26,69.23,-2637.0,-0.26,-0.09,0.92,1.68,122.69,5.63,42.31,2,-101.42,1763.96,-4298.53,4167.25,-14988.5
NIFTY50_short_strangle_biweekly_Consensus3_SD2.0,NIFTY50,short_strangle,2.0,biweekly,Consensus3,29,62.07,4867.25,0.49,0.16,1.09,1.63,224.07,3.96,20.69,2,167.84,3248.22,-4872.8,6878.5,-15216.5
NIFTY50_short_strangle_biweekly_Consensus3_SD2.5,NIFTY50,short_strangle,2.5,biweekly,Consensus3,29,62.07,5733.5,0.57,0.19,1.13,1.37,170.63,4.94,34.48,2,197.71,2752.17,-3982.32,5665.25,-13669.25
NIFTY50_short_strangle_biweekly_Consensus3_SD3.0,NIFTY50,short_strangle,3.0,biweekly,Consensus3,29,65.52,5916.5,0.59,0.2,1.17,1.2,127.74,5.93,58.62,2,204.02,2116.07,-3428.88,4167.25,-12157.0
NIFTY50_short_strangle_biweekly_Consensus4_SD2.0,NIFTY50,short_strangle,2.0,biweekly,Consensus4,10,50.0,-20175.75,-2.02,-0.68,0.52,2.02,214.95,3.67,30.0,2,-2017.58,4362.65,-8397.8,6625.75,-18528.0
NIFTY50_short_strangle_biweekly_Consensus4_SD2.5,NIFTY50,short_strangle,2.5,biweekly,Consensus4,10,50.0,-18626.25,-1.86,-0.63,0.49,1.86,165.52,4.55,50.0,2,-1862.62,3591.0,-7316.25,5456.25,-16248.0
NIFTY50_short_strangle_biweekly_Consensus4_SD3.0,NIFTY50,short_strangle,3.0,biweekly,Consensus4,10,50.0,-19202.0,-1.92,-0.65,0.42,1.92,122.82,5.51,50.0,2,-1920.2,2777.95,-6618.35,4187.25,-14988.5
NIFTY50_short_strangle_biweekly_BB_only_SD2.0,NIFTY50,short_strangle,2.0,biweekly,BB_only,40,62.5,-471.25,-0.05,-0.02,0.99,2.34,221.68,3.95,25.0,3,-11.78,3127.16,-5243.35,7341.5,-12746.25
NIFTY50_short_strangle_biweekly_BB_only_SD2.5,NIFTY50,short_strangle,2.5,biweekly,BB_only,40,62.5,1014.25,0.1,0.03,1.02,1.96,169.04,4.93,37.5,3,25.36,2661.2,-4367.72,5978.0,-11439.0
NIFTY50_short_strangle_biweekly_BB_only_SD3.0,NIFTY50,short_strangle,3.0,biweekly,BB_only,40,65.0,1207.5,0.12,0.04,1.02,1.65,127.2,5.89,57.5,3,30.19,2078.41,-3773.66,4670.0,-10682.25
NIFTY50_iron_condor_weekly_BB+ATR_SD2.0,NIFTY50,iron_condor,2.0,weekly,BB+ATR,33,60.61,-21000.0,-2.1,-0.72,0.46,2.16,70.57,3.64,51.52,4,-636.36,877.16,-2964.87,1949.0,-6294.5
NIFTY50_iron_condor_weekly_BB+ATR_SD2.5,NIFTY50,iron_condor,2.5,weekly,BB+ATR,33,60.61,-20615.75,-2.06,-0.7,0.35,2.08,46.99,4.55,57.58,4,-624.72,549.96,-2431.92,1291.25,-5761.5
NIFTY50_iron_condor_weekly_BB+ATR_SD3.0,NIFTY50,iron_condor,3.0,weekly,BB+ATR,33,57.58,-22932.0,-2.29,-0.78,0.17,2.3,30.18,5.48,69.7,4,-694.91,252.21,-1980.29,674.25,-5124.0
NIFTY50_iron_condor_weekly_Consensus3_SD2.0,NIFTY50,iron_condor,2.0,weekly,Consensus3,36,58.33,-17216.75,-1.72,-0.59,0.57,2.17,74.49,3.92,50.0,3,-478.24,1073.46,-2650.63,2379.0,-7022.5
NIFTY50_iron_condor_weekly_Consensus3_SD2.5,NIFTY50,iron_condor,2.5,weekly,Consensus3,36,61.11,-17920.25,-1.79,-0.61,0.43,1.94,49.66,4.89,61.11,3,-497.78,625.38,-2262.75,1622.25,-7257.75
NIFTY50_iron_condor_weekly_Consensus3_SD3.0,NIFTY50,iron_condor,3.0,weekly,Consensus3,36,58.33,-18983.75,-1.9,-0.65,0.25,1.96,32.27,5.86,77.78,3,-527.33,301.24,-1687.32,935.0,-7152.5
NIFTY50_iron_condor_weekly_Consensus4_SD2.0,NIFTY50,iron_condor,2.0,weekly,Consensus4,10,60.0,-6991.0,-0.7,-0.24,0.47,0.7,72.7,3.67,60.0,2,-699.1,1026.67,-3287.75,1949.0,-5865.0
NIFTY50_iron_condor_weekly_Consensus4_SD2.5,NIFTY50,iron_condor,2.5,weekly,Consensus4,10,60.0,-6565.5,-0.66,-0.22,0.37,0.66,49.73,4.55,70.0,2,-656.55,629.96,-2586.31,1291.25,-4621.5
NIFTY50_iron_condor_weekly_Consensus4_SD3.0,NIFTY50,iron_condor,3.0,weekly,Consensus4,10,60.0,-7836.5,-0.78,-0.27,0.18,0.78,31.14,5.51,70.0,2,-783.65,282.08,-2382.25,674.25,-4816.0
NIFTY50_iron_condor_weekly_BB_only_SD2.0,NIFTY50,iron_condor,2.0,weekly,BB_only,55,54.55,-15594.25,-1.56,-0.53,0.63,1.94,73.68,3.86,52.73,4,-283.53,900.02,-1703.8,2658.5,-6294.5
NIFTY50_iron_condor_weekly_BB_only_SD2.5,NIFTY50,iron_condor,2.5,weekly,BB_only,55,60.0,-13336.5,-1.33,-0.46,0.58,1.59,49.33,4.83,72.73,4,-242.48,548.23,-1428.55,1782.5,-5236.25
NIFTY50_iron_condor_weekly_BB_only_SD3.0,NIFTY50,iron_condor,3.0,weekly,BB_only,55,47.27,-18555.5,-1.86,-0.64,0.31,1.95,31.75,5.8,80.0,7,-337.37,315.47,-922.68,1017.0,-5124.0
NIFTY50_iron_condor_biweekly_BB+ATR_SD2.0,NIFTY50,iron_condor,2.0,biweekly,BB+ATR,26,46.15,-19629.75,-1.96,-0.66,0.43,2.01,125.94,3.74,19.23,3,-754.99,1220.15,-2447.96,3160.25,-6797.0
NIFTY50_iron_condor_biweekly_BB+ATR_SD2.5,NIFTY50,iron_condor,2.5,biweekly,BB+ATR,26,53.85,-14737.75,-1.47,-0.5,0.49,1.52,99.45,4.68,30.77,3,-566.84,996.16,-2390.33,2996.75,-6130.5
NIFTY50_iron_condor_biweekly_BB+ATR_SD3.0,NIFTY50,iron_condor,3.0,biweekly,BB+ATR,26,53.85,-14480.0,-1.45,-0.49,0.44,1.5,76.81,5.63,42.31,3,-556.92,827.54,-2172.12,2110.5,-6666.25
NIFTY50_iron_condor_biweekly_Consensus3_SD2.0,NIFTY50,iron_condor,2.0,biweekly,Consensus3,29,48.28,-14492.25,-1.45,-0.49,0.59,1.57,129.53,3.96,20.69,3,-499.73,1462.57,-2331.22,3160.25,-5279.25
NIFTY50_iron_condor_biweekly_Consensus3_SD2.5,NIFTY50,iron_condor,2.5,biweekly,Consensus3,29,51.72,-12583.0,-1.26,-0.43,0.6,1.45,102.17,4.94,34.48,2,-433.9,1235.3,-2222.32,2996.75,-4599.25
NIFTY50_iron_condor_biweekly_Consensus3_SD3.0,NIFTY50,iron_condor,3.0,biweekly,Consensus3,29,55.17,-11031.25,-1.1,-0.37,0.58,1.32,78.8,5.93,58.62,2,-380.39,958.41,-2028.13,2110.5,-4937.0
NIFTY50_iron_condor_biweekly_Consensus4_SD2.0,NIFTY50,iron_condor,2.0,biweekly,Consensus4,10,50.0,-9923.25,-0.99,-0.33,0.47,0.99,126.11,3.67,30.0,2,-992.32,1759.7,-3744.35,3035.75,-6797.0
NIFTY50_iron_condor_biweekly_Consensus4_SD2.5,NIFTY50,iron_condor,2.5,biweekly,Consensus4,10,50.0,-9195.0,-0.92,-0.31,0.46,0.92,101.17,4.55,50.0,2,-919.5,1592.75,-3431.75,2655.0,-6130.5
NIFTY50_iron_condor_biweekly_Consensus4_SD3.0,NIFTY50,iron_condor,3.0,biweekly,Consensus4,10,50.0,-11361.5,-1.14,-0.38,0.36,1.14,76.3,5.51,50.0,2,-1136.15,1253.0,-3525.3,2207.5,-6666.25
NIFTY50_iron_condor_biweekly_BB_only_SD2.0,NIFTY50,iron_condor,2.0,biweekly,BB_only,40,47.5,-23068.0,-2.31,-0.78,0.54,2.44,129.08,3.95,25.0,4,-576.7,1448.61,-2409.12,3317.25,-5217.0
NIFTY50_iron_condor_biweekly_BB_only_SD2.5,NIFTY50,iron_condor,2.5,biweekly,BB_only,40,47.5,-20281.0,-2.03,-0.69,0.55,2.19,101.16,4.93,37.5,4,-507.02,1298.04,-2140.18,2932.0,-5385.25
NIFTY50_iron_condor_biweekly_BB_only_SD3.0,NIFTY50,iron_condor,3.0,biweekly,BB_only,40,47.5,-20708.5,-2.07,-0.7,0.49,2.2,79.44,5.89,57.5,4,-517.71,1056.2,-1941.73,2404.5,-4865.75
