date,symbol,entry_time,exit_time,exit_reason,spot_at_entry,ce_strike,pe_strike,entry_premium,exit_premium,pnl,lots,dte,filter_used
2024-06-11,BANKNIFTY,11:20:00,13:00:00,time,49831.6,49800,49800,753.67,730.63,691.06,1,4,BANKNIFTY_BB+NoGap
2024-06-14,BANKNIFTY,11:25:00,13:00:00,time,49977.15,50000,50000,532.85,497.97,1046.42,1,2,BANKNIFTY_BB+NoGap
2024-06-18,BANKNIFTY,12:10:00,13:00:00,time,50309.6,50300,50300,379.64,353.58,781.87,1,1,BANKNIFTY_BB+NoGap
2024-06-26,BANKNIFTY,12:45:00,13:00:00,time,52894.65,52900,52900,398.81,403.95,-154.19,1,1,BANKNIFTY_BB+NoGap
2024-06-27,BANKNIFTY,12:05:00,13:00:00,time,52927.7,52900,52900,692.87,673.17,590.86,1,3,BANKNIFTY_BB+NoGap
2024-07-02,BANKNIFTY,11:05:00,13:00:00,time,52319.9,52300,52300,395.23,381.32,417.35,1,1,BANKNIFTY_BB+NoGap
2024-07-03,BANKNIFTY,11:05:00,13:00:00,time,53080.65,53100,53100,400.24,333.59,1999.3,1,1,BANKNIFTY_BB+NoGap
2024-07-04,BANKNIFTY,11:55:00,13:00:00,time,52895.15,52900,52900,798.18,790.86,219.72,1,4,BANKNIFTY_BB+NoGap
2024-07-10,BANKNIFTY,11:50:00,13:00:00,time,52161.1,52200,52200,393.88,357.51,1090.89,1,1,BANKNIFTY_BB+NoGap
2024-07-11,BANKNIFTY,11:45:00,13:00:00,time,51868.15,51900,51900,1035.15,1024.72,312.9,1,7,BANKNIFTY_BB+NoGap
2024-07-12,BANKNIFTY,12:25:00,13:00:00,time,52509.7,52500,52500,971.57,967.58,119.65,1,6,BANKNIFTY_BB+NoGap
2024-07-16,BANKNIFTY,11:30:00,13:00:00,time,52484.85,52500,52500,791.7,766.9,744.21,1,4,BANKNIFTY_BB+NoGap
2024-08-06,BANKNIFTY,11:40:00,13:00:00,time,50200.3,50200,50200,847.32,827.32,599.96,1,5,BANKNIFTY_BB+NoGap
