date,direction,entry_ts,entry_price,expiry,dte_entry_days,iv_used,pe_strike,ce_strike,pe_credit,ce_credit,total_credit,exit_ts,exit_price,exit_reason,pe_exit,ce_exit,total_exit_value,gross_pnl_per_unit,gross_pnl_per_lot,slippage_total,brokerage_total,stt,net_pnl_per_lot
2026-01-01,SHORT,2026-01-01 12:10:00,26125.0,2026-01-06,5,0.0728,25950.0,26300.0,22.58,33.08,55.66,2026-01-01 15:25:00,26140.25,EOD,19.9,37.07,56.97,-1.31,-85.15,260.0,80.0,1.81,-426.96
2026-01-02,LONG,2026-01-02 11:25:00,26273.25,2026-01-06,4,0.07,26200.0,26450.0,39.31,22.49,61.8,2026-01-02 15:25:00,26335.7,EOD,23.03,38.6,61.63,0.17,11.05,260.0,80.0,2.01,-330.96
2026-01-05,LONG,2026-01-05 10:20:00,26367.7,2026-01-06,1,0.0719,26350.0,26400.0,29.36,27.31,56.67,2026-01-05 13:50:00,26262.23,SL,94.16,4.11,98.27,-41.6,-2704.0,260.0,80.0,1.84,-3045.84
2026-01-06,SHORT,2026-01-06 11:15:00,26156.6,2026-01-13,7,0.0734,25900.0,26350.0,18.39,44.8,63.19,2026-01-06 15:25:00,26174.65,EOD,16.07,49.97,66.04,-2.85,-185.25,260.0,80.0,2.05,-527.3
2026-01-07,SHORT,2026-01-07 12:40:00,26083.25,2026-01-13,6,0.0679,25900.0,26250.0,21.43,37.88,59.31,2026-01-07 15:25:00,26142.9,EOD,12.86,56.87,69.73,-10.42,-677.3,260.0,80.0,1.93,-1019.23
2026-01-08,SHORT,2026-01-08 10:20:00,26034.8,2026-01-13,5,0.0678,25850.0,26150.0,16.85,44.66,61.51,2026-01-08 15:25:00,25868.9,EOD,62.62,10.46,73.08,-11.57,-752.05,260.0,80.0,2.0,-1094.05
2026-01-09,SHORT,2026-01-09 11:00:00,25810.65,2026-01-13,4,0.0825,25600.0,25950.0,17.4,41.41,58.81,2026-01-09 15:25:00,25703.7,EOD,40.43,17.81,58.24,0.57,37.05,260.0,80.0,1.91,-304.86
2026-01-12,SHORT,2026-01-12 11:15:00,25514.95,2026-01-13,1,0.0841,25450.0,25550.0,18.34,31.24,49.58,2026-01-12 12:20:00,25617.01,SL,3.11,89.5,92.61,-43.03,-2796.95,260.0,80.0,1.61,-3138.56
2026-01-13,SHORT,2026-01-13 13:30:00,25661.4,2026-01-20,7,0.0779,25400.0,25900.0,20.25,36.95,57.2,2026-01-13 15:25:00,25714.2,EOD,13.79,50.72,64.51,-7.31,-475.15,260.0,80.0,1.86,-817.01
2026-01-14,LONG,2026-01-14 11:25:00,25770.4,2026-01-20,6,0.0778,25650.0,26050.0,44.95,22.61,67.56,2026-01-14 13:40:00,25667.32,SL,81.31,9.98,91.29,-23.73,-1542.45,260.0,80.0,2.2,-1884.65
2026-01-16,LONG,2026-01-16 10:20:00,25848.45,2026-01-20,4,0.0781,25750.0,26050.0,38.28,22.76,61.04,2026-01-16 12:25:00,25745.06,SL,77.39,8.58,85.97,-24.93,-1620.45,260.0,80.0,1.98,-1962.43
2026-01-19,SHORT,2026-01-19 10:35:00,25503.8,2026-01-20,1,0.0778,25450.0,25500.0,18.59,45.73,64.32,2026-01-19 13:55:00,25605.82,SL,2.76,118.07,120.83,-56.51,-3673.15,260.0,80.0,2.09,-4015.24
2026-01-20,SHORT,2026-01-20 12:05:00,25432.7,2026-01-27,7,0.0781,25150.0,25650.0,17.02,41.39,58.41,2026-01-20 15:25:00,25225.35,EOD,63.5,9.47,72.97,-14.56,-946.4,260.0,80.0,1.9,-1288.3
2026-01-21,SHORT,2026-01-21 10:20:00,25105.85,2026-01-27,6,0.0951,24800.0,25350.0,21.18,43.51,64.69,2026-01-21 12:35:00,25206.27,SL,10.7,73.31,84.01,-19.32,-1255.8,260.0,80.0,2.1,-1597.9
2026-01-22,SHORT,2026-01-22 10:55:00,25221.7,2026-01-27,5,0.0851,25000.0,25400.0,21.82,41.31,63.13,2026-01-22 15:20:00,25322.59,SL,9.68,75.72,85.4,-22.27,-1447.55,260.0,80.0,2.05,-1789.6
2026-01-23,SHORT,2026-01-23 11:35:00,25229.1,2026-01-27,4,0.0907,25000.0,25400.0,18.54,38.2,56.74,2026-01-23 15:25:00,25064.75,EOD,59.17,10.35,69.52,-12.78,-830.7,260.0,80.0,1.84,-1172.54
2026-01-28,SHORT,2026-01-28 13:40:00,25208.35,2026-02-03,6,0.0923,24900.0,25450.0,19.12,41.63,60.75,2026-01-28 14:50:00,25309.18,SL,9.35,71.37,80.72,-19.97,-1298.05,260.0,80.0,1.97,-1640.02
