label,symbol,strategy,strike_dist,hold_period,signal,trend_filter,lots,total_trades,win_rate,total_pnl,total_return_pct,cagr_pct,profit_factor,max_drawdown_pct,avg_premium,avg_zone_width_pct,zone_hold_rate,max_consecutive_losses,avg_pnl_per_trade,avg_win,avg_loss,max_win,max_loss,final_capital
BANKNIFTY_short_strangle_biweekly_monthly_Consensus3_SD1.5_TF1.5_L5,BANKNIFTY,short_strangle,1.5,biweekly,Consensus3,TF1.5,5,25,68.0,293804.0,29.38,9.08,2.57,6.25,1409.48,3.49,12.0,3,11752.16,28258.49,-23323.78,50914.0,-30000.0,1293804.0
BANKNIFTY_short_strangle_biweekly_monthly_Consensus3_SD1.5_TF2.0_L3,BANKNIFTY,short_strangle,1.5,biweekly,Consensus3,TF2.0,3,25,68.0,128433.75,12.84,4.16,1.8,5.93,1409.48,3.49,12.0,3,5137.35,16955.09,-19975.35,30548.4,-30000.0,1128433.75
BANKNIFTY_short_strangle_biweekly_monthly_Consensus3_SD1.5_TF2.0_L5,BANKNIFTY,short_strangle,1.5,biweekly,Consensus3,TF2.0,5,25,68.0,293804.0,29.38,9.08,2.57,6.25,1409.48,3.49,12.0,3,11752.16,28258.49,-23323.78,50914.0,-30000.0,1293804.0
BANKNIFTY_short_strangle_biweekly_monthly_Consensus3_SD1.5_TF2.5_L3,BANKNIFTY,short_strangle,1.5,biweekly,Consensus3,TF2.5,3,25,68.0,128433.75,12.84,4.16,1.8,5.93,1409.48,3.49,12.0,3,5137.35,16955.09,-19975.35,30548.4,-30000.0,1128433.75
BANKNIFTY_short_strangle_biweekly_monthly_Consensus3_SD1.5_TF2.5_L5,BANKNIFTY,short_strangle,1.5,biweekly,Consensus3,TF2.5,5,25,68.0,293804.0,29.38,9.08,2.57,6.25,1409.48,3.49,12.0,3,11752.16,28258.49,-23323.78,50914.0,-30000.0,1293804.0
BANKNIFTY_short_strangle_biweekly_monthly_Consensus3_SD2.0_noTF_L3,BANKNIFTY,short_strangle,2.0,biweekly,Consensus3,noTF,3,25,68.0,113737.2,11.37,3.7,1.73,5.61,1197.73,4.71,24.0,3,4549.49,15845.42,-19454.36,28832.55,-30000.0,1113737.2
BANKNIFTY_short_strangle_biweekly_monthly_Consensus3_SD2.0_noTF_L5,BANKNIFTY,short_strangle,2.0,biweekly,Consensus3,noTF,5,25,68.0,265032.5,26.5,8.26,2.44,6.06,1197.73,4.71,24.0,3,10601.3,26409.03,-22990.12,48054.25,-30000.0,1265032.5
BANKNIFTY_short_strangle_biweekly_monthly_Consensus3_SD2.0_TF1.5_L3,BANKNIFTY,short_strangle,2.0,biweekly,Consensus3,TF1.5,3,25,68.0,116427.75,11.64,3.79,1.75,5.61,1193.87,4.7,24.0,3,4657.11,16003.69,-19454.36,28832.55,-30000.0,1116427.75
BANKNIFTY_short_strangle_biweekly_monthly_Consensus3_SD2.0_TF1.5_L5,BANKNIFTY,short_strangle,2.0,biweekly,Consensus3,TF1.5,5,25,68.0,269516.75,26.95,8.39,2.47,6.06,1193.87,4.7,24.0,3,10780.67,26672.81,-22990.12,48054.25,-30000.0,1269516.75
BANKNIFTY_short_strangle_biweekly_monthly_Consensus3_SD2.0_TF2.0_L3,BANKNIFTY,short_strangle,2.0,biweekly,Consensus3,TF2.0,3,25,68.0,116427.75,11.64,3.79,1.75,5.61,1193.87,4.7,24.0,3,4657.11,16003.69,-19454.36,28832.55,-30000.0,1116427.75
BANKNIFTY_short_strangle_biweekly_monthly_Consensus3_SD2.0_TF2.0_L5,BANKNIFTY,short_strangle,2.0,biweekly,Consensus3,TF2.0,5,25,68.0,269516.75,26.95,8.39,2.47,6.06,1193.87,4.7,24.0,3,10780.67,26672.81,-22990.12,48054.25,-30000.0,1269516.75
BANKNIFTY_short_strangle_biweekly_monthly_Consensus3_SD2.0_TF2.5_L3,BANKNIFTY,short_strangle,2.0,biweekly,Consensus3,TF2.5,3,25,68.0,116427.75,11.64,3.79,1.75,5.61,1193.87,4.7,24.0,3,4657.11,16003.69,-19454.36,28832.55,-30000.0,1116427.75
BANKNIFTY_short_strangle_biweekly_monthly_Consensus3_SD2.0_TF2.5_L5,BANKNIFTY,short_strangle,2.0,biweekly,Consensus3,TF2.5,5,25,68.0,269516.75,26.95,8.39,2.47,6.06,1193.87,4.7,24.0,3,10780.67,26672.81,-22990.12,48054.25,-30000.0,1269516.75
BANKNIFTY_short_strangle_biweekly_monthly_Consensus3_SD2.5_noTF_L3,BANKNIFTY,short_strangle,2.5,biweekly,Consensus3,noTF,3,25,64.0,103446.15,10.34,3.38,1.69,5.27,1008.68,5.91,36.0,3,4137.85,15773.89,-16548.45,26758.5,-30000.0,1103446.15
BANKNIFTY_short_strangle_biweekly_monthly_Consensus3_SD2.5_noTF_L5,BANKNIFTY,short_strangle,2.5,biweekly,Consensus3,noTF,5,25,64.0,242735.75,24.27,7.61,2.36,5.73,1008.68,5.91,36.0,3,9709.43,26289.81,-19766.81,44597.5,-30000.0,1242735.75
BANKNIFTY_short_strangle_biweekly_monthly_Consensus3_SD2.5_TF1.5_L3,BANKNIFTY,short_strangle,2.5,biweekly,Consensus3,TF1.5,3,25,64.0,104753.4,10.48,3.42,1.7,5.27,1005.9,5.89,36.0,3,4190.14,15855.59,-16548.45,26758.5,-30000.0,1104753.4
BANKNIFTY_short_strangle_biweekly_monthly_Consensus3_SD2.5_TF1.5_L5,BANKNIFTY,short_strangle,2.5,biweekly,Consensus3,TF1.5,5,25,64.0,244914.5,24.49,7.68,2.38,5.73,1005.9,5.89,36.0,3,9796.58,26425.98,-19766.81,44597.5,-30000.0,1244914.5
BANKNIFTY_short_strangle_biweekly_monthly_Consensus3_SD2.5_TF2.0_L3,BANKNIFTY,short_strangle,2.5,biweekly,Consensus3,TF2.0,3,25,64.0,104753.4,10.48,3.42,1.7,5.27,1005.9,5.89,36.0,3,4190.14,15855.59,-16548.45,26758.5,-30000.0,1104753.4
BANKNIFTY_short_strangle_biweekly_monthly_Consensus3_SD2.5_TF2.0_L5,BANKNIFTY,short_strangle,2.5,biweekly,Consensus3,TF2.0,5,25,64.0,244914.5,24.49,7.68,2.38,5.73,1005.9,5.89,36.0,3,9796.58,26425.98,-19766.81,44597.5,-30000.0,1244914.5
BANKNIFTY_short_strangle_biweekly_monthly_Consensus3_SD2.5_TF2.5_L3,BANKNIFTY,short_strangle,2.5,biweekly,Consensus3,TF2.5,3,25,64.0,104753.4,10.48,3.42,1.7,5.27,1005.9,5.89,36.0,3,4190.14,15855.59,-16548.45,26758.5,-30000.0,1104753.4
BANKNIFTY_short_strangle_biweekly_monthly_Consensus3_SD2.5_TF2.5_L5,BANKNIFTY,short_strangle,2.5,biweekly,Consensus3,TF2.5,5,25,64.0,244914.5,24.49,7.68,2.38,5.73,1005.9,5.89,36.0,3,9796.58,26425.98,-19766.81,44597.5,-30000.0,1244914.5
BANKNIFTY_short_strangle_weekly_monthly_BB_only_SD1.5_noTF_L3,BANKNIFTY,short_strangle,1.5,weekly,BB_only,noTF,3,52,82.69,413818.35,41.38,12.54,4.64,2.9,1385.07,3.51,38.46,2,7958.05,12267.43,-12631.25,25521.0,-30000.0,1413818.35
BANKNIFTY_short_strangle_weekly_monthly_BB_only_SD1.5_noTF_L5,BANKNIFTY,short_strangle,1.5,weekly,BB_only,noTF,5,52,82.69,743561.5,74.36,20.88,6.48,3.42,1385.07,3.51,38.46,2,14299.26,20445.72,-15067.17,42535.0,-30000.0,1743561.5
BANKNIFTY_short_strangle_weekly_monthly_BB_only_SD1.5_TF1.5_L3,BANKNIFTY,short_strangle,1.5,weekly,BB_only,TF1.5,3,47,85.11,394391.55,39.44,12.01,4.73,4.54,1417.22,3.6,40.43,2,8391.31,12506.55,-15124.35,22263.45,-30000.0,1394391.55
BANKNIFTY_short_strangle_weekly_monthly_BB_only_SD1.5_TF1.5_L5,BANKNIFTY,short_strangle,1.5,weekly,BB_only,TF1.5,5,47,85.11,711183.5,71.12,20.11,6.8,3.87,1417.22,3.6,40.43,2,15131.56,20844.25,-17512.36,37105.75,-30000.0,1711183.5
BANKNIFTY_short_strangle_weekly_monthly_BB_only_SD1.5_TF2.0_L3,BANKNIFTY,short_strangle,1.5,weekly,BB_only,TF2.0,3,50,80.0,393642.75,39.36,11.99,4.33,3.38,1399.38,3.56,34.0,2,7872.85,12799.76,-11834.76,22263.45,-30000.0,1393642.75
BANKNIFTY_short_strangle_weekly_monthly_BB_only_SD1.5_TF2.0_L5,BANKNIFTY,short_strangle,1.5,weekly,BB_only,TF2.0,5,50,80.0,689935.5,68.99,19.59,5.22,4.22,1399.38,3.56,34.0,2,13798.71,21332.93,-16338.18,37105.75,-30000.0,1689935.5
BANKNIFTY_short_strangle_weekly_monthly_BB_only_SD1.5_TF2.5_L3,BANKNIFTY,short_strangle,1.5,weekly,BB_only,TF2.5,3,51,80.39,411673.95,41.17,12.48,4.69,3.38,1397.03,3.56,37.25,2,8072.04,12762.95,-11160.7,27767.85,-30000.0,1411673.95
BANKNIFTY_short_strangle_weekly_monthly_BB_only_SD1.5_TF2.5_L5,BANKNIFTY,short_strangle,1.5,weekly,BB_only,TF2.5,5,51,80.39,719987.5,72.0,20.32,5.73,4.22,1397.03,3.56,37.25,2,14117.4,21271.59,-15214.75,46279.75,-30000.0,1719987.5
BANKNIFTY_short_strangle_weekly_monthly_BB_only_SD2.0_noTF_L3,BANKNIFTY,short_strangle,2.0,weekly,BB_only,noTF,3,52,82.69,389514.75,38.95,11.87,4.54,2.8,1177.02,4.7,55.77,2,7490.67,11615.79,-12218.25,24448.2,-30000.0,1389514.75
