symbol,entry_date,exit_date,entry_px,exit_px,shares,pnl,ret_pct,bars,days,mae_pct,mfe_pct,reason
LT,2022-01-12,2022-01-25,1978.5,1895.0,2584,-230777.5,-4.5072737,9,13,-3.9727053619377006,4.594384753285308,RULE
TITAN,2022-01-07,2022-01-27,2630.0,2327.0,1896,-588586.0,-11.78596,13,20,-9.638783269961982,1.0456273764258617,RULE
TORNTPHARM,2021-12-31,2022-01-28,1591.4000244140625,1352.5,3151,-766688.5,-15.266525,19,28,-15.687446310426012,3.003639941215397,RULE
PIDILITIND,2022-01-05,2022-01-28,1300.800048828125,1231.0,3843,-282836.0,-5.6494055,16,23,-5.412055794238713,5.658054491329612,RULE
SBILIFE,2022-01-17,2022-02-07,1256.300048828125,1161.800048828125,4139,-406148.5,-7.799113,14,21,-6.70222637663106,2.5192948430809103,RULE
TATAPOWER,2020-12-15,2022-02-15,73.4000015258789,222.75,45134,6.720712e+06,202.565,290,427,-5.926428315655274,250.5449352099149,RULE
ADANIENT,2021-11-25,2022-02-15,1709.199951171875,1586.0999755859375,3026,-387458.0,-7.4801803,57,82,-9.817454455387987,6.5118214373815375,RULE
BEL,2021-05-21,2022-02-25,52.849998474121094,64.30000305175781,82326,928166.0,21.300638,193,280,-8.609270328150586,41.059612496039136,RULE
POWERGRID,2021-12-01,2022-02-25,151.6999969482422,140.85000610351562,32692,-369054.0,-7.4303923,61,86,-7.8773877314706535,5.866848605349673,RULE
CANBK,2022-02-01,2022-02-25,46.08000183105469,38.599998474121094,108340,-824145.25,-16.483576,18,24,-19.48785373285663,6.293397560646885,RULE
SBIN,2022-02-01,2022-02-25,543.9500122070312,480.0,9177,-600965.0,-12.02094,18,24,-13.107825482208025,0.0,RULE
MARUTI,2022-01-27,2022-03-04,8656.0,7482.0,568,-680581.5,-13.821769,25,36,-12.251041997602819,3.3901362674734203,RULE
BAJAJHLDNG,2021-09-21,2022-03-08,4546.85009765625,4801.0,1114,267502.5,5.2732825,115,168,0.0,22.681631954814186,RULE
BANKBARODA,2022-02-01,2022-03-08,97.63999938964844,83.2300033569336,51130,-750655.0,-15.013636,24,35,-15.649322895138019,9.248257717885867,RULE
HINDALCO,2022-02-11,2022-04-13,547.75,547.0,9004,-21539.0,-0.43606758,41,61,-6.52670013692378,15.253306762751029,RULE
CUMMINSIND,2022-03-22,2022-04-26,1059.300048828125,1003.5,4516,-265966.5,-5.5514097,23,35,-5.697161695390962,7.306702423867106,RULE
SIEMENS,2021-12-13,2022-05-04,1877.8499755859375,1727.75,2666,-414585.5,-8.268791,96,142,-9.910268552090773,2.172700128262073,RULE
TITAN,2022-03-21,2022-05-04,2740.0,2356.0,1743,-682635.75,-14.272171,29,44,-12.899633254447995,0.0,RULE
CIPLA,2022-03-14,2022-05-06,1045.0,937.7999877929688,4529,-498979.5,-10.527205,35,53,-9.244016802482058,2.205746299342115,RULE
CHOLAFIN,2022-02-07,2022-05-09,682.0,622.0,7335,-454447.5,-9.070855,60,91,-10.95308096877291,12.023460410557174,RULE
VEDL,2022-02-10,2022-05-09,171.89999389648438,161.4499969482422,29072,-318339.0,-6.3604536,57,88,-11.227451121720755,16.783017526393085,RULE
TRENT,2022-03-21,2022-05-09,1282.0,1135.800048828125,3726,-558254.0,-11.669439,32,49,-10.549921996879874,3.611548270524567,RULE
JINDALSTEL,2022-03-23,2022-05-11,498.70001220703125,463.0,9647,-358314.5,-7.4367285,32,49,-6.897939356733285,14.537797919664431,RULE
SUNPHARMA,2022-01-03,2022-05-12,845.0,852.9000244140625,5944,31819.0,0.63256025,87,129,-5.224854960244086,11.727807761649412,RULE
ADANIENSOL,2021-11-26,2022-05-13,1945.0,2231.0,2561,716403.5,14.360762,114,168,-13.449870210073911,44.80719794344472,RULE
ADANIENT,2022-03-29,2022-05-13,1860.699951171875,2020.9000244140625,2611,403080.0,8.284319,30,45,-0.10748643265886537,24.802494336034453,RULE
