,nav
2013-02-20,4293286.5
2013-02-21,4291262.0
2013-02-22,4288658.0
2013-02-25,4271662.5
2013-02-26,4258250.0
2013-02-27,4289788.5
2013-02-28,4286073.5
2013-03-01,4299848.0
2013-03-04,4270264.5
2013-03-05,4308082.0
2013-03-06,4333305.0
2013-03-07,4391026.0
2013-03-08,4429191.0
2013-03-11,4440295.0
2013-03-12,4431604.5
2013-03-13,4362393.0
2013-03-14,4372545.0
2013-03-15,4344320.5
2013-03-18,4343084.0
2013-03-19,4321892.0
2013-03-20,4321833.5
2013-03-21,4314410.0
2013-03-22,4301673.0
2013-03-25,4305845.0
2013-03-26,4340499.0
2013-03-28,4377777.5
2013-04-01,4390591.5
2013-04-02,4378711.0
2013-04-03,4384797.0
2013-04-04,4355120.5
2013-04-05,4372813.5
2013-04-08,4376086.0
2013-04-09,4372311.0
2013-04-10,4392371.0
2013-04-11,4370627.0
2013-04-12,4286606.5
2013-04-15,4258369.0
2013-04-16,4258671.0
2013-04-17,4253646.0
2013-04-18,4260493.0
2013-04-22,4279649.0
2013-04-23,4288029.5
2013-04-25,4313605.0
2013-04-26,4296823.0
2013-04-29,4299647.0
2013-04-30,4290005.0
2013-05-02,4299568.5
2013-05-03,4323081.5
2013-05-06,4319144.0
2013-05-07,4343010.0
2013-05-08,4352297.0
2013-05-09,4341368.0
2013-05-10,4351120.0
2013-05-11,4351559.0
2013-05-13,4310325.0
2013-05-14,4320854.0
2013-05-15,4367315.0
2013-05-16,4383834.0
2013-05-17,4371841.5
2013-05-20,4341778.0
2013-05-21,4307042.0
2013-05-22,4278305.0
2013-05-23,4242906.5
2013-05-24,4257976.0
2013-05-27,4262356.0
2013-05-28,4284579.5
2013-05-29,4294173.0
2013-05-30,4308981.5
2013-05-31,4313641.0
2013-06-03,4291790.0
2013-06-04,4282887.5
2013-06-05,4284685.5
2013-06-06,4278134.5
2013-06-07,4282928.5
2013-06-10,4254804.5
2013-06-11,4229632.5
2013-06-12,4196929.0
2013-06-13,4180044.5
2013-06-14,4203859.0
2013-06-17,4237181.5
2013-06-18,4239752.0
2013-06-19,4243647.5
2013-06-20,4190818.5
2013-06-21,4181855.5
2013-06-24,4117753.5
2013-06-25,4131897.75
2013-06-26,4133944.0
2013-06-27,4128523.5
2013-06-28,4156538.5
2013-07-01,4172158.0
2013-07-02,4166920.5
2013-07-03,4167330.5
2013-07-04,4184796.0
2013-07-05,4187862.75
2013-07-08,4190424.75
2013-07-09,4194582.5
2013-07-10,4174934.75
2013-07-11,4178831.0
2013-07-12,4190308.5
2013-07-15,4221363.5
2013-07-16,4197072.0
2013-07-17,4238929.0
2013-07-18,4251055.0
2013-07-19,4218665.5
2013-07-22,4243356.0
2013-07-23,4264777.0
2013-07-24,4250060.5
2013-07-25,4223052.0
2013-07-26,4197679.0
2013-07-29,4173276.5
2013-07-30,4155069.5
