date,invested_pct
2007-09-26,97.2494
2007-09-27,97.246
2007-09-28,97.3499
2007-10-01,97.3767
2007-10-03,97.3736
2007-10-04,97.3822
2007-10-05,97.3238
2007-10-08,97.1897
2007-10-09,91.0243
2007-10-10,91.0796
2007-10-11,97.4456
2007-10-12,97.4378
2007-10-15,97.5534
2007-10-16,97.588
2007-10-17,97.5214
2007-10-18,97.4132
2007-10-19,86.1969
2007-10-22,86.3675
2007-10-23,86.9734
2007-10-24,87.126
2007-10-25,99.821
2007-10-26,99.8269
2007-10-29,99.8325
2007-10-30,99.8333
2007-10-31,99.8351
2007-11-01,99.8294
2007-11-02,99.8316
2007-11-05,99.8319
2007-11-06,99.8312
2007-11-07,99.8323
2007-11-08,99.83
2007-11-09,99.8306
2007-11-12,99.832
2007-11-13,95.1573
2007-11-14,95.2799
2007-11-15,95.4199
2007-11-16,95.509
2007-11-19,95.6699
2007-11-20,95.5781
2007-11-21,95.2559
2007-11-22,95.2267
2007-11-23,95.3783
2007-11-26,95.5168
2007-11-27,95.468
2007-11-28,95.4865
2007-11-29,95.4719
2007-11-30,95.6069
2007-12-03,95.6671
2007-12-04,95.7434
2007-12-05,95.8844
2007-12-06,95.9008
2007-12-07,95.8474
2007-12-10,95.8908
2007-12-11,95.87
2007-12-12,95.9098
2007-12-13,95.9073
2007-12-14,95.9339
2007-12-17,95.7334
2007-12-18,95.7345
2007-12-19,95.7741
2007-12-20,95.7636
2007-12-24,95.8496
2007-12-26,95.9627
2007-12-27,95.9591
2007-12-28,95.9938
2007-12-31,96.0729
2008-01-01,96.1116
2008-01-02,96.1759
2008-01-03,96.1486
2008-01-04,96.1344
2008-01-07,96.0945
2008-01-08,95.9765
2008-01-09,95.9896
2008-01-10,95.849
2008-01-11,95.8608
2008-01-14,91.7285
2008-01-15,91.5363
2008-01-16,91.4687
2008-01-17,91.5974
2008-01-18,91.1523
2008-01-21,70.8767
2008-01-22,32.3924
2008-01-23,10.4583
2008-01-24,10.3264
2008-01-25,10.6908
2008-01-28,10.3856
2008-01-29,9.9379
2008-01-30,9.4797
2008-01-31,0.0
2008-02-01,0.0
2008-02-04,0.0
2008-02-05,0.0
2008-02-06,0.0
2008-02-07,0.0
2008-02-08,0.0
2008-02-11,0.0
2008-02-12,0.0
2008-02-13,0.0
2008-02-14,0.0
2008-02-15,0.0
2008-02-18,0.0
2008-02-19,0.0
2008-02-20,0.0
2008-02-21,0.0
2008-02-22,0.0
2008-02-25,0.0
2008-02-26,0.0
2008-02-27,0.0
2008-02-28,0.0
2008-02-29,0.0
2008-03-03,0.0
2008-03-04,0.0
2008-03-05,0.0
2008-03-07,0.0
2008-03-10,0.0
2008-03-11,0.0
2008-03-12,0.0
2008-03-13,0.0
2008-03-14,0.0
2008-03-17,0.0
2008-03-18,0.0
2008-03-19,0.0
2008-03-24,0.0
2008-03-25,0.0
2008-03-26,0.0
2008-03-27,0.0
2008-03-28,0.0
2008-03-31,0.0
2008-04-01,0.0
2008-04-02,0.0
2008-04-03,0.0
2008-04-04,0.0
2008-04-07,0.0
2008-04-08,0.0
2008-04-09,0.0
2008-04-10,0.0
2008-04-11,0.0
2008-04-15,0.0
2008-04-16,0.0
2008-04-17,0.0
2008-04-21,0.0
2008-04-22,0.0
2008-04-23,0.0
2008-04-24,0.0
2008-04-25,0.0
2008-04-28,0.0
2008-04-29,6.5125
2008-04-30,19.2727
2008-05-02,19.5033
2008-05-05,19.4129
2008-05-06,18.7694
2008-05-07,18.7411
2008-05-08,18.6037
2008-05-09,18.1853
2008-05-12,18.1816
2008-05-13,18.2639
2008-05-14,18.5223
2008-05-15,18.7746
2008-05-16,19.0616
2008-05-20,18.8485
2008-05-21,18.7276
2008-05-22,24.6742
2008-05-23,24.6876
2008-05-26,24.3852
2008-05-27,24.2203
2008-05-28,24.7578
2008-05-29,24.7924
2008-05-30,24.7937
2008-06-02,23.6517
2008-06-03,23.4698
2008-06-04,22.6263
2008-06-05,12.5779
2008-06-06,12.6906
2008-06-09,12.879
2008-06-10,12.8043
2008-06-11,12.7287
2008-06-12,12.5926
2008-06-13,13.0109
2008-06-16,12.9315
2008-06-17,12.7993
2008-06-18,12.5983
2008-06-19,12.4522
2008-06-20,11.8943
2008-06-23,6.592
2008-06-24,6.3909
2008-06-25,6.3855
2008-06-26,6.3992
2008-06-27,6.4058
2008-06-30,6.5348
2008-07-01,6.2787
2008-07-02,6.4715
2008-07-03,6.2321
2008-07-04,6.296
2008-07-07,6.197
2008-07-08,6.1775
2008-07-09,6.3652
2008-07-10,6.3679
2008-07-11,6.4374
2008-07-14,6.5689
2008-07-15,6.2356
2008-07-16,6.1592
2008-07-17,6.329
2008-07-18,6.5364
2008-07-21,6.7214
2008-07-22,6.7192
2008-07-23,6.8407
2008-07-24,6.712
2008-07-25,6.916
2008-07-28,6.8564
2008-07-29,6.6684
2008-07-30,6.7557
2008-07-31,6.604
2008-08-01,6.4419
2008-08-04,12.9283
2008-08-05,13.0508
2008-08-06,13.056
2008-08-07,12.8898
2008-08-08,12.639
2008-08-11,12.6269
2008-08-12,12.5653
2008-08-13,12.8167
2008-08-14,13.0188
2008-08-18,12.7171
2008-08-19,12.9342
2008-08-20,12.9502
2008-08-21,12.735
2008-08-22,12.9361
2008-08-25,12.7688
2008-08-26,12.8339
2008-08-27,12.7129
2008-08-28,12.6404
2008-08-29,12.5991
2008-09-01,12.7657
2008-09-02,12.9393
2008-09-04,13.0635
2008-09-05,19.2664
2008-09-08,19.2719
2008-09-09,19.1283
2008-09-10,19.3802
2008-09-11,19.0671
2008-09-12,19.2137
2008-09-15,18.5806
2008-09-16,18.4901
2008-09-17,18.2233
2008-09-18,12.4963
2008-09-19,12.4228
2008-09-22,12.4013
2008-09-23,12.3892
2008-09-24,12.1366
2008-09-25,12.2919
2008-09-26,12.2293
2008-09-29,11.9914
2008-09-30,12.2725
2008-10-01,12.575
2008-10-03,12.4844
2008-10-06,12.264
2008-10-07,12.3353
2008-10-08,11.8666
2008-10-10,10.2835
2008-10-13,0.0
2008-10-14,0.0
2008-10-15,0.0
2008-10-16,0.0
2008-10-17,0.0
2008-10-20,0.0
2008-10-21,0.0
2008-10-22,0.0
2008-10-23,0.0
2008-10-24,0.0
2008-10-27,0.0
2008-10-28,0.0
2008-10-29,0.0
2008-10-31,0.0
2008-11-03,0.0
2008-11-04,0.0
2008-11-05,0.0
2008-11-06,0.0
2008-11-07,0.0
2008-11-10,0.0
2008-11-11,0.0
2008-11-12,0.0
2008-11-14,0.0
2008-11-17,0.0
2008-11-18,0.0
2008-11-19,0.0
2008-11-20,0.0
2008-11-21,0.0
2008-11-24,0.0
2008-11-25,0.0
2008-11-26,0.0
2008-11-28,0.0
2008-12-01,0.0
2008-12-02,0.0
2008-12-03,0.0
2008-12-04,0.0
2008-12-05,0.0
2008-12-08,0.0
2008-12-10,0.0
2008-12-11,0.0
2008-12-12,0.0
2008-12-15,0.0
2008-12-16,0.0
2008-12-17,0.0
2008-12-18,0.0
2008-12-19,0.0
2008-12-22,0.0
2008-12-23,0.0
2008-12-24,0.0
2008-12-26,0.0
2008-12-29,0.0
2008-12-30,0.0
2008-12-31,0.0
2009-01-01,0.0
2009-01-02,0.0
2009-01-05,0.0
2009-01-06,0.0
2009-01-07,0.0
2009-01-09,0.0
2009-01-12,0.0
2009-01-13,0.0
2009-01-14,0.0
2009-01-15,0.0
2009-01-16,0.0
2009-01-19,0.0
2009-01-20,0.0
2009-01-21,0.0
2009-01-22,0.0
2009-01-23,0.0
2009-01-27,0.0
2009-01-28,0.0
2009-01-29,0.0
2009-01-30,0.0
2009-02-02,0.0
2009-02-03,0.0
2009-02-04,0.0
2009-02-05,0.0
2009-02-06,0.0
2009-02-09,0.0
2009-02-10,0.0
2009-02-11,0.0
2009-02-12,0.0
2009-02-13,0.0
2009-02-16,6.2349
2009-02-17,6.3083
2009-02-18,6.2182
2009-02-19,6.2063
2009-02-20,6.1096
2009-02-24,5.9806
2009-02-25,5.9575
2009-02-26,6.1753
2009-02-27,6.1924
2009-03-02,6.0004
2009-03-03,5.9867
2009-03-04,6.179
2009-03-05,6.2345
2009-03-06,6.1782
2009-03-09,6.2258
2009-03-12,6.4683
