,Open Alpha - Base Age,True North,IPO Base - First Base,NIFTYBEES (index)
2017-01-02,4.799338315827462,4.81729348618924,5.36932349286672,2.389127324749642
2017-01-03,4.8169426061997225,4.818226261167142,5.441436498674628,2.3919885550786835
2017-01-04,4.817381714722137,4.819159216758735,5.508963265281842,2.3919885550786835
2017-01-05,4.815551424458983,4.8200923529989925,5.569006154804405,2.4148783977110155
2017-01-06,4.811449049731222,4.821025669922893,5.54195890048751,2.410586552217453
2017-01-09,4.830737596569045,4.821959167565422,5.554353994739046,2.406294706723891
2017-01-10,4.8642887776383645,4.822892845961571,5.577817107565588,2.416309012875536
2017-01-11,4.857124393099483,4.823826705146343,5.609897075371074,2.444921316165951
2017-01-12,4.857473531374186,4.82476074515474,5.582156403022974,2.4506437768240343
2017-01-13,4.855590870369826,4.825694966021778,5.576009479364583,2.449213161659513
2017-01-16,4.869204577404207,4.826629367782475,5.5903159181893125,2.453505007153076
2017-01-17,4.854484706316801,4.827563950471859,5.602562352307379,2.4477825464949925
2017-01-18,4.8526889941712374,4.8284987141249625,5.684349132315582,2.453505007153076
2017-01-19,4.844181434404388,4.829433658776825,5.754757732407186,2.4592274678111585
2017-01-20,4.843722183289201,4.830368784462495,5.704816817535813,2.4349070100143058
2017-01-23,4.863372625377149,4.8313040912170235,5.8211618927573285,2.444921316165951
2017-01-24,4.894957553682108,4.832239579075474,5.867521629463268,2.469241773962804
2017-01-25,4.921142924284833,4.833175248072912,5.839636741969076,2.502145922746781
2017-01-27,4.893740605368841,4.834111098244413,5.857621160906615,2.517882689556509
2017-01-30,4.905118820315483,4.835047129625056,5.824994953540935,2.5164520743919883
2017-01-31,4.863598893835947,4.828740231902077,5.711696176336852,2.4949928469241773
2017-02-01,4.908672645100104,4.908397107470958,5.925636876125578,2.5379113018598
2017-02-02,4.985281639607051,5.002226123408081,5.861586089649148,2.5436337625178824
2017-02-03,4.991613127934839,5.002567805315471,5.855838227079941,2.546494992846924
2017-02-06,5.000533275143621,5.046061287260415,6.011281411291718,2.565092989985694
2017-02-07,4.996508113688151,5.024693327074744,6.09398287092513,2.556509298998569
2017-02-08,4.957071267011049,5.029625187926285,6.04145447951139,2.5593705293276106
2017-02-09,4.978170968648894,5.151804943180697,6.039857741267168,2.5593705293276106
2017-02-10,4.986351546993088,5.159138310431838,5.995785197511737,2.5636623748211727
2017-02-13,4.933035446766904,5.1552308348068605,6.013289063924802,2.5665236051502145
2017-02-14,4.896203708754894,5.12973020945714,6.057028233626769,2.567954220314735
2017-02-15,4.833077830139194,5.013428764733752,6.006707025390705,2.5479256080114445
2017-02-16,4.896937570551529,5.069992783869042,6.001886683521359,2.5608011444921317
2017-02-17,4.90354769807932,5.084017639786645,5.862522500323767,2.573676680972818
2017-02-20,4.953092433518953,5.137562611411819,5.8969538664530186,2.589413447782546
2017-02-21,4.9940295676476385,5.115254753798866,5.902651352498591,2.5951359084406294
2017-02-22,4.950963361463024,5.0607838766201425,5.898780262378517,2.602288984263233
2017-02-23,4.971147582259412,5.068003901637296,6.020894437331161,2.608011444921316
2017-02-27,4.953162596883773,5.050106578095119,6.0953677314375945,2.59656652360515
2017-02-28,4.96521995291669,5.037232831781511,6.063513964100977,2.5937052932761087
2017-03-01,5.029993159911204,5.045308077876102,6.097168445213786,2.6208869814020024
2017-03-02,4.97262403430955,4.97933481278169,6.020020750367342,2.6051502145922742
2017-03-03,5.0405357929677175,5.044939559740813,5.952425827286974,2.6051502145922742
2017-03-06,5.059398323968426,5.0175126095030675,5.96872510212019,2.6194563662374817
2017-03-07,5.085967075253566,5.003319635172339,6.003708140571988,2.612303290414878
2017-03-08,5.04950461810903,4.96590779638737,6.029356705526794,2.6051502145922742
2017-03-09,5.026405428428752,4.962191900530822,6.011118922308623,2.618025751072961
2017-03-10,5.026739795468756,4.944352495951805,5.94280440516026,2.6165951359084403
2017-03-14,5.108319310451908,4.95965127327631,6.01781159163972,2.65379113018598
2017-03-15,5.095087641260423,4.959093362408759,6.041850083388167,2.652360515021459
2017-03-16,5.146156499553086,4.954905660792285,6.020918143930519,2.6738197424892705
2017-03-17,5.161002933265072,4.939603422118355,6.00026327535286,2.6738197424892705
2017-03-20,5.154792971913672,4.949177914776107,5.992122527911012,2.668097281831187
2017-03-21,5.166955740848758,4.958348621923146,6.033712299271238,2.669527896995708
2017-03-22,5.122231127859304,4.952034939813355,6.090147340704091,2.6394849785407724
2017-03-23,5.17340338479486,4.965649357703804,6.149369389223901,2.6609442060085837
2017-03-24,5.1640145865942655,4.96196163505099,6.095335134863477,2.669527896995708
2017-03-27,5.174607576132706,4.955783079166697,6.0704165356138855,2.649499284692417
2017-03-28,5.2222223154749665,4.957750901674452,6.052407422302015,2.6609442060085837
