variant,symbol,date,direction,entry_time,entry,stop,target,qty,atr_at_entry,vol_spike,exit_time,exit_price,exit_reason,gross_pnl,net_pnl
spike_2x_rsi,PNB,2024-05-08,LONG,2024-05-08T12:25:00,120.99,120.70,121.42,2479,0.42,2.31,2024-05-08T12:25:00,120.70,STOP,-718.91,-1168.27
spike_2x_rsi,PNB,2024-05-09,LONG,2024-05-09T13:50:00,122.55,121.38,124.43,2136,0.54,13.31,2024-05-09T13:50:00,121.38,STOP,-2499.12,-2889.90
spike_2x_rsi,PNB,2024-05-13,LONG,2024-05-13T13:55:00,119.63,118.90,120.72,2507,0.41,2.34,2024-05-13T14:50:00,119.73,TIME_STOP,250.70,-199.36
spike_2x_rsi,PNB,2024-05-28,SHORT,2024-05-28T11:30:00,124.74,125.71,123.28,2405,0.37,2.08,2024-05-28T12:25:00,123.81,TIME_STOP,2236.65,1788.33
spike_2x_rsi,PNB,2024-06-04,SHORT,2024-06-04T11:25:00,115.94,119.83,110.48,642,1.18,2.22,2024-06-04T12:00:00,110.48,TARGET,3505.32,3396.30
spike_2x_rsi,PNB,2024-06-05,LONG,2024-06-05T14:05:00,116.72,116.13,117.61,2570,0.59,2.53,2024-06-05T14:15:00,116.13,STOP,-1516.30,-1965.12
spike_2x_rsi,PNB,2024-06-06,SHORT,2024-06-06T13:05:00,119.49,120.22,118.52,2510,0.52,3.04,2024-06-06T13:25:00,120.22,STOP,-1832.30,-2283.55
spike_2x_rsi,PNB,2024-06-26,LONG,2024-06-26T11:05:00,121.54,121.00,122.33,2468,0.38,2.46,2024-06-26T11:45:00,122.33,TARGET,1937.38,1485.99
spike_2x_rsi,PNB,2024-07-02,SHORT,2024-07-02T12:55:00,116.86,117.39,116.19,2567,0.40,4.57,2024-07-02T13:20:00,117.39,STOP,-1360.51,-1811.50
spike_2x_rsi,PNB,2024-07-23,LONG,2024-07-23T12:15:00,115.48,115.29,115.77,2597,0.37,2.41,2024-07-23T12:15:00,115.29,STOP,-493.43,-942.91
spike_2x_rsi,PNB,2024-08-05,SHORT,2024-08-05T11:25:00,110.36,111.03,109.31,2718,0.42,2.67,2024-08-05T11:25:00,111.03,STOP,-1821.06,-2272.36
spike_2x_rsi,PNB,2024-09-13,LONG,2024-09-13T13:05:00,109.14,108.71,109.79,2748,0.36,2.02,2024-09-13T13:35:00,108.71,STOP,-1181.64,-1630.63
spike_2x_rsi,PNB,2024-09-19,SHORT,2024-09-19T11:25:00,103.99,104.63,103.03,2884,0.34,2.33,2024-09-19T11:40:00,103.03,TARGET,2768.64,2320.86
spike_2x_rsi,PNB,2024-10-04,LONG,2024-10-04T11:40:00,103.88,103.21,104.91,2887,0.38,2.94,2024-10-04T12:35:00,103.38,TIME_STOP,-1443.50,-1892.27
spike_2x_rsi,PNB,2024-10-07,SHORT,2024-10-07T13:45:00,99.04,99.20,98.80,3029,0.37,4.01,2024-10-07T13:45:00,99.20,STOP,-484.64,-934.99
spike_2x_rsi,PNB,2024-10-08,LONG,2024-10-08T11:30:00,100.22,99.38,101.31,2976,0.33,6.23,2024-10-08T11:55:00,99.38,STOP,-2499.84,-2945.35
spike_2x_rsi,PNB,2024-10-22,SHORT,2024-10-22T12:55:00,94.09,94.70,93.18,3188,0.40,3.12,2024-10-22T13:10:00,93.18,TARGET,2917.02,2469.27
spike_2x_rsi,PNB,2024-10-23,LONG,2024-10-23T12:25:00,93.87,93.32,94.75,3195,0.36,3.87,2024-10-23T13:20:00,94.03,TIME_STOP,511.20,60.94
