config,score,N,buffer,gate,donchian,cagr,net20,maxdd,sharpe,sortino,calmar,net_calmar,fills,donch_exits,gate_derisk,avg_turn,cost_pct
mom30_N15_buf18_g200_d0,mom30,15,18,200,0,25.0,20.8,-38.0,1.31,1.42,0.66,0.55,120,0,18,0.203,110.6
mom30_N15_buf18_g200_d15,mom30,15,18,200,15,22.4,19.0,-30.4,1.45,1.47,0.74,0.63,120,972,18,0.335,156.0
mom30_N15_buf18_g200_d20,mom30,15,18,200,20,23.5,20.0,-30.1,1.43,1.46,0.78,0.66,120,748,18,0.294,149.1
mom30_N15_buf18_g200_d30,mom30,15,18,200,30,23.9,20.3,-33.9,1.39,1.47,0.71,0.6,120,502,18,0.255,134.5
mom30_N15_buf22_g0_d0,mom30,15,22,0,0,25.0,21.6,-41.8,1.1,1.32,0.6,0.52,149,0,0,0.131,105.7
mom30_N15_buf22_g0_d15,mom30,15,22,0,15,24.9,21.5,-30.5,1.43,1.67,0.82,0.71,149,1280,0,0.31,203.1
mom30_N15_buf22_g0_d20,mom30,15,22,0,20,25.1,21.6,-33.3,1.37,1.6,0.75,0.65,149,1029,0,0.265,182.9
mom30_N15_buf22_g0_d30,mom30,15,22,0,30,24.7,21.3,-31.4,1.28,1.53,0.78,0.68,149,727,0,0.215,153.1
mom30_N15_buf22_g100_d0,mom30,15,22,100,0,22.0,18.3,-25.1,1.25,1.28,0.87,0.73,110,0,23,0.199,96.1
mom30_N15_buf22_g100_d15,mom30,15,22,100,15,20.7,18.0,-18.8,1.44,1.36,1.1,0.96,111,856,23,0.329,141.5
mom30_N15_buf22_g100_d20,mom30,15,22,100,20,21.5,18.7,-16.2,1.41,1.35,1.33,1.15,111,667,23,0.287,135.2
mom30_N15_buf22_g100_d30,mom30,15,22,100,30,22.4,19.2,-22.1,1.4,1.38,1.01,0.87,111,435,23,0.247,123.1
mom30_N15_buf22_g200_d0,mom30,15,22,200,0,23.5,19.6,-36.2,1.25,1.35,0.65,0.54,120,0,18,0.182,88.8
