cell,n_years,level,athvar,age_m,window,start,end,signals,seeds,cagr_med,cagr_min,cagr_max,dd_med,dd_worst,calmar_med,x_med,trades_med,trades_yr,win_med,mean_tr,avg_win,avg_loss,streak,avg_hold,bench_cagr,elapsed_s
N5_high_athonly_age0,5,high,athonly,0,W1,2020-01-01,2025-12-31,7059,10,37.53,30.04,43.79,-29.05,-36.5,1.31,6.77,498,83.1,47.2,8.81,26.31,-7.3,35,57.2,14.74,2.0
N5_high_athonly_age6,5,high,athonly,6,W2,2010-01-01,2026-09-04,280,10,11.3,11.23,11.37,-12.0,-12.0,0.94,5.95,271,16.3,46.8,9.072,27.21,-6.89,7,60.6,10.42,1.1
N5_high_athonly_age6,5,high,athonly,6,W1,2020-01-01,2025-12-31,173,10,20.8,20.54,20.8,-11.99,-11.99,1.74,3.11,168,28.0,50.6,11.851,30.52,-7.27,5,60.1,14.74,0.6
N5_high_athonly_age12,5,high,athonly,12,W2,2010-01-01,2026-09-04,178,10,9.41,9.41,9.41,-11.69,-11.69,0.81,4.48,178,10.7,48.3,9.605,27.86,-7.46,8,58.8,10.42,0.7
N5_high_athonly_age12,5,high,athonly,12,W1,2020-01-01,2025-12-31,113,10,18.3,18.3,18.3,-11.68,-11.68,1.57,2.74,113,18.8,54.0,14.416,33.45,-7.92,6,62.4,14.74,0.4
N10_close_incl_age0,10,close,incl,0,W2,2015-01-01,2026-09-04,9943,10,25.55,21.23,28.47,-34.67,-40.29,0.73,14.24,953,81.7,42.6,6.757,24.52,-6.55,27,56.6,10.65,3.5
N10_close_incl_age0,10,close,incl,0,W1,2020-01-01,2025-12-31,6913,10,29.99,27.42,37.67,-28.94,-30.02,1.05,4.82,548,91.4,43.8,7.019,25.25,-6.99,28,52.8,14.74,2.0
N10_close_incl_age6,10,close,incl,6,W2,2015-01-01,2026-09-04,626,10,21.29,20.99,21.8,-28.21,-28.21,0.75,9.52,471,40.3,50.2,9.23,25.54,-7.18,10,62.0,10.65,1.6
N10_close_incl_age6,10,close,incl,6,W1,2020-01-01,2025-12-31,411,10,24.87,24.47,25.88,-22.02,-22.38,1.13,3.79,301,50.3,52.9,8.745,23.2,-7.38,7,60.7,14.74,0.9
N10_close_incl_age12,10,close,incl,12,W2,2015-01-01,2026-09-04,450,10,17.68,17.52,18.15,-23.69,-23.69,0.75,6.69,377,32.3,48.9,9.428,27.18,-7.61,15,60.1,10.65,1.3
