variant,symbol,direction,entry_date,exit_date,entry_price,exit_price,qty,days_held,exit_reason,gross_pnl,net_pnl
adx_30,RELIANCE,LONG,2020-05-08,2020-05-15,736.35,677.44,125,7,INITIAL_STOP,-7363.50,-7540.22
adx_30,MCX,LONG,2020-06-02,2020-06-05,1307.00,1202.44,69,3,INITIAL_STOP,-7214.64,-7387.79
adx_30,BRITANNIA,LONG,2020-06-03,2020-06-10,3601.00,3371.90,25,7,INITIAL_STOP,-5727.49,-5901.81
adx_30,TATAPOWER,LONG,2020-06-08,2020-06-11,44.90,41.31,2021,3,INITIAL_STOP,-7259.43,-7433.66
adx_30,CIPLA,LONG,2020-04-13,2020-06-12,605.00,643.60,154,60,MAX_HOLD,5944.40,5752.12
adx_30,MARICO,LONG,2020-06-01,2020-06-12,345.50,320.31,264,11,INITIAL_STOP,-6650.80,-6826.58
adx_30,COFORGE,LONG,2020-06-02,2020-06-12,293.00,269.56,312,10,INITIAL_STOP,-7313.28,-7488.80
adx_30,TATAMOTORS,LONG,2020-06-15,2020-06-16,104.65,96.28,846,1,INITIAL_STOP,-7082.71,-7252.70
adx_30,DRREDDY,LONG,2020-04-20,2020-06-19,784.70,801.10,119,60,MAX_HOLD,1951.60,1762.89
adx_30,SUNPHARMA,LONG,2020-04-20,2020-06-19,457.35,488.10,204,60,MAX_HOLD,6273.00,6080.13
adx_30,MUTHOOTFIN,LONG,2020-06-15,2020-06-19,979.60,1224.50,90,4,TARGET,22041.00,21842.63
adx_30,VEDL,LONG,2020-06-02,2020-06-24,66.90,83.62,1367,22,TARGET,22863.07,22657.31
adx_30,MUTHOOTFIN,LONG,2020-06-22,2020-06-26,1179.00,1084.68,77,4,INITIAL_STOP,-7262.64,-7436.94
adx_30,TRENT,LONG,2020-06-29,2020-06-30,680.00,625.60,135,1,INITIAL_STOP,-7344.00,-7520.26
adx_30,HCLTECH,LONG,2020-05-11,2020-07-10,526.00,582.25,175,60,MAX_HOLD,9843.75,9649.81
adx_30,IDFCFIRSTB,LONG,2020-06-26,2020-07-15,27.40,25.21,3396,19,INITIAL_STOP,-7444.03,-7622.69
adx_30,IOC,LONG,2020-06-15,2020-07-16,42.82,39.39,2068,31,INITIAL_STOP,-7084.14,-7254.16
adx_30,GAIL,LONG,2020-06-25,2020-07-16,60.85,55.98,1529,21,INITIAL_STOP,-7443.17,-7621.81
adx_30,HEROMOTOCO,LONG,2020-06-11,2020-07-20,2161.75,2702.19,41,39,TARGET,22157.94,21958.52
adx_30,RELIANCE,LONG,2020-06-24,2020-07-27,827.30,1034.12,109,33,TARGET,22543.93,22341.03
adx_30,TATACONSUM,LONG,2020-06-03,2020-08-03,367.45,428.75,248,61,MAX_HOLD,15202.40,15004.94
adx_30,MCX,LONG,2020-07-21,2020-08-04,1452.00,1815.00,63,14,TARGET,22869.00,22663.18
adx_30,BEL,LONG,2020-07-01,2020-08-10,29.55,36.94,3098,40,TARGET,22886.47,22680.50
adx_30,PNB,LONG,2020-06-12,2020-08-11,30.13,31.92,2967,60,MAX_HOLD,5310.93,5126.83
adx_30,SHREECEM,LONG,2020-06-17,2020-08-17,21978.00,21512.75,3,61,MAX_HOLD,-1395.75,-1526.22
adx_30,JSWSTEEL,LONG,2020-08-04,2020-08-18,221.55,276.94,434,14,TARGET,24038.17,23821.83
adx_30,CIPLA,LONG,2020-08-11,2020-08-24,801.10,750.89,125,13,INITIAL_STOP,-6276.15,-6470.15
adx_30,DRREDDY,LONG,2020-08-05,2020-08-26,931.00,880.55,105,21,INITIAL_STOP,-5297.46,-5487.67
adx_30,TATAPOWER,LONG,2020-08-27,2020-08-31,63.10,58.18,1621,4,INITIAL_STOP,-7975.43,-8172.02
adx_30,NTPC,LONG,2020-09-01,2020-09-08,97.50,90.35,1040,7,INITIAL_STOP,-7435.54,-7630.90
adx_30,TCS,LONG,2020-07-13,2020-09-11,2220.00,2374.10,41,60,MAX_HOLD,6318.10,6129.74
adx_30,INFY,LONG,2020-07-16,2020-09-14,900.10,978.40,101,60,MAX_HOLD,7908.30,7718.57
adx_30,HCLTECH,LONG,2020-07-17,2020-09-14,629.50,786.88,143,59,TARGET,22504.62,22302.08
adx_30,HINDALCO,LONG,2020-07-17,2020-09-15,166.50,176.75,542,60,MAX_HOLD,5555.50,5369.46
adx_30,TRENT,LONG,2020-09-15,2020-09-21,700.10,644.09,149,6,INITIAL_STOP,-8345.19,-8545.48
adx_30,MCX,LONG,2020-09-21,2020-09-22,1745.05,1605.45,60,1,INITIAL_STOP,-8376.24,-8577.27
adx_30,CUMMINSIND,LONG,2020-08-25,2020-09-24,470.00,440.29,218,30,INITIAL_STOP,-6477.77,-6676.21
adx_30,TCS,LONG,2020-09-16,2020-09-24,2488.95,2380.85,42,8,INITIAL_STOP,-4540.18,-4744.71
adx_30,TECHM,LONG,2020-07-28,2020-09-28,630.50,737.90,150,62,MAX_HOLD,16110.00,15904.74
adx_30,DIVISLAB,LONG,2020-08-12,2020-10-12,3122.00,3207.25,32,61,MAX_HOLD,2728.00,2525.46
adx_30,VOLTAS,LONG,2020-08-18,2020-10-19,630.10,688.65,160,62,MAX_HOLD,9368.00,9157.00
adx_30,TATAMOTORS,LONG,2020-08-19,2020-10-19,127.00,128.25,814,61,MAX_HOLD,1017.50,809.73
adx_30,HEROMOTOCO,LONG,2020-10-16,2020-10-21,3136.30,2974.02,33,5,INITIAL_STOP,-5355.16,-5556.80
adx_30,DRREDDY,LONG,2020-09-23,2020-10-22,1051.20,975.67,98,29,INITIAL_STOP,-7401.53,-7600.16
adx_30,ICICIBANK,LONG,2020-10-22,2020-10-30,416.40,389.52,250,8,INITIAL_STOP,-6720.35,-6921.83
adx_30,MCX,LONG,2020-09-23,2020-11-23,1640.05,1587.05,62,61,MAX_HOLD,-3286.00,-3486.08
adx_30,APOLLOHOSP,LONG,2020-09-29,2020-12-01,2059.90,2463.00,50,63,MAX_HOLD,20155.00,19928.85
adx_30,TCS,LONG,2020-10-06,2020-12-07,2736.00,2737.70,37,62,MAX_HOLD,62.90,-139.63
adx_30,BANKBARODA,LONG,2020-12-02,2020-12-08,44.81,56.01,2331,6,TARGET,26113.03,25878.01
adx_30,IRCTC,LONG,2020-12-08,2020-12-09,341.35,321.95,306,1,INITIAL_STOP,-5936.04,-6139.01
adx_30,GAIL,LONG,2020-11-24,2020-12-11,60.08,75.10,1706,17,TARGET,25624.12,25393.50
adx_30,HAVELLS,LONG,2020-10-14,2020-12-14,698.00,826.95,148,61,MAX_HOLD,19084.60,18858.91
adx_30,HDFCBANK,LONG,2020-10-15,2020-12-14,607.10,686.10,171,60,MAX_HOLD,13509.00,13287.86
adx_30,ASIANPAINT,LONG,2020-10-19,2020-12-17,2079.95,2599.94,49,59,TARGET,25479.39,25250.07
adx_30,AMBUJACEM,LONG,2020-10-21,2020-12-21,251.90,236.39,416,61,INITIAL_STOP,-6452.78,-6655.91
adx_30,ULTRACEMCO,LONG,2020-10-22,2020-12-21,4675.00,5007.85,22,60,MAX_HOLD,7322.70,7109.68
adx_30,TATAPOWER,LONG,2020-12-09,2020-12-21,72.60,67.56,1474,12,INITIAL_STOP,-7431.19,-7637.78
adx_30,NTPC,LONG,2020-12-15,2020-12-21,105.10,99.25,1067,6,INITIAL_STOP,-6242.71,-6460.75
adx_30,MARUTI,LONG,2020-12-15,2020-12-21,7696.80,7327.57,14,6,INITIAL_STOP,-5169.29,-5379.63
adx_30,SUNPHARMA,LONG,2020-12-18,2020-12-21,574.00,544.45,199,3,INITIAL_STOP,-5879.72,-6102.30
adx_30,AXISBANK,LONG,2020-10-23,2020-12-22,513.90,589.75,201,60,MAX_HOLD,15245.85,15024.02
adx_30,ICICIBANK,LONG,2020-11-03,2020-12-30,425.00,531.25,241,57,TARGET,25606.25,25375.79
adx_30,JSWSTEEL,LONG,2021-01-06,2021-01-22,397.20,373.07,292,16,INITIAL_STOP,-7045.08,-7270.00
adx_30,HINDUNILVR,LONG,2020-12-22,2021-02-02,2310.00,2212.22,48,42,INITIAL_STOP,-4693.36,-4910.43
adx_30,IRCTC,LONG,2020-12-10,2021-02-08,281.00,323.75,378,60,MAX_HOLD,16159.50,15930.90
adx_30,PERSISTENT,LONG,2020-12-28,2021-02-11,736.50,920.62,154,45,TARGET,28355.25,28100.05
adx_30,BHARTIARTL,LONG,2020-12-14,2021-02-12,497.65,575.45,219,60,MAX_HOLD,17038.20,16803.19
adx_30,MARICO,LONG,2020-12-22,2021-02-22,404.25,420.90,277,62,MAX_HOLD,4612.05,4383.48
adx_30,PIDILITIND,LONG,2020-12-23,2021-02-22,867.00,871.10,131,61,MAX_HOLD,537.10,309.41
adx_30,M&M,LONG,2021-02-09,2021-02-22,929.50,855.14,125,13,INITIAL_STOP,-9295.00,-9518.08
adx_30,BANKBARODA,LONG,2021-02-23,2021-03-01,79.94,73.54,1509,6,INITIAL_STOP,-9650.36,-9881.97
adx_30,ADANIENT,LONG,2021-02-15,2021-03-03,725.00,906.25,167,16,TARGET,30268.75,29996.33
adx_30,ULTRACEMCO,LONG,2021-01-05,2021-03-04,5336.00,6670.00,21,58,TARGET,28014.00,27761.87
adx_30,BEL,LONG,2021-01-05,2021-03-08,43.35,48.35,2681,62,MAX_HOLD,13405.00,13159.15
adx_30,WIPRO,LONG,2021-01-06,2021-03-08,198.55,204.40,585,61,MAX_HOLD,3422.25,3186.52
