date,side,dte,bkt,entry,target,exit_reason,captured,mfe,mae,dist_pct,width_pct
2025-11-03,bear,3,3+,25687.45,25637.615885416664,st_flip,-64.0,41.95000000000073,-65.84999999999854,0.27645908366848737,0.2863515696800805
2025-11-04,bull,2,2,25754.6,25829.1328125,st_flip,-24.049999999999272,8.950000000000728,-32.19999999999709,0.019681652327179153,0.10112043474883228
2025-11-10,bull,3,3+,25551.65,25589.55078125,target,37.900781249998545,44.099999999998545,-36.35000000000218,0.3193663982394516,0.1501785294175309
2025-11-17,bull,3,3+,25952.45,25986.56640625,target,34.11640624999927,36.25,-37.35000000000218,0.24734976799931893,0.17869134467901432
2025-11-18,bear,2,2,25946.1,25938.466145833336,target,7.633854166662786,18.899999999997817,-25.650000000001455,0.06888229892821195,0.12342165591287212
2025-11-19,bear,1,1,25858.6,25847.750651041664,st_flip,-93.5,2.399999999997817,-96.25,0.25821898877295885,0.11092382913228886
2025-11-20,bull,0,0DTE,26099.45,26132.80078125,target,33.35078124999927,42.099999999998545,-36.25,0.29130764342513893,0.2225247516464425
2025-11-25,bear,2,2,25963.75,25866.833333333336,st_flip,-41.400000000001455,21.200000000000728,-42.099999999998545,0.06599814853101432,0.17430643033892046
2025-11-26,bull,1,1,25969.85,25992.43359375,target,22.583593750001455,44.70000000000073,-4.75,0.09538460319932797,0.15542349315770837
2025-11-27,bull,0,0DTE,26250.85,26332.651041666664,st_flip,-12.849999999998545,59.60000000000218,-27.149999999997817,0.40135006624146413,0.44742977216112806
2025-12-02,bear,2,2,26141.55,26091.365885416664,target,50.18411458333503,62.64999999999782,-13.049999999999272,0.1942148258742609,0.12585631808300674
2025-12-03,bear,1,1,26029.75,25968.499348958336,target,61.25065104166424,75.40000000000146,0.0,0.060082326632041494,0.11286434639881038
2025-12-11,bear,0,0DTE,25755.95,25679.150390625,st_flip,-42.29999999999927,0.5,-47.099999999998545,0.11097649065437444,0.2149684946297058
2025-12-15,bear,3,3+,25952.3,25971.065755208336,target,-18.765755208336486,28.25,-2.4500000000007276,0.17248101743922872,0.12578663156583098
2025-12-17,bear,1,1,25873.45,25802.716145833336,target,70.73385416666497,71.65000000000146,-55.70000000000073,0.01280321956975884,0.12212560821261442
2025-12-23,bull,2,2,26166.69921875,26219.466145833336,target,52.76692708333576,66.8515625,-46.69921875,0.047635863450076414,0.1479360136121299
2025-12-30,bear,2,2,25908.650390625,25872.666666666664,st_flip,-34.599609375,30.650390625,-46.048828125,0.2229813318048023,0.18355406182164757
2026-01-01,bull,0,0DTE,26166.44921875,26222.032552083336,st_flip,-5.349609375,11.1015625,-8.5,0.2110515047452607,0.130213055241714
2026-01-05,bull,3,3+,26340.94921875,26406.233723958336,st_flip,-43.3984375,0.0,-47.048828125,0.17013229897837645,0.2514386698611469
2026-01-06,bear,2,2,26194.94921875,26182.501302083336,target,12.447916666664241,26.69921875,-8.650390625,0.2607508375940093,0.10521533750001653
2026-01-12,bear,3,3+,25610.650390625,25557.333984375,target,53.31640625,54.55078125,0.0,0.4093300704091087,0.25578897443844884
2026-01-13,bull,2,2,25845.75,25911.133463541664,st_flip,-82.900390625,6.900390625,-85.349609375,0.40559117088028007,0.3785168844203773
2026-01-19,bear,3,3+,25597.650390625,25613.333333333336,target,-15.682942708335759,28.451171875,0.0,0.4739569486385169,0.19143189671906977
2026-01-21,bear,1,1,25239.19921875,25074.233072916664,target,164.96614583333576,211.6484375,-15.400390625,0.15373523400242284,0.38621451520967065
2026-01-27,bear,2,2,25007.5,24933.317708333336,target,74.18229166666424,74.44921875,-1.19921875,0.3377036896739733,0.36677328807633575
2026-01-30,bear,6,3+,25257.80078125,25233.083984375,target,24.716796875,27.150390625,-22.798828125,0.19664428596170022,0.29010125439160767
