date,baseline,vwap,htf,rsi50,cpr,bb,confluence,fast_pair
2025-04-17,2043.69,2043.69,2043.69,2043.69,-2170.53,2043.69,2043.69,-1096.36
2025-04-21,-169.15,-169.15,-329.95,-169.15,400.71,-169.15,-329.95,1699.37
2025-04-22,-4691.64,-4691.64,-4294.30,-6706.62,-3791.03,-4691.64,-2844.75,-9899.58
2025-04-23,-6444.87,-6444.87,-3867.89,-6444.87,-6444.87,-6444.87,-3867.89,-1284.72
2025-04-24,-9142.70,-9142.70,-2897.68,-9142.70,-3469.28,-9428.49,-2897.68,-11211.24
2025-04-25,-2153.40,-2153.40,-6345.60,-2153.40,-154.63,-2153.40,-4500.74,3274.95
2025-04-28,5399.24,5399.24,-231.24,5399.24,3910.23,5399.24,-231.24,856.68
2025-04-29,1539.85,1539.85,-983.40,1539.85,-2133.59,1539.85,143.46,446.50
2025-04-30,-5704.39,-5704.39,-2225.09,-5704.39,294.93,-5704.39,-3817.35,-2071.41
2025-05-02,-11899.45,-11899.45,-2575.03,-11899.45,-7465.84,-11899.45,-2575.03,-6292.33
2025-05-06,-6557.20,-6557.20,-4193.91,-6557.20,-2237.72,-6557.20,-2730.57,-6942.88
2025-05-07,-3845.22,-3845.22,-4883.88,-3845.22,-3549.38,-3845.22,-4048.70,-15700.46
2025-05-08,1776.46,1776.46,1776.46,1776.46,1527.98,1776.46,1776.46,3195.37
2025-05-09,-1243.17,-1243.17,-4189.40,-2550.36,-1912.15,-1243.17,-4189.40,-6147.74
2025-05-12,2453.86,2453.86,2453.86,2453.86,0.00,2453.86,2453.86,2588.02
2025-05-14,584.42,1236.74,0.00,584.42,-919.18,584.42,0.00,-7032.28
2025-05-15,-2881.45,-2881.45,948.84,-2881.45,-2881.45,-2881.45,948.84,-9786.38
2025-05-16,-2581.26,-2581.26,0.00,-2581.26,-1319.83,-2581.26,0.00,3959.32
2025-05-19,-4528.41,-7794.51,-6273.35,-4528.41,-4436.68,-4528.41,-6273.35,-8130.86
2025-05-20,-5395.38,-5395.38,-1537.12,-5395.38,-3099.98,-5395.38,-618.71,-2883.77
2025-05-22,-8650.87,-2123.75,-2642.73,-8650.87,-6937.29,-8650.87,-1097.17,-5844.79
2025-05-23,1290.65,1290.65,-1385.05,1987.07,2108.01,1290.65,-56.94,-7296.09
2025-05-26,3249.61,3249.61,3073.40,3249.61,1479.33,3249.61,3073.40,1084.96
2025-05-27,-12508.46,-12508.46,-9359.94,-12508.46,-8618.56,-12508.46,-10124.83,-3904.82
