symbol,signal_dt,signal_k,signal_d,signal_adx,entry_dt,entry_price,exit_dt,exit_price,exit_reason,candles_held,gross_return_pct,net_return_pct
DIVISLAB,2025-05-22 09:15:00,17.393082389262645,13.388040940235859,25.190387867781393,2025-05-22 09:45:00,6562.55,2025-05-22 10:15:00,6545.0,X9OR4,1,-0.2674,-0.3674
ITC,2025-05-21 09:45:00,28.155649320206397,22.59603309080047,25.864842524089628,2025-05-21 10:15:00,436.85,2025-05-21 11:45:00,434.5,X9OR4,3,-0.5379,-0.6379
FEDERALBNK,2025-05-19 09:15:00,31.137026239066678,30.689990281826727,60.631907908261844,2025-05-19 09:45:00,201.1,2025-05-20 12:45:00,200.26,X9OR4,18,-0.4177,-0.5177
FEDERALBNK,2025-05-16 12:15:00,32.40003068896722,30.00886783299835,58.45203027131478,2025-05-19 09:15:00,201.05,2025-05-20 12:45:00,200.26,X9OR4,19,-0.3929,-0.4929
HDFCLIFE,2025-05-15 11:45:00,27.390970031545862,26.810169626277354,28.37848990615412,2025-05-15 12:15:00,741.45,2025-05-20 13:15:00,751.8,X9OR4,38,1.3959,1.2959
RELIANCE,2025-05-14 09:15:00,16.328797885233563,12.78407331752326,31.39386206672458,2025-05-14 09:45:00,1428.85,2025-05-14 10:45:00,1424.9,X9OR4,2,-0.2764,-0.3764
INFY,2025-05-14 09:15:00,10.6535896258593,7.76456831651064,27.077008349913594,2025-05-14 09:45:00,1593.15,2025-05-14 10:15:00,1589.7,X9OR4,1,-0.2166,-0.3166
SBIN,2025-05-13 14:45:00,33.222599598383724,33.05203659171493,35.110763421507656,2025-05-14 09:15:00,805.75,2025-05-14 12:45:00,798.9,X9OR4,7,-0.8501,-0.9501
ITC,2025-05-06 14:15:00,19.860379040384476,19.392779629486142,36.798512895591635,2025-05-06 14:45:00,437.4,2025-05-07 09:15:00,434.3,X9OR4,1,-0.7087,-0.8087
M&M,2025-04-30 09:15:00,23.15373451205441,18.079369095000605,39.08742708598566,2025-04-30 09:45:00,2936.75,2025-04-30 10:45:00,2913.7,X9OR4,2,-0.7849,-0.8849
ICICIBANK,2025-04-29 13:45:00,16.594332898927963,15.935319524946303,26.180811098451773,2025-04-29 14:15:00,1427.9,2025-05-02 12:45:00,1431.2,X9OR4,21,0.2311,0.1311
BANKBARODA,2025-04-28 09:15:00,37.585645189584696,34.55379294789862,25.141881408332313,2025-04-28 12:15:00,243.4,2025-04-29 14:15:00,245.91,X9OR4,16,1.0312,0.9312
