cell,signal,side,n,skipped,total_all,total_kept,pnl_retained_pct,median_all,median_kept,worst_all,worst_kept,rand_total_mean,rand_total_pctile,rand_worst_mean,rand_worst_pctile
FRI_NIFTY_DTE2,vix_chg_oc_pts,skip_low,14,7,55920,20290,36.3,3575,2860,-3440,-3440,27960,10.7,-845,50.0
FRI_NIFTY_DTE2,vix_chg_cc_pct,skip_high,14,7,55920,25070,44.8,3575,3120,-3440,-3440,27960,33.1,-845,50.0
FRI_NIFTY_DTE2,vix_chg_cc_pct,skip_low,14,7,55920,30850,55.2,3575,4030,-3440,2020,27960,67.0,-845,90.4
FRI_NIFTY_DTE2,vix_chg_cc_pts,skip_high,14,7,55920,25070,44.8,3575,3120,-3440,-3440,27960,33.1,-845,50.0
FRI_NIFTY_DTE2,vix_chg_cc_pts,skip_low,14,7,55920,30850,55.2,3575,4030,-3440,2020,27960,67.0,-845,90.4
FRI_NIFTY_DTE2,pre_move_bp,skip_high,14,7,55920,27760,49.6,3575,3120,-3440,1300,27960,48.9,-845,76.9
FRI_NIFTY_DTE2,pre_move_bp,skip_low,14,7,55920,28160,50.4,3575,5040,-3440,-3440,27960,51.2,-845,50.0
FRI_NIFTY_DTE2,pre_range_bp,skip_high,14,7,55920,30490,54.5,3575,3120,-3440,1300,27960,65.0,-845,76.9
FRI_NIFTY_DTE2,pre_range_bp,skip_low,14,7,55920,25430,45.5,3575,5040,-3440,-3440,27960,35.1,-845,50.0
FRI_NIFTY_DTE2,pcr_oi_all,skip_high,14,7,55920,27700,49.5,3575,4030,-3440,1300,27960,48.6,-845,76.9
FRI_NIFTY_DTE2,pcr_oi_all,skip_low,14,7,55920,28220,50.5,3575,3120,-3440,-3440,27960,51.6,-845,50.0
FRI_NIFTY_DTE2,pcr_oi_atm,skip_high,14,7,55920,27470,49.1,3575,4030,-3440,1300,27960,47.1,-845,76.9
FRI_NIFTY_DTE2,pcr_oi_atm,skip_low,14,7,55920,28450,50.9,3575,2900,-3440,-3440,27960,53.0,-845,50.0
FRI_NIFTY_DTE2,pcr_vol_all,skip_high,14,7,55920,21920,39.2,3575,2900,-3440,-3440,27960,17.2,-845,50.0
FRI_NIFTY_DTE2,pcr_vol_all,skip_low,14,7,55920,34000,60.8,3575,5040,-3440,1300,27960,83.0,-845,76.9
FRI_NIFTY_DTE2,oi_atm_share,skip_high,14,7,55920,36340,65.0,3575,5620,-3440,1300,27960,91.6,-845,76.9
FRI_NIFTY_DTE2,oi_atm_share,skip_low,14,7,55920,19580,35.0,3575,3120,-3440,-3440,27960,8.5,-845,50.0
FRI_NIFTY_DTE2,dist_ce_wall_bp,skip_high,14,7,55920,16850,30.1,3575,2470,-3440,-3440,27960,2.7,-845,50.0
FRI_NIFTY_DTE2,dist_ce_wall_bp,skip_low,14,7,55920,39070,69.9,3575,5620,-3440,2860,27960,97.3,-845,99.0
FRI_NIFTY_DTE2,dist_pe_wall_bp,skip_high,14,7,55920,27050,48.4,3575,5040,-3440,-3440,27960,44.6,-845,50.0
FRI_NIFTY_DTE2,dist_pe_wall_bp,skip_low,14,7,55920,28870,51.6,3575,3120,-3440,2020,27960,55.5,-845,90.4
FRI_NIFTY_DTE2,wall_span_bp,skip_high,14,7,55920,24970,44.7,3575,4030,-3440,-3440,27960,32.5,-845,50.0
FRI_NIFTY_DTE2,wall_span_bp,skip_low,14,7,55920,30950,55.3,3575,3120,-3440,2020,27960,67.6,-845,90.4
FRI_NIFTY_DTE2,maxpain_drift_bp,skip_high,14,7,55920,34000,60.8,3575,5040,-3440,1300,27960,83.0,-845,76.9
FRI_NIFTY_DTE2,maxpain_drift_bp,skip_low,14,7,55920,21920,39.2,3575,2900,-3440,-3440,27960,17.2,-845,50.0
FRI_NIFTY_DTE2,d_pcr_oi_all,skip_high,14,7,55920,29000,51.9,3575,3120,-3440,1300,27960,56.4,-845,76.9
FRI_NIFTY_DTE2,d_pcr_oi_all,skip_low,14,7,55920,26920,48.1,3575,4030,-3440,-3440,27960,43.8,-845,50.0
FRI_NIFTY_DTE2,d_oi_total_pct,skip_high,14,7,55920,32530,58.2,3575,4030,-3440,2470,27960,76.2,-845,96.5
FRI_NIFTY_DTE2,d_oi_total_pct,skip_low,14,7,55920,23390,41.8,3575,2900,-3440,-3440,27960,23.9,-845,50.0
FRI_NIFTY_DTE2,d_oi_atm_pct,skip_high,14,7,55920,29800,53.3,3575,3120,-3440,1300,27960,60.9,-845,76.9
FRI_NIFTY_DTE2,d_oi_atm_pct,skip_low,14,7,55920,26120,46.7,3575,4030,-3440,-3440,27960,39.1,-845,50.0
FRI_NIFTY_DTE2,d_oi_wing_pct,skip_high,14,7,55920,36730,65.7,3575,5040,-3440,2020,27960,92.7,-845,90.4
FRI_NIFTY_DTE2,d_oi_wing_pct,skip_low,14,7,55920,19190,34.3,3575,2900,-3440,-3440,27960,7.4,-845,50.0
FRI_NIFTY_DTE2,placebo_noise,skip_high,14,7,55920,28540,51.0,3575,2860,-3440,1300,27960,53.4,-845,76.9
FRI_NIFTY_DTE2,placebo_noise,skip_low,14,7,55920,27380,49.0,3575,4030,-3440,-3440,27960,46.8,-845,50.0
FRI_NIFTY_DTE2,placebo_prepath,skip_high,14,7,55920,25130,44.9,3575,2860,-3440,1300,27960,33.5,-845,76.9
FRI_NIFTY_DTE2,placebo_prepath,skip_low,14,7,55920,30790,55.1,3575,5040,-3440,-3440,27960,66.7,-845,50.0
MON_NIFTY_DTE1,cpr_today,skip_high,17,4,16980,17420,102.6,1240,1240,-4840,-610,12984,82.3,-4439,99.4
MON_NIFTY_DTE1,cpr_today,skip_low,17,4,16980,14560,85.7,1240,1530,-4840,-4840,12984,63.7,-4439,76.5
MON_NIFTY_DTE1,cpr_prev,skip_high,17,4,16980,4980,29.3,1240,130,-4840,-4840,12984,3.2,-4439,76.5
MON_NIFTY_DTE1,cpr_prev,skip_low,17,4,16980,9630,56.7,1240,1240,-4840,-4840,12984,24.9,-4439,76.5
MON_NIFTY_DTE1,wcpr_this,skip_high,17,4,16980,10760,63.4,1240,620,-4840,-4840,12984,33.4,-4439,76.5
MON_NIFTY_DTE1,wcpr_this,skip_low,17,4,16980,13130,77.3,1240,1240,-4840,-4840,12984,53.0,-4439,76.5
MON_NIFTY_DTE1,wcpr_prev,skip_high,17,4,16980,16710,98.4,1240,1530,-4840,-4840,12984,78.6,-4439,76.5
MON_NIFTY_DTE1,wcpr_prev,skip_low,17,4,16980,10310,60.7,1240,1240,-4840,-4840,12984,30.3,-4439,76.5
MON_NIFTY_DTE1,gap_abs,skip_high,17,4,16980,6530,38.5,1240,620,-4840,-4840,12984,7.6,-4439,76.5
