symbol,entry_date,entry_price,exit_date,exit_price,exit_reason,bars_held,return_pct,pnl_inr,shares,seed
AUBANK,2021-08-11,655.0,2021-09-01,586.0,"SuperTrend(14,4) trail",14,-10.98,-165620,2297,20
GRAVITA,2021-08-17,215.0,2022-04-21,297.65,"SuperTrend(14,4) trail",167,37.75,578692,7112,20
ASTERDM,2021-08-24,193.4,2021-10-21,190.9,"SuperTrend(14,4) trail",40,-1.78,-26804,7745,20
NAUKRI,2021-08-25,1165.0,2021-10-26,1186.5,"SuperTrend(14,4) trail",42,1.34,20120,1288,20
INDIGO,2021-09-01,1906.0,2021-10-07,1936.35,"SuperTrend(14,4) trail",25,1.09,16637,802,20
INGERRAND,2021-10-07,1197.9,2022-05-17,1425.0,"SuperTrend(14,4) trail",149,18.36,308760,1400,20
AMBER,2021-10-12,3668.4,2021-11-02,3181.0,"SuperTrend(14,4) trail",14,-13.72,-229558,455,20
TANLA,2021-10-22,1063.25,2022-02-09,1661.95,"SuperTrend(14,4) trail",75,55.53,874809,1478,20
RVNL,2021-10-22,36.5,2022-02-18,32.85,"SuperTrend(14,4) trail",82,-10.45,-164650,43064,20
AXISBANK,2021-10-26,848.4,2021-10-29,762.0,"SuperTrend(14,4) trail",3,-10.63,-168102,1859,20
TCIEXP,2021-10-27,1795.0,2022-02-09,1773.55,"SuperTrend(14,4) trail",72,-1.69,-26818,883,20
ASAHIINDIA,2021-10-29,406.35,2022-02-23,472.9,"SuperTrend(14,4) trail",80,15.8,252066,3917,20
JAMNAAUTO,2021-11-03,103.2,2022-02-15,102.65,"SuperTrend(14,4) trail",71,-1.03,-16608,15600,20
TTML,2021-11-03,60.8,2021-12-24,146.4,"SuperTrend(14,4) trail",35,139.59,2252886,26479,20
PILANIINVS,2021-11-30,2162.27,2022-02-15,1663.28,"SuperTrend(14,4) trail",54,-23.46,-400232,787,20
IDEA,2021-12-06,14.75,2022-01-12,12.2,"SuperTrend(14,4) trail",27,-17.7,-313439,119753,20
JINDALPOLY,2021-12-06,1175.0,2022-02-22,1028.4,"SuperTrend(14,4) trail",55,-12.91,-228619,1503,20
NAVINFLUOR,2021-12-28,4260.6,2022-01-25,3695.0,"SuperTrend(14,4) trail",20,-13.71,-255273,436,20
IMFA,2021-12-29,414.55,2022-01-25,325.63,"SuperTrend(14,4) trail",19,-21.84,-404382,4455,20
ABREL,2022-01-12,1000.0,2022-02-09,844.8,"SuperTrend(14,4) trail",19,-15.94,-307638,1925,20
AGI,2022-01-20,327.0,2022-02-25,266.3,"SuperTrend(14,4) trail",25,-18.97,-370115,5952,20
RESPONIND,2022-01-25,196.03,2022-02-25,167.68,"SuperTrend(14,4) trail",22,-14.89,-276237,9441,20
SHARDACROP,2022-01-27,494.21,2022-02-23,511.52,"SuperTrend(14,4) trail",19,2.99,54936,3713,20
GNFC,2022-02-10,478.7,2022-05-12,629.4,"SuperTrend(14,4) trail",60,30.83,587281,3970,20
HINDALCO,2022-02-11,547.75,2022-04-13,547.0,"SuperTrend(14,4) trail",41,-0.63,-11828,3392,20
VADILALIND,2022-03-02,1362.8,2022-10-20,2280.1,"SuperTrend(14,4) trail",158,66.48,1159762,1277,20
MAWANASUG,2022-03-09,143.66,2022-05-11,113.9,"SuperTrend(14,4) trail",41,-21.11,-368982,12136,20
MAITHANALL,2022-03-14,1288.25,2022-05-04,1236.67,"SuperTrend(14,4) trail",33,-4.48,-81049,1400,20
GHCL,2022-03-14,508.3,2022-06-23,552.7,"SuperTrend(14,4) trail",69,8.19,148162,3549,20
DALMIASUG,2022-03-15,505.0,2022-05-10,425.35,"SuperTrend(14,4) trail",36,-16.19,-288063,3514,20
UGARSUGAR,2022-03-17,68.03,2022-05-06,63.73,"SuperTrend(14,4) trail",32,-6.79,-122600,26483,20
JKPAPER,2022-03-17,309.7,2022-06-21,275.6,"SuperTrend(14,4) trail",64,-11.45,-206872,5817,20
EASEMYTRIP,2022-03-22,21.23,2022-05-13,21.8,"SuperTrend(14,4) trail",35,2.17,40274,87094,20
ANGELONE,2022-03-22,164.0,2022-05-09,140.5,"SuperTrend(14,4) trail",31,-14.76,-273522,11274,20
SPIC,2022-03-22,71.3,2022-05-10,68.1,"SuperTrend(14,4) trail",32,-4.96,-92024,25933,20
KSB,2022-04-21,282.8,2022-12-23,352.0,"SuperTrend(14,4) trail",169,23.85,432926,6403,20
MOL,2022-05-04,140.67,2022-06-21,108.15,"SuperTrend(14,4) trail",34,-23.5,-400356,12080,20
COROMANDEL,2022-05-18,950.25,2022-11-07,954.0,"SuperTrend(14,4) trail",118,-0.11,-1680,1662,20
PHOENIXLTD,2022-05-25,570.6,2023-02-22,642.0,"SuperTrend(14,4) trail",188,11.95,183638,2686,20
M&M,2022-05-31,997.95,2022-11-21,1218.0,"SuperTrend(14,4) trail",118,21.44,336781,1570,20
PGEL,2022-06-01,89.8,2023-07-24,148.8,"SuperTrend(14,4) trail",284,64.88,1032807,17684,20
AIAENG,2022-06-01,2285.75,2023-01-19,2403.8,"SuperTrend(14,4) trail",160,4.64,73790,694,20
ORIENTBELL,2022-06-02,648.0,2022-08-02,621.7,"SuperTrend(14,4) trail",43,-4.54,-72624,2464,20
TDPOWERSYS,2022-06-02,49.2,2022-11-09,55.8,"SuperTrend(14,4) trail",108,12.85,205696,32457,20
BLUEDART,2022-06-03,7748.0,2022-06-20,6550.0,"SuperTrend(14,4) trail",11,-15.88,-250450,203,20
MAHLIFE,2022-06-03,392.95,2022-09-19,425.4,"SuperTrend(14,4) trail",73,7.72,121860,4008,20
APARINDS,2022-06-20,950.15,2023-01-30,1440.0,"SuperTrend(14,4) trail",153,50.8,724844,1498,20
TVSMOTOR,2022-06-27,810.85,2022-12-06,1017.0,"SuperTrend(14,4) trail",110,24.8,374738,1859,20
JAMNAAUTO,2022-07-01,122.2,2022-09-30,110.0,"SuperTrend(14,4) trail",62,-10.43,-161188,12612,20
AUTOAXLES,2022-07-05,1981.0,2023-05-22,2220.0,"SuperTrend(14,4) trail",216,11.51,178456,781,20
ASTERDM,2022-08-02,237.15,2022-08-17,206.5,"SuperTrend(14,4) trail",9,-13.36,-221615,6978,20
EICHERMOT,2022-08-17,3339.0,2022-11-21,3390.45,"SuperTrend(14,4) trail",64,1.03,17417,503,20
FAIRCHEMOR,2022-09-20,2131.31,2022-11-01,1744.25,"SuperTrend(14,4) trail",28,-18.57,-335253,845,20
GOCOLORS,2022-09-30,1337.0,2022-11-15,1158.0,"SuperTrend(14,4) trail",29,-13.82,-241179,1302,20
POONAWALLA,2022-10-20,332.2,2022-12-20,287.7,"SuperTrend(14,4) trail",41,-13.83,-245583,5333,20
BHARATFORG,2022-11-01,834.2,2023-03-01,817.0,"SuperTrend(14,4) trail",84,-2.55,-45173,2118,20
MIDHANI,2022-11-07,256.0,2022-12-23,205.65,"SuperTrend(14,4) trail",33,-20.07,-349919,6794,20
APOLLOTYRE,2022-11-09,301.0,2023-08-14,396.0,"SuperTrend(14,4) trail",190,30.91,537350,5762,20
