symbol,months,n_young,n_young_liq,first
AGI,36,747,0,2005-01-03
AGIIL,3,62,0,2024-07-15
AGIIL,6,124,26,2024-07-15
AGIIL,12,249,96,2024-07-15
AGIIL,24,494,312,2024-07-15
AGIIL,36,531,349,2024-07-15
AGL,3,42,0,2026-07-03
AGL,6,42,0,2026-07-03
AGL,12,42,0,2026-07-03
AGL,24,42,0,2026-07-03
AGL,36,42,0,2026-07-03
AGRITECH,3,59,0,2014-01-28
AGRITECH,6,122,0,2014-01-28
AGRITECH,12,242,0,2014-01-28
AGRITECH,24,423,0,2014-01-28
AGRITECH,36,605,0,2014-01-28
AGROPHOS,3,62,0,2017-03-15
AGROPHOS,6,124,0,2017-03-15
AGROPHOS,12,249,0,2017-03-15
AGROPHOS,24,496,0,2017-03-15
AGROPHOS,36,738,46,2017-03-15
AHCL,3,62,5,2025-09-03
AHCL,6,124,5,2025-09-03
AHCL,12,246,44,2025-09-03
AHCL,24,246,44,2025-09-03
AHCL,36,246,44,2025-09-03
AHLADA,3,61,0,2018-10-12
AHLADA,6,122,0,2018-10-12
AHLADA,12,241,0,2018-10-12
AHLADA,24,488,0,2018-10-12
AHLADA,36,737,0,2018-10-12
AHLEAST,3,63,0,2010-08-11
AHLEAST,6,125,0,2010-08-11
AHLEAST,12,252,0,2010-08-11
AHLEAST,24,498,0,2010-08-11
AHLEAST,36,742,0,2010-08-11
AHLUCONT,3,59,0,2009-12-14
AHLUCONT,6,121,0,2009-12-14
AHLUCONT,12,250,0,2009-12-14
AHLUCONT,24,496,0,2009-12-14
AHLUCONT,36,744,0,2009-12-14
AHLWEST-BE,3,64,0,2010-08-05
AHLWEST-BE,6,126,0,2010-08-05
AHLWEST-BE,12,253,0,2010-08-05
AHLWEST-BE,24,498,0,2010-08-05
AHLWEST-BE,36,745,0,2010-08-05
AIAENG,3,61,30,2005-12-14
AIAENG,6,122,30,2005-12-14
AIAENG,12,249,59,2005-12-14
AIAENG,24,499,138,2005-12-14
AIAENG,36,742,138,2005-12-14
AIIL,3,62,23,2024-04-23
AIIL,6,125,67,2024-04-23
AIIL,12,248,190,2024-04-23
AIIL,24,496,438,2024-04-23
AIIL,36,589,531,2024-04-23
AIRAN,3,61,0,2017-07-25
AIRAN,6,125,0,2017-07-25
AIRAN,12,250,0,2017-07-25
AIRAN,24,493,0,2017-07-25
AIRAN,36,737,0,2017-07-25
AIROLAM,3,63,0,2017-10-06
AIROLAM,6,123,0,2017-10-06
AIROLAM,12,247,0,2017-10-06
AIROLAM,24,489,0,2017-10-06
AIROLAM,36,736,0,2017-10-06
AJANTPHARM,3,62,0,2005-01-03
AJANTPHARM,6,126,0,2005-01-03
AJANTPHARM,12,250,0,2005-01-03
AJANTPHARM,24,497,0,2005-01-03
AJANTPHARM,36,747,0,2005-01-03
AJAXENGG,3,58,39,2025-02-17
AJAXENGG,6,122,103,2025-02-17
AJAXENGG,12,246,122,2025-02-17
AJAXENGG,24,381,137,2025-02-17
AJAXENGG,36,381,137,2025-02-17
AJMERA,3,62,0,2005-01-03
AJMERA,6,126,0,2005-01-03
AJMERA,12,250,0,2005-01-03
AJMERA,24,497,35,2005-01-03
AJMERA,36,747,60,2005-01-03
AJOONI,3,60,0,2018-01-02
AJOONI,6,122,0,2018-01-02
AJOONI,12,244,0,2018-01-02
AJOONI,24,486,0,2018-01-02
AJOONI,36,735,0,2018-01-02
AKASH,3,62,0,2017-03-15
AKASH,6,124,0,2017-03-15
AKASH,12,249,0,2017-03-15
AKASH,24,496,0,2017-03-15
AKASH,36,737,0,2017-03-15
AKCAPIT,3,62,0,2026-04-20
AKCAPIT,6,93,0,2026-04-20
AKCAPIT,12,93,0,2026-04-20
AKCAPIT,24,93,0,2026-04-20
AKCAPIT,36,93,0,2026-04-20
AKG,3,61,0,2018-10-10
AKG,6,122,0,2018-10-10
AKG,12,242,0,2018-10-10
AKG,24,490,0,2018-10-10
AKG,36,738,0,2018-10-10
AKI,3,61,0,2023-04-06
AKI,6,123,0,2023-04-06
AKI,12,245,0,2023-04-06
AKI,24,492,0,2023-04-06
AKI,36,736,0,2023-04-06
AKSHAR,3,63,0,2022-05-23
AKSHAR,6,124,0,2022-05-23
AKSHAR,12,248,0,2022-05-23
AKSHAR,24,492,19,2022-05-23
AKSHAR,36,740,19,2022-05-23
AKSHARCHEM,3,61,0,2017-03-29
AKSHARCHEM,6,124,0,2017-03-29
AKSHARCHEM,12,248,0,2017-03-29
AKSHARCHEM,24,494,0,2017-03-29
AKSHARCHEM,36,738,0,2017-03-29
AKSHARCHEM-BE,3,61,0,2017-03-28
AKSHARCHEM-BE,6,124,0,2017-03-28
AKSHARCHEM-BE,12,248,0,2017-03-28
AKSHARCHEM-BE,24,494,0,2017-03-28
AKSHARCHEM-BE,36,740,0,2017-03-28
AKSHOPTFBR-BE,3,62,0,2005-01-03
AKSHOPTFBR-BE,6,126,0,2005-01-03
AKSHOPTFBR-BE,12,250,0,2005-01-03
AKSHOPTFBR-BE,24,497,0,2005-01-03
AKSHOPTFBR-BE,36,747,0,2005-01-03
AKUMS,3,60,41,2024-08-06
AKUMS,6,123,104,2024-08-06
AKUMS,12,247,228,2024-08-06
