symbol,system,direction,entry_time,exit_time,entry_price,exit_price,bars_held,gross_ret_pct,net_ret_pct,exit_reason,capital_used,risk_rs,nav_at_entry,nav_after,exit_date
APLAPOLLO,LONG_TC,long,2026-01-22 10:00:00,2026-01-22 10:00:00,1948.0,1940.208,0,-0.3999999999999957,-0.5999999999999956,SL,750000.0,3000.0,95494.28919646551,90994.28919646554,2026-01-22
BANDHANBNK,LONG_TC,long,2026-01-22 09:55:00,2026-01-22 10:05:00,139.9,139.34040000000002,2,-0.39999999999999214,-0.5999999999999921,SL,750000.0,3000.0,95494.28919646551,86494.2891964656,2026-01-22
DBL,LONG_TC,long,2026-01-22 10:00:00,2026-01-22 10:10:00,455.75,458.94024999999993,2,0.6999999999999857,0.49999999999998573,TP,750000.0,3000.0,90994.28919646554,90244.2891964655,2026-01-22
WHIRLPOOL,LONG_TC,long,2026-01-22 10:00:00,2026-01-22 10:05:00,801.45,807.0601499999999,1,0.6999999999999827,0.49999999999998274,TP,750000.0,3000.0,90994.28919646554,93994.28919646537,2026-01-22
JKPAPER,LONG_TC,long,2026-01-22 10:00:00,2026-01-22 10:30:00,332.4,331.07039999999995,6,-0.40000000000000835,-0.6000000000000083,SL,750000.0,3000.0,90994.28919646554,89494.28919646531,2026-01-22
ZEEL,SHORT,short,2026-01-27 09:50:00,2026-01-27 10:05:00,79.42,79.73768,3,-0.39999999999999464,-0.5999999999999946,SL,750000.0,3000.0,89494.28919646531,84994.28919646535,2026-01-27
AMBER,SHORT,short,2026-01-27 09:50:00,2026-01-27 10:20:00,5471.0,5432.7029999999995,6,0.7000000000000087,0.5000000000000087,TP,750000.0,3000.0,89494.28919646531,88744.28919646541,2026-01-27
ASHOKA,SHORT,short,2026-01-27 09:50:00,2026-01-27 10:40:00,144.02,143.01186,10,0.6999999999999981,0.49999999999999806,TP,750000.0,3000.0,89494.28919646531,92494.2891964654,2026-01-27
NATCOPHARM,SHORT,short,2026-01-27 09:50:00,2026-01-27 09:55:00,813.35,816.6034000000001,1,-0.40000000000000685,-0.6000000000000069,SL,750000.0,3000.0,89494.28919646531,87994.28919646534,2026-01-27
TCIEXP,SHORT,short,2026-01-27 09:50:00,2026-01-27 11:45:00,486.6,488.5464,23,-0.39999999999999647,-0.5999999999999965,SL,750000.0,3000.0,89494.28919646531,83494.28919646537,2026-01-27
EIHOTEL,LONG_MR,long,2026-01-27 11:40:00,2026-01-27 11:50:00,310.0,308.76,2,-0.40000000000000296,-0.600000000000003,SL,750000.0,3000.0,87994.28919646534,78994.28919646534,2026-01-27
NATCOPHARM,SHORT,short,2026-01-29 09:50:00,2026-01-29 09:50:00,812.0,815.248,0,-0.4000000000000058,-0.6000000000000059,SL,750000.0,3000.0,78994.28919646534,74494.2891964653,2026-01-29
NETWORK18,SHORT,short,2026-01-29 09:50:00,2026-01-29 10:00:00,36.91,36.65163,2,0.6999999999999982,0.49999999999999817,TP,750000.0,3000.0,78994.28919646534,78244.28919646528,2026-01-29
CDSL,SHORT,short,2026-01-29 09:50:00,2026-01-29 09:55:00,1340.9,1331.5137,1,0.7000000000000088,0.5000000000000089,TP,750000.0,3000.0,78994.28919646534,81994.28919646535,2026-01-29
ZEEL,SHORT,short,2026-01-29 09:50:00,2026-01-29 10:20:00,82.86,82.27998,6,0.7000000000000056,0.5000000000000056,TP,750000.0,3000.0,74494.2891964653,85744.2891964654,2026-01-29
AMBER,SHORT,short,2026-01-29 09:50:00,2026-01-29 10:00:00,5562.5,5523.5625,2,0.7000000000000001,0.5,TP,750000.0,3000.0,74494.2891964653,89494.2891964654,2026-01-29
AARTIIND,SHORT,short,2026-01-29 09:50:00,2026-01-29 10:30:00,351.25,352.65500000000003,8,-0.4000000000000084,-0.6000000000000084,SL,750000.0,3000.0,74494.2891964653,84994.28919646534,2026-01-29
EIHOTEL,LONG_MR,long,2026-01-29 11:50:00,2026-01-29 12:05:00,308.65,307.4154,3,-0.4000000000000002,-0.6000000000000002,SL,750000.0,3000.0,84994.28919646534,80494.28919646534,2026-01-29
CYIENT,LONG_MR,long,2026-01-29 12:30:00,2026-01-29 14:30:00,1100.0,1107.6999999999998,24,0.6999999999999834,0.4999999999999834,TP,750000.0,3000.0,80494.28919646534,84244.28919646521,2026-01-29
CGCL,LONG_MR,long,2026-01-30 12:55:00,2026-01-30 13:30:00,171.5,172.70049999999998,7,0.6999999999999865,0.4999999999999865,TP,750000.0,3000.0,84244.28919646521,87994.2891964651,2026-01-30
AUROPHARMA,LONG_MR,long,2026-02-04 11:45:00,2026-02-04 11:50:00,1190.5,1198.8335,1,0.6999999999999964,0.4999999999999964,TP,750000.0,3000.0,87994.2891964651,91744.28919646508,2026-02-04
CDSL,SHORT,short,2026-02-05 09:50:00,2026-02-05 10:45:00,1352.5,1343.0325,11,0.6999999999999981,0.49999999999999806,TP,750000.0,3000.0,91744.28919646508,95494.28919646506,2026-02-05
IDEA,SHORT,short,2026-02-05 09:50:00,2026-02-05 10:50:00,11.21,11.131530000000001,12,0.6999999999999944,0.4999999999999944,TP,750000.0,3000.0,91744.28919646508,99244.28919646502,2026-02-05
ASHOKA,SHORT,short,2026-02-05 09:50:00,2026-02-05 10:00:00,152.73,153.34091999999998,2,-0.39999999999999547,-0.5999999999999954,SL,750000.0,3000.0,91744.28919646508,94744.28919646505,2026-02-05
TIINDIA,SHORT,short,2026-02-05 09:50:00,2026-02-05 10:00:00,2482.1,2464.7253,2,0.6999999999999938,0.49999999999999384,TP,750000.0,3000.0,91744.28919646508,98494.289196465,2026-02-05
HEG,SHORT,short,2026-02-05 09:50:00,2026-02-05 11:40:00,534.0,536.136,22,-0.39999999999999386,-0.5999999999999939,SL,750000.0,3000.0,91744.28919646508,93994.28919646505,2026-02-05
CDSL,SHORT,short,2026-02-06 09:50:00,2026-02-06 10:45:00,1327.5,1318.2075,11,0.7000000000000014,0.5000000000000013,TP,750000.0,3000.0,93994.28919646505,97744.28919646506,2026-02-06
TCIEXP,SHORT,short,2026-02-06 09:50:00,2026-02-06 10:05:00,568.05,570.3222,3,-0.3999999999999997,-0.5999999999999996,SL,750000.0,3000.0,93994.28919646505,93244.28919646506,2026-02-06
NATCOPHARM,SHORT,short,2026-02-06 09:50:00,2026-02-06 10:15:00,821.45,815.6998500000001,5,0.6999999999999954,0.4999999999999954,TP,750000.0,3000.0,93994.28919646505,96994.28919646503,2026-02-06
PRAJIND,SHORT,short,2026-02-06 09:50:00,2026-02-06 10:00:00,282.9,280.9197,2,0.7,0.49999999999999994,TP,750000.0,3000.0,93994.28919646505,100744.28919646503,2026-02-06
TIINDIA,SHORT,short,2026-02-06 09:50:00,2026-02-06 10:00:00,2317.7,2301.4761,2,0.6999999999999982,0.49999999999999817,TP,750000.0,3000.0,93994.28919646505,104494.28919646502,2026-02-06
JKPAPER,LONG_TC,long,2026-02-10 10:00:00,2026-02-10 10:05:00,330.75,329.427,1,-0.3999999999999937,-0.5999999999999936,SL,750000.0,3000.0,104494.28919646502,99994.28919646506,2026-02-10
AMBER,LONG_TC,long,2026-02-10 10:00:00,2026-02-10 10:25:00,7424.5,7394.802,5,-0.40000000000000435,-0.6000000000000043,SL,750000.0,3000.0,104494.28919646502,95494.28919646503,2026-02-10
ZYDUSWELL,LONG_TC,long,2026-02-10 10:15:00,2026-02-10 12:55:00,412.8,415.6896,32,0.6999999999999934,0.4999999999999934,TP,750000.0,3000.0,99994.28919646506,99244.28919646499,2026-02-10
FINEORG,LONG_TC,long,2026-02-10 10:25:00,2026-02-10 10:30:00,4600.0,4581.6,1,-0.39999999999999214,-0.5999999999999921,SL,750000.0,3000.0,95494.28919646503,94744.28919646505,2026-02-10
RCF,SHORT,short,2026-02-12 09:50:00,2026-02-12 09:50:00,134.31,134.84724,0,-0.39999999999999786,-0.5999999999999979,SL,750000.0,3000.0,94744.28919646505,90244.28919646506,2026-02-12
ZEEL,SHORT,short,2026-02-12 09:50:00,2026-02-12 09:55:00,92.25,92.619,1,-0.39999999999999974,-0.5999999999999998,SL,750000.0,3000.0,90244.28919646506,85744.28919646506,2026-02-12
PRAJIND,SHORT,short,2026-02-12 09:50:00,2026-02-12 09:55:00,323.95,325.2458,1,-0.3999999999999956,-0.5999999999999956,SL,750000.0,3000.0,90244.28919646506,81244.28919646509,2026-02-12
NBCC,SHORT,short,2026-02-12 09:50:00,2026-02-12 09:55:00,100.26,100.66104,1,-0.3999999999999947,-0.5999999999999948,SL,750000.0,3000.0,90244.28919646506,76744.28919646514,2026-02-12
NETWORK18,SHORT,short,2026-02-12 09:50:00,2026-02-12 11:10:00,38.26,37.99218,16,0.7000000000000011,0.5000000000000011,TP,750000.0,3000.0,90244.28919646506,80494.28919646515,2026-02-12
AARTIIND,SHORT,short,2026-02-12 09:50:00,2026-02-12 12:35:00,463.55,465.4042,33,-0.3999999999999982,-0.5999999999999982,SL,750000.0,3000.0,90244.28919646506,75994.28919646516,2026-02-12
EIHOTEL,LONG_MR,long,2026-02-12 12:05:00,2026-02-12 15:25:00,332.4,333.5,40,0.33092659446450745,0.13092659446450744,EOD,750000.0,3000.0,80494.28919646515,76976.23865494897,2026-02-12
NETWORK18,SHORT,short,2026-02-13 09:50:00,2026-02-13 10:20:00,36.75,36.897,6,-0.39999999999999586,-0.5999999999999959,SL,750000.0,3000.0,76976.23865494897,72476.238654949,2026-02-13
ASHOKA,SHORT,short,2026-02-13 09:50:00,2026-02-13 10:15:00,152.66,151.59138,5,0.7000000000000065,0.5000000000000064,TP,750000.0,3000.0,76976.23865494897,76226.23865494905,2026-02-13
GMDCLTD,SHORT,short,2026-02-13 09:50:00,2026-02-13 10:35:00,576.75,579.057,9,-0.40000000000000285,-0.6000000000000029,SL,750000.0,3000.0,76976.23865494897,71726.23865494903,2026-02-13
NAM-INDIA,SHORT,short,2026-02-13 09:50:00,2026-02-13 09:55:00,933.8,937.5351999999999,1,-0.3999999999999961,-0.5999999999999961,SL,750000.0,3000.0,76976.23865494897,67226.23865494906,2026-02-13
RCF,SHORT,short,2026-02-13 09:50:00,2026-02-13 12:25:00,130.62,131.14248,31,-0.40000000000000124,-0.6000000000000012,SL,750000.0,3000.0,76976.23865494897,62726.238654949055,2026-02-13
CGCL,LONG_MR,long,2026-02-16 13:10:00,2026-02-16 15:25:00,174.89,175.2,27,0.1772542741151594,-0.022745725884840612,EOD,750000.0,3000.0,62726.238654949055,62555.64571081275,2026-02-16
NATIONALUM,SHORT,short,2026-02-17 09:50:00,2026-02-17 10:05:00,341.7,339.30809999999997,3,0.7000000000000062,0.5000000000000062,TP,750000.0,3000.0,62555.64571081275,66305.6457108128,2026-02-17
GMDCLTD,SHORT,short,2026-02-17 09:50:00,2026-02-17 09:55:00,548.5,550.694,1,-0.3999999999999927,-0.5999999999999928,SL,750000.0,3000.0,62555.64571081275,61805.64571081285,2026-02-17
CDSL,SHORT,short,2026-02-17 09:50:00,2026-02-17 10:25:00,1344.6,1349.9784,7,-0.4000000000000042,-0.6000000000000042,SL,750000.0,3000.0,62555.64571081275,57305.64571081282,2026-02-17
AUROPHARMA,LONG_MR,long,2026-02-18 11:20:00,2026-02-18 11:50:00,1147.2,1155.2304,6,0.6999999999999889,0.49999999999998884,TP,750000.0,3000.0,57305.64571081282,61055.645710812736,2026-02-18
CCL,LONG_TC,long,2026-02-23 10:15:00,2026-02-23 10:20:00,1038.55,1034.3958,1,-0.3999999999999948,-0.5999999999999948,SL,750000.0,3000.0,61055.645710812736,56555.64571081278,2026-02-23
GODREJAGRO,LONG_TC,long,2026-02-23 09:55:00,2026-02-23 12:05:00,641.5,645.9904999999999,26,0.6999999999999819,0.49999999999998185,TP,750000.0,3000.0,61055.645710812736,60305.64571081264,2026-02-23
BAJFINANCE,LONG_TC,long,2026-02-23 10:00:00,2026-02-23 10:35:00,1040.3,1036.1388,7,-0.4000000000000008,-0.6000000000000008,SL,750000.0,3000.0,61055.645710812736,55805.645710812634,2026-02-23
JKCEMENT,LONG_TC,long,2026-02-23 10:05:00,2026-02-23 10:40:00,5770.5,5747.418,7,-0.4000000000000058,-0.6000000000000059,SL,750000.0,3000.0,61055.645710812736,51305.64571081259,2026-02-23
M&MFIN,LONG_TC,long,2026-02-23 10:05:00,2026-02-23 10:30:00,378.35,380.99845,5,0.6999999999999916,0.4999999999999916,TP,750000.0,3000.0,61055.645710812736,55055.645710812525,2026-02-23
