symbol,n_sessions,L_b3_wr,L_b3_n,L_b3_avg_ret,L_b6_wr,L_b6_n,L_b6_avg_ret,S_b3_wr,S_b3_n,S_b3_avg_ret,S_b6_wr,S_b6_n,S_b6_avg_ret,L_b3_aboveVWAP_wr,L_b3_aboveVWAP_n,L_b3_aboveVWAP_avg_ret,S_b3_belowVWAP_wr,S_b3_belowVWAP_n,S_b3_belowVWAP_avg_ret,L_b3_strong_wr,L_b3_strong_n,L_b3_strong_avg_ret,S_b3_weak_wr,S_b3_weak_n,S_b3_weak_avg_ret
BHARATFORG,442,0.5,442,-2.398619427161533e-05,0.4819004524886878,442,0.000116710197123784,0.49547511312217196,442,2.398619427161533e-05,0.5135746606334841,442,-0.000116710197123784,0.5219512195121951,205,-0.0004487391650980372,0.510548523206751,237,-0.0003434161644600999,0.49586776859504134,121,-0.0015815642691488073,0.47058823529411764,102,-0.0011583151457744514
BHEL,442,0.4683257918552036,442,-0.0014613441026979268,0.45475113122171945,442,-0.0012098494531336838,0.5271493212669683,442,0.0014613441026979268,0.5452488687782805,442,0.0012098494531336838,0.45217391304347826,230,-0.0008115298168783884,0.5141509433962265,212,0.0021663312995776145,0.4411764705882353,136,-0.00022958017398958148,0.5445544554455446,101,0.003861435457952634
BIOCON,442,0.45701357466063347,442,-0.001101116267416286,0.4298642533936652,442,-0.0008839137124965292,0.5361990950226244,442,0.001101116267416286,0.5656108597285068,442,0.0008839137124965292,0.4711111111111111,225,-0.00020324862891030995,0.5483870967741935,217,0.0020320850170192565,0.4338235294117647,136,-0.0013140392943820373,0.5643564356435643,101,0.0031049584255206206
BIRLACORPN,442,0.4592760180995475,442,-0.0010195693749017632,0.4638009049773756,442,-0.0013596196985169477,0.5384615384615384,442,0.0010195693749017632,0.5294117647058824,442,0.0013596196985169477,0.5097087378640777,206,2.7837138581657558e-05,0.5829787234042553,235,0.0019420600606570248,0.4489795918367347,98,-0.002191635762897083,0.5779816513761468,109,0.0016122912174454677
BLUEDART,442,0.4479638009049774,442,7.662046006373119e-05,0.4276018099547511,442,-2.6796515854831926e-05,0.5452488687782805,442,-7.662046006373119e-05,0.5656108597285068,442,2.6796515854831926e-05,0.41040462427745666,173,0.0006033492066834908,0.5204460966542751,269,0.0002621307412939583,0.358974358974359,78,-0.0007476104450987967,0.5084745762711864,118,-0.0009960427902883909
BLUESTARCO,442,0.4841628959276018,442,0.0006507067625224326,0.5090497737556561,442,0.0007031366540316182,0.5158371040723982,442,-0.0006507067625224326,0.48642533936651583,442,-0.0007031366540316182,0.4976303317535545,211,0.0015475383121121707,0.5281385281385281,231,0.0001684770338560722,0.47619047619047616,105,0.0035906100397970213,0.5306122448979592,98,-0.0012117029961063802
BOSCHLTD,442,0.4479638009049774,442,-0.0009022273324467132,0.4479638009049774,442,-0.000733955250021116,0.5520361990950227,442,0.0009022273324467132,0.5497737556561086,442,0.000733955250021116,0.41089108910891087,202,-0.0014041831886805515,0.5208333333333334,240,0.0004797478201165663,0.38317757009345793,107,-0.0023255936050072725,0.46511627906976744,86,0.001048936526124409
BRIGADE,442,0.4411764705882353,442,-0.001508407318353377,0.4230769230769231,442,-0.0015474510830688264,0.5565610859728507,442,0.001508407318353377,0.5746606334841629,442,0.0015474510830688264,0.4603960396039604,202,0.0008185799415205296,0.575,240,0.0034669549287472483,0.4519230769230769,104,1.007020225080172e-05,0.5377358490566038,106,0.0032660483128467456
BSE,442,0.45248868778280543,442,-0.0007717172540013729,0.4411764705882353,442,-0.000849179998074278,0.5384615384615384,442,0.0007717172540013729,0.5520361990950227,442,0.000849179998074278,0.47619047619047616,210,0.001608098693268148,0.5646551724137931,232,0.0029258609993746457,0.5,130,0.0027181780889140713,0.6090909090909091,110,0.006935862408221695
BSOFT,442,0.4343891402714932,442,-0.00285531955943555,0.4072398190045249,442,-0.0024691166302922684,0.5610859728506787,442,0.00285531955943555,0.5882352941176471,442,0.0024691166302922684,0.43915343915343913,189,-0.002819071222715547,0.5652173913043478,253,0.0028823983564319152,0.38461538461538464,104,-0.0033775068214645146,0.5714285714285714,112,0.00347054306862013
CANBK,442,0.4321266968325792,442,-0.0013275996687048728,0.41855203619909503,442,-0.0010222180516825153,0.5588235294117647,442,0.0013275996687048728,0.5746606334841629,442,0.0010222180516825153,0.4291845493562232,233,-0.0011029659748372387,0.5550239234449761,209,0.0015780286192845798,0.4647887323943662,142,8.675240751474631e-05,0.5729166666666666,96,0.0027545859380474374
