symbol,system,direction,entry_time,exit_time,entry_price,exit_price,bars_held,gross_ret_pct,net_ret_pct,exit_reason,capital_used,risk_rs,nav_at_entry,nav_after,exit_date
LTTS,SHORT,short,2024-09-05 09:50:00,2024-09-05 14:50:00,5657.7,5665.75,60,-0.14228396698305287,-0.34228396698305286,EOD,200000.0,3000.0,1027793.8154355927,1027109.2475016266,2024-09-05
NBCC,SHORT,short,2024-09-05 09:50:00,2024-09-05 14:50:00,122.72,121.79,60,0.7578226857887815,0.5578226857887816,EOD,200000.0,3000.0,1027793.8154355927,1028224.8928732042,2024-09-05
BOSCHLTD,LONG_MR,long,2024-09-06 11:50:00,2024-09-06 14:20:00,32811.75,32319.57375,30,-1.5000000000000013,-1.7000000000000013,SL,200000.0,3000.0,1028224.8928732042,1024824.8928732042,2024-09-06
TCIEXP,SHORT,short,2024-09-12 09:50:00,2024-09-12 12:15:00,1128.1,1105.5379999999998,29,2.000000000000011,1.8000000000000111,TP,200000.0,3000.0,1024824.8928732042,1028424.8928732042,2024-09-12
AARTIIND,SHORT,short,2024-09-12 09:50:00,2024-09-12 14:50:00,569.5,569.0,60,0.08779631255487269,-0.11220368744512732,EOD,200000.0,3000.0,1024824.8928732042,1028200.4854983139,2024-09-12
SJVN,SHORT,short,2024-09-12 09:50:00,2024-09-12 14:50:00,130.09,130.43,60,-0.2613575217157379,-0.4613575217157379,EOD,200000.0,3000.0,1024824.8928732042,1027277.7704548824,2024-09-12
HEG,SHORT,short,2024-09-12 09:50:00,2024-09-12 14:50:00,399.0,401.0,60,-0.5012531328320802,-0.7012531328320801,EOD,200000.0,3000.0,1024824.8928732042,1025875.2641892183,2024-09-12
IDEA,SHORT,short,2024-09-12 09:50:00,2024-09-12 10:15:00,12.98,13.1747,5,-1.4999999999999938,-1.6999999999999937,SL,200000.0,3000.0,1024824.8928732042,1022475.2641892183,2024-09-12
BAYERCROP,SHORT,short,2024-09-13 09:50:00,2024-09-13 14:50:00,6496.15,6505.75,60,-0.1477798388276189,-0.34777983882761887,EOD,200000.0,3000.0,1022475.2641892183,1021779.7045115631,2024-09-13
NATCOPHARM,SHORT,short,2024-09-13 09:50:00,2024-09-13 14:50:00,1593.5,1582.6,60,0.6840288672733035,0.48402886727330346,EOD,200000.0,3000.0,1022475.2641892183,1022747.7622461097,2024-09-13
ASAHIINDIA,LONG_TC,long,2024-09-19 10:00:00,2024-09-19 11:25:00,684.05,697.731,17,2.0000000000000058,1.8000000000000058,TP,200000.0,3000.0,1022747.7622461097,1026347.7622461097,2024-09-19
CHOLAFIN,LONG_TC,long,2024-09-19 10:05:00,2024-09-19 11:25:00,1605.45,1581.36825,16,-1.5000000000000033,-1.7000000000000033,SL,200000.0,3000.0,1022747.7622461097,1022947.7622461097,2024-09-19
EIHOTEL,LONG_MR,long,2024-09-19 11:45:00,2024-09-19 15:25:00,371.35,374.75,44,0.9155782954086379,0.7155782954086378,EOD,200000.0,3000.0,1022947.7622461097,1024378.9188369269,2024-09-19
CESC,LONG_MR,long,2024-09-19 12:10:00,2024-09-19 15:05:00,174.23,177.7146,35,2.0000000000000004,1.8000000000000005,TP,200000.0,3000.0,1022947.7622461097,1027978.9188369269,2024-09-19
CAPLIPOINT,LONG_MR,long,2024-09-19 12:10:00,2024-09-19 15:25:00,1919.0,1935.0,39,0.8337675872850442,0.6337675872850441,EOD,200000.0,3000.0,1022947.7622461097,1029246.454011497,2024-09-19
ASHOKA,SHORT,short,2024-09-20 09:50:00,2024-09-20 14:50:00,235.82,235.48,60,0.14417776270036614,-0.05582223729963387,EOD,200000.0,3000.0,1029246.454011497,1029134.8095368977,2024-09-20
GMDCLTD,SHORT,short,2024-09-20 09:50:00,2024-09-20 14:50:00,364.5,363.8,60,0.19204389574759634,-0.007956104252403673,EOD,200000.0,3000.0,1029246.454011497,1029118.8973283928,2024-09-20
HEG,SHORT,short,2024-09-20 09:50:00,2024-09-20 10:35:00,444.95,451.62424999999996,9,-1.4999999999999938,-1.6999999999999937,SL,200000.0,3000.0,1029246.454011497,1025718.8973283928,2024-09-20
IDEA,SHORT,short,2024-09-20 09:50:00,2024-09-20 10:00:00,10.2,9.995999999999999,2,2.000000000000006,1.8000000000000063,TP,200000.0,3000.0,1029246.454011497,1029318.8973283928,2024-09-20
AMBER,LONG_TC,long,2024-09-23 09:55:00,2024-09-23 11:00:00,4458.5,4547.67,13,2.0000000000000018,1.8000000000000018,TP,200000.0,3000.0,1029318.8973283928,1032918.8973283928,2024-09-23
DIXON,LONG_TC,long,2024-09-23 10:00:00,2024-09-23 15:00:00,14195.7,14262.95,60,0.47373500426185394,0.27373500426185393,EOD,200000.0,3000.0,1029318.8973283928,1033466.3673369165,2024-09-23
CYIENT,LONG_MR,long,2024-09-27 12:15:00,2024-09-27 15:25:00,1919.05,1905.0,38,-0.7321330866835128,-0.9321330866835129,EOD,200000.0,3000.0,1033466.3673369165,1031602.1011635495,2024-09-27
CYIENT,LONG_MR,long,2024-09-30 11:25:00,2024-09-30 15:20:00,1856.3,1893.426,47,1.9999999999999987,1.7999999999999987,TP,200000.0,3000.0,1031602.1011635495,1035202.1011635495,2024-09-30
AUROPHARMA,LONG_MR,long,2024-10-01 11:20:00,2024-10-01 15:25:00,1424.65,1442.0,49,1.2178429789772862,1.0178429789772863,EOD,200000.0,3000.0,1035202.1011635495,1037237.7871215041,2024-10-01
CERA,LONG_MR,long,2024-10-07 11:20:00,2024-10-07 15:25:00,7748.4,7755.0,49,0.08517887563884627,-0.11482112436115374,EOD,200000.0,3000.0,1037237.7871215041,1037008.1448727818,2024-10-07
AAVAS,LONG_MR,long,2024-10-07 11:20:00,2024-10-07 15:25:00,1725.3,1725.0,49,-0.017388280299075784,-0.2173882802990758,EOD,200000.0,3000.0,1037237.7871215041,1036573.3683121837,2024-10-07
CAPLIPOINT,LONG_MR,long,2024-10-07 11:20:00,2024-10-07 15:25:00,1929.8,1915.0,49,-0.7669188516944737,-0.9669188516944738,EOD,200000.0,3000.0,1037237.7871215041,1034639.5306087947,2024-10-07
APLAPOLLO,LONG_MR,long,2024-10-07 11:20:00,2024-10-07 15:25:00,1549.95,1568.0,49,1.1645536952804898,0.9645536952804898,EOD,200000.0,3000.0,1037237.7871215041,1036568.6379993557,2024-10-07
CESC,LONG_MR,long,2024-10-07 11:20:00,2024-10-07 15:25:00,172.3,172.55,49,0.14509576320371445,-0.05490423679628556,EOD,200000.0,3000.0,1037237.7871215041,1036458.829525763,2024-10-07
ASTRAZEN,LONG_TC,long,2024-10-09 09:55:00,2024-10-09 14:55:00,7960.2,7969.0,60,0.11054998618125401,-0.089450013818746,EOD,200000.0,3000.0,1036458.829525763,1036279.9294981256,2024-10-09
FINEORG,LONG_TC,long,2024-10-09 09:55:00,2024-10-09 14:55:00,5124.05,5152.7,60,0.5591280334891274,0.3591280334891274,EOD,200000.0,3000.0,1036458.829525763,1036998.1855651038,2024-10-09
GODFRYPHLP,LONG_TC,long,2024-10-09 09:55:00,2024-10-09 14:55:00,2370.0,2371.0,60,0.04219409282700422,-0.1578059071729958,EOD,200000.0,3000.0,1036458.829525763,1036682.5737507577,2024-10-09
