variant,symbol,direction,entry_date,exit_date,entry_price,exit_price,qty,days_held,exit_reason,gross_pnl,net_pnl
55_vol_3x_atr_floor,ADANIPORTS,LONG,2022-04-06,2022-05-04,852.95,806.96,190,28,INITIAL_STOP,-8737.74,-9053.12
55_vol_3x_atr_floor,TRENT,LONG,2022-03-21,2022-05-06,1282.00,1179.44,127,46,INITIAL_STOP,-13025.12,-13337.72
55_vol_3x_atr_floor,JSWSTEEL,LONG,2022-03-28,2022-05-09,722.00,676.22,224,42,INITIAL_STOP,-10254.76,-10567.96
55_vol_3x_atr_floor,ADANIENT,LONG,2022-04-06,2022-05-12,2153.75,2029.79,75,36,INITIAL_STOP,-9296.70,-9610.46
55_vol_3x_atr_floor,NTPC,LONG,2022-04-07,2022-05-13,152.95,145.67,1052,36,INITIAL_STOP,-7661.78,-7975.93
55_vol_3x_atr_floor,POWERGRID,LONG,2022-05-10,2022-05-18,180.80,170.33,850,8,INITIAL_STOP,-8897.98,-9196.44
55_vol_3x_atr_floor,HAL,LONG,2022-04-04,2022-06-01,766.50,958.12,211,58,TARGET,40432.88,40068.98
55_vol_3x_atr_floor,COLPAL,LONG,2022-04-25,2022-06-07,1599.70,1528.44,98,43,INITIAL_STOP,-6983.95,-7290.51
55_vol_3x_atr_floor,M&M,LONG,2022-05-31,2022-08-01,997.95,1247.44,151,62,TARGET,37672.61,37333.56
55_vol_3x_atr_floor,SUNPHARMA,LONG,2022-08-01,2022-08-03,939.95,896.06,164,2,INITIAL_STOP,-7198.42,-7499.53
55_vol_3x_atr_floor,HEROMOTOCO,LONG,2022-08-18,2022-08-22,2758.75,2629.99,57,4,INITIAL_STOP,-7339.16,-7646.32
55_vol_3x_atr_floor,IRCTC,LONG,2022-08-19,2022-08-29,706.90,667.90,222,10,INITIAL_STOP,-8658.35,-8963.56
55_vol_3x_atr_floor,BEL,LONG,2022-07-19,2022-09-01,84.55,105.69,1825,44,TARGET,38575.94,38228.75
55_vol_3x_atr_floor,IDFCFIRSTB,LONG,2022-08-02,2022-09-15,42.00,52.50,3764,44,TARGET,39522.00,39166.30
55_vol_3x_atr_floor,COLPAL,LONG,2022-08-30,2022-09-16,1641.60,1572.73,94,17,INITIAL_STOP,-6473.38,-6775.53
55_vol_3x_atr_floor,TATACONSUM,LONG,2022-09-02,2022-09-16,834.65,796.96,191,14,INITIAL_STOP,-7198.80,-7510.44
55_vol_3x_atr_floor,FEDERALBNK,LONG,2022-07-20,2022-09-19,108.45,122.60,1423,61,MAX_HOLD,20135.45,19806.67
55_vol_3x_atr_floor,ULTRACEMCO,LONG,2022-07-25,2022-09-23,6349.00,6139.95,24,60,MAX_HOLD,-5017.20,-5316.93
55_vol_3x_atr_floor,INDUSINDBK,LONG,2022-09-19,2022-09-26,1226.00,1156.64,132,7,INITIAL_STOP,-9155.38,-9469.89
55_vol_3x_atr_floor,MARICO,LONG,2022-09-23,2022-09-26,554.35,529.49,295,3,INITIAL_STOP,-7333.50,-7653.24
55_vol_3x_atr_floor,BAJFINANCE,LONG,2022-07-29,2022-09-27,717.50,724.00,215,60,MAX_HOLD,1397.50,1087.58
55_vol_3x_atr_floor,BAJAJFINSV,LONG,2022-07-29,2022-09-27,1500.00,1679.55,102,60,MAX_HOLD,18314.10,17989.79
55_vol_3x_atr_floor,AMBUJACEM,LONG,2022-09-16,2022-09-27,530.95,493.73,307,11,INITIAL_STOP,-11426.24,-11740.82
55_vol_3x_atr_floor,SBILIFE,LONG,2022-08-01,2022-09-28,1300.00,1232.90,118,58,INITIAL_STOP,-7917.92,-8216.80
55_vol_3x_atr_floor,HAL,LONG,2022-08-10,2022-10-10,1080.00,1209.90,145,61,MAX_HOLD,18835.50,18503.46
55_vol_3x_atr_floor,PNB,LONG,2022-08-26,2022-10-25,34.50,42.08,4538,60,MAX_HOLD,34398.04,34050.52
55_vol_3x_atr_floor,PNB,LONG,2022-10-27,2022-11-01,42.27,39.32,3948,5,INITIAL_STOP,-11662.23,-11984.33
55_vol_3x_atr_floor,AXISBANK,LONG,2022-10-24,2022-11-02,916.00,867.19,178,9,INITIAL_STOP,-8688.35,-9005.76
55_vol_3x_atr_floor,MARUTI,LONG,2022-10-31,2022-11-02,9650.00,9221.66,17,2,INITIAL_STOP,-7281.81,-7602.63
55_vol_3x_atr_floor,VEDL,LONG,2022-11-07,2022-11-09,279.00,259.16,587,2,INITIAL_STOP,-11646.41,-11962.31
55_vol_3x_atr_floor,SBIN,LONG,2022-11-09,2022-11-14,621.00,592.00,264,5,INITIAL_STOP,-7656.51,-7976.74
55_vol_3x_atr_floor,PNB,LONG,2022-11-10,2022-12-06,43.73,54.66,3723,26,TARGET,40701.70,40335.38
55_vol_3x_atr_floor,CUMMINSIND,LONG,2022-12-12,2022-12-15,1517.95,1445.80,109,3,INITIAL_STOP,-7864.79,-8187.84
55_vol_3x_atr_floor,FEDERALBNK,LONG,2022-10-17,2022-12-16,132.00,136.05,1238,60,MAX_HOLD,5013.90,4682.05
55_vol_3x_atr_floor,APOLLOHOSP,LONG,2022-11-25,2022-12-19,4815.00,4549.65,33,24,INITIAL_STOP,-8756.53,-9065.56
55_vol_3x_atr_floor,HAL,LONG,2022-11-17,2022-12-22,1348.20,1262.33,120,35,INITIAL_STOP,-10304.20,-10617.47
55_vol_3x_atr_floor,IOC,LONG,2022-11-29,2022-12-23,60.15,57.65,2693,24,INITIAL_STOP,-6735.30,-7052.53
55_vol_3x_atr_floor,MCX,LONG,2022-10-27,2022-12-26,1505.00,1572.75,110,60,MAX_HOLD,7452.50,7113.95
55_vol_3x_atr_floor,BRITANNIA,LONG,2022-11-09,2023-01-09,4140.00,4364.30,39,61,MAX_HOLD,8747.70,8416.03
55_vol_3x_atr_floor,BANKBARODA,LONG,2022-11-09,2023-01-09,146.94,171.63,1116,61,MAX_HOLD,27554.04,27198.52
55_vol_3x_atr_floor,HDFCBANK,LONG,2022-11-14,2023-01-13,806.00,800.30,202,60,MAX_HOLD,-1151.40,-1475.87
55_vol_3x_atr_floor,HINDALCO,LONG,2022-11-15,2023-01-16,456.00,483.05,355,62,MAX_HOLD,9602.75,9269.39
55_vol_3x_atr_floor,IOC,LONG,2023-01-12,2023-01-27,67.29,63.99,2486,15,INITIAL_STOP,-8202.63,-8529.00
55_vol_3x_atr_floor,SIEMENS,LONG,2023-01-19,2023-01-27,2334.15,2222.16,72,8,INITIAL_STOP,-8063.11,-8391.16
55_vol_3x_atr_floor,BAJAJ-AUTO,LONG,2023-01-30,2023-02-01,3842.50,3691.37,43,2,INITIAL_STOP,-6498.56,-6822.51
55_vol_3x_atr_floor,TATASTEEL,LONG,2023-01-03,2023-02-07,113.55,106.76,1442,35,INITIAL_STOP,-9795.69,-10113.38
55_vol_3x_atr_floor,COFORGE,LONG,2023-01-24,2023-02-13,872.00,816.30,192,20,INITIAL_STOP,-10694.01,-11018.17
55_vol_3x_atr_floor,JINDALSTEL,LONG,2022-12-28,2023-02-27,572.80,553.25,285,61,MAX_HOLD,-5571.75,-5892.67
55_vol_3x_atr_floor,TATAMOTORS,LONG,2023-01-30,2023-02-27,445.60,422.20,373,28,INITIAL_STOP,-8728.17,-9051.86
55_vol_3x_atr_floor,BRITANNIA,LONG,2023-02-03,2023-02-27,4590.00,4406.12,36,24,INITIAL_STOP,-6619.63,-6943.49
55_vol_3x_atr_floor,VOLTAS,LONG,2023-02-23,2023-02-27,916.90,870.64,178,4,INITIAL_STOP,-8233.62,-8551.80
55_vol_3x_atr_floor,TECHM,LONG,2023-02-17,2023-03-10,1060.70,1006.05,154,21,INITIAL_STOP,-8415.70,-8733.97
55_vol_3x_atr_floor,HAL,LONG,2023-03-09,2023-03-16,1434.00,1348.91,111,7,INITIAL_STOP,-9444.98,-9753.88
55_vol_3x_atr_floor,PERSISTENT,LONG,2023-01-24,2023-03-27,2292.95,2183.55,73,62,MAX_HOLD,-7986.20,-8312.98
55_vol_3x_atr_floor,ITC,LONG,2023-02-02,2023-04-03,312.75,327.70,529,60,MAX_HOLD,7908.55,7569.75
55_vol_3x_atr_floor,CUMMINSIND,LONG,2023-02-10,2023-04-11,1579.50,1577.40,104,60,MAX_HOLD,-218.40,-546.72
55_vol_3x_atr_floor,SIEMENS,LONG,2023-02-16,2023-04-17,2473.55,2544.15,66,60,MAX_HOLD,4659.60,4328.43
55_vol_3x_atr_floor,SHREECEM,LONG,2023-02-20,2023-04-21,25600.00,24067.30,6,60,INITIAL_STOP,-9196.20,-9494.21
55_vol_3x_atr_floor,SIEMENS,LONG,2023-05-15,2023-05-19,2981.70,2864.76,53,4,INITIAL_STOP,-6197.73,-6507.60
55_vol_3x_atr_floor,COLPAL,LONG,2023-05-16,2023-05-19,1681.50,1620.25,94,3,INITIAL_STOP,-5757.93,-6068.29
55_vol_3x_atr_floor,CHOLAFIN,LONG,2023-04-10,2023-05-23,847.80,1059.75,187,43,TARGET,39634.65,39277.94
