date,daily_pnl
2025-05-29,-142.95
2025-05-30,-8864.44
2025-06-02,-6269.78
2025-06-03,-4213.73
2025-06-04,-7207.51
2025-06-05,-6903.68
2025-06-06,-28.16
2025-06-09,-5415.51
2025-06-10,-8233.88
2025-06-11,-7195.40
2025-06-12,-11015.93
2025-06-13,-3097.99
2025-06-16,-7215.88
2025-06-17,-6706.98
2025-06-18,-4374.16
2025-06-19,-9257.45
2025-06-20,-1896.20
2025-06-23,-10175.81
2025-06-24,-8081.67
2025-06-25,-7547.94
2025-06-26,-6324.04
2025-06-27,-5574.72
2025-06-30,-120.05
2025-07-01,-3690.90
2025-07-02,-10293.83
2025-07-03,-5570.45
2025-07-04,-11953.56
2025-07-07,-6249.62
2025-07-08,-58.93
2025-07-09,-4973.93
2025-07-10,-4494.19
2025-07-11,-7774.60
2025-07-14,-4645.75
2025-07-15,-6953.08
2025-07-16,-143.17
2025-07-17,-5625.81
2025-07-18,-7603.69
2025-07-21,-9499.21
2025-07-22,-7572.25
2025-07-23,-4090.88
2025-07-24,-1123.94
2025-07-25,-10947.68
2025-07-28,-10265.88
2025-07-29,-9312.10
2025-07-30,-3157.02
2025-07-31,-1092.66
2025-08-01,-883.36
2025-08-04,-6426.82
2025-08-05,-7216.65
2025-08-06,395.36
2025-08-07,-9151.27
2025-08-08,-8342.58
2025-08-11,-8129.12
2025-08-12,-561.11
2025-08-13,-4342.12
2025-08-14,-8150.98
2025-08-18,-4489.68
2025-08-19,-6575.08
2025-08-20,-5003.78
2025-08-21,-5957.75
2025-08-22,-3467.67
2025-08-25,-718.04
2025-08-26,-4207.45
2025-08-28,-2834.66
2025-08-29,-6154.02
2025-09-01,-7377.90
2025-09-02,-19.84
2025-09-03,-7526.95
2025-09-04,-3859.17
2025-09-05,-9108.04
2025-09-08,-3104.43
2025-09-09,-7239.45
2025-09-10,-190.47
2025-09-11,-4944.71
2025-09-12,-8982.98
2025-09-15,-6028.13
2025-09-16,-4659.46
2025-09-17,-4758.99
2025-09-18,-792.98
2025-09-19,-6320.45
2025-09-22,-4399.11
2025-09-23,-6096.26
2025-09-24,-6944.62
2025-09-25,-5578.29
2025-09-26,-868.58
2025-09-29,-7004.87
2025-09-30,-5680.69
2025-10-01,-6609.93
2025-10-03,-1853.24
2025-10-06,-4188.80
2025-10-07,-3212.20
2025-10-08,-8440.87
