symbol,date,direction,entry_time,entry,stop,target,qty,atr_at_entry,deviation_at_entry,exit_time,exit_price,exit_reason,gross_pnl,net_pnl
TRENT,2025-04-16,SHORT,2025-04-16T12:35:00,4995.50,5005.71,4985.29,60,10.21,2.56,2025-04-16T13:05:00,4985.29,TARGET,612.86,163.72
TRENT,2025-04-17,SHORT,2025-04-17T11:35:00,5089.50,5105.04,5073.96,58,15.54,4.10,2025-04-17T11:40:00,5105.04,STOP,-901.07,-1344.53
TRENT,2025-04-21,SHORT,2025-04-21T11:35:00,5286.00,5298.93,5273.07,56,12.93,4.74,2025-04-21T12:10:00,5298.93,STOP,-724.00,-1168.57
TRENT,2025-04-22,LONG,2025-04-22T11:35:00,5331.00,5319.11,5342.89,56,11.89,-2.43,2025-04-22T11:50:00,5342.89,TARGET,666.00,217.70
TRENT,2025-04-23,SHORT,2025-04-23T12:50:00,5310.50,5324.39,5296.61,56,13.89,2.04,2025-04-23T13:00:00,5324.39,STOP,-778.00,-1224.67
TRENT,2025-04-24,SHORT,2025-04-24T12:00:00,5325.00,5337.07,5312.93,56,12.07,1.87,2025-04-24T12:05:00,5337.07,STOP,-676.00,-1123.81
TRENT,2025-04-25,LONG,2025-04-25T11:35:00,5142.50,5117.93,5167.07,58,24.57,-2.01,2025-04-25T11:45:00,5117.93,STOP,-1425.14,-1871.47
TRENT,2025-04-28,LONG,2025-04-28T11:50:00,5175.50,5162.07,5188.93,57,13.43,-1.89,2025-04-28T12:40:00,5188.93,TARGET,765.43,322.35
TRENT,2025-04-29,LONG,2025-04-29T11:35:00,5218.00,5204.82,5231.18,57,13.18,-3.70,2025-04-29T11:50:00,5204.82,STOP,-751.18,-1196.75
TRENT,2025-04-30,SHORT,2025-04-30T11:35:00,5235.00,5244.18,5225.82,57,9.18,2.88,2025-04-30T11:45:00,5225.82,TARGET,523.18,75.98
TRENT,2025-05-02,LONG,2025-05-02T11:35:00,5167.50,5150.61,5184.39,58,16.89,-3.06,2025-05-02T11:50:00,5184.39,TARGET,979.79,529.48
TRENT,2025-05-06,LONG,2025-05-06T11:35:00,5291.00,5277.14,5304.86,56,13.86,-3.39,2025-05-06T11:40:00,5277.14,STOP,-776.00,-1219.86
TRENT,2025-05-07,SHORT,2025-05-07T12:45:00,5239.50,5249.86,5229.14,57,10.36,2.13,2025-05-07T12:55:00,5229.14,TARGET,590.36,142.82
TRENT,2025-05-08,SHORT,2025-05-08T11:35:00,5296.50,5310.11,5282.89,56,13.61,2.53,2025-05-08T12:25:00,5310.11,STOP,-762.00,-1207.48
TRENT,2025-05-09,LONG,2025-05-09T13:05:00,5107.50,5095.14,5119.86,58,12.36,-2.27,2025-05-09T13:10:00,5119.86,TARGET,716.71,271.82
TRENT,2025-05-12,SHORT,2025-05-12T11:35:00,5387.50,5399.82,5375.18,55,12.32,4.29,2025-05-12T12:05:00,5375.18,TARGET,677.68,233.72
TRENT,2025-05-14,LONG,2025-05-14T11:35:00,5345.00,5335.68,5354.32,56,9.32,-2.97,2025-05-14T11:45:00,5335.68,STOP,-522.00,-970.59
TRENT,2025-05-15,SHORT,2025-05-15T12:00:00,5405.00,5419.96,5390.04,55,14.96,1.86,2025-05-15T12:05:00,5419.96,STOP,-823.04,-1269.57
TRENT,2025-05-16,LONG,2025-05-16T11:55:00,5559.00,5547.86,5570.14,53,11.14,-1.98,2025-05-16T12:15:00,5570.14,TARGET,590.57,148.19
