seg_idx,seg_dir,seg_entry_dt,seg_end_dt,seg_bars,cst_idx,cst_dt,cst_close,cst_atr,continuation_pts,reversal_pts,outcome,mfe_before_cst,mfe_after_cst,mfe_extension_pct
50,1,2025-08-12 09:30:00,2025-08-22 09:30:00,73,3797,2025-08-13 15:00:00,24630.4,52.304861709359436,523.25,33.5,TREND_CONTINUED,17.899999999997817,468.9500000000007,25.198324022349603
51,-1,2025-08-22 11:00:00,2025-09-01 15:00:00,57,3850,2025-08-22 11:30:00,24950.75,43.36912787410337,546.0499999999993,70.79999999999927,TREND_CONTINUED,27.600000000002183,516.0,17.695652173911565
52,1,2025-09-02 10:00:00,2025-09-22 13:00:00,139,3913,2025-09-02 13:00:00,24684.75,44.55256179125492,757.6500000000015,162.40000000000146,TREND_CONTINUED,20.399999999997817,706.7000000000007,33.64215686274884
53,-1,2025-09-22 14:00:00,2025-10-03 14:00:00,97,4049,2025-09-22 15:00:00,25200.2,40.84004407663212,612.5,61.70000000000073,TREND_CONTINUED,85.45000000000073,648.7999999999993,6.59274429490923
54,1,2025-10-03 15:00:00,2025-10-24 12:30:00,139,4150,2025-10-06 11:30:00,24992.35,45.638966451568315,1111.8500000000022,2.099999999998545,TREND_CONTINUED,121.54999999999927,1209.2000000000007,8.948169477581308
55,-1,2025-10-24 13:30:00,2025-11-10 10:30:00,91,4286,2025-10-24 14:00:00,25775.6,59.041901324312924,457.1499999999978,266.1000000000022,TREND_CONTINUED,21.399999999997817,421.1499999999978,18.67990654205798
56,1,2025-11-10 12:30:00,2025-11-24 13:30:00,111,4381,2025-11-10 13:30:00,25599.95,51.96999508664897,646.7000000000007,150.70000000000073,TREND_CONTINUED,6.25,599.4500000000007,94.91200000000012
57,-1,2025-11-24 14:30:00,2025-11-26 11:00:00,18,4493,2025-11-25 09:30:00,25988.4,47.75748410996818,130.90000000000146,150.89999999999782,CST_CORRECT,126.89999999999782,181.54999999999927,0.43065405831365167
58,1,2025-11-26 12:00:00,2025-12-02 11:00:00,47,4512,2025-11-26 13:00:00,26154.3,51.27855358664457,160.40000000000146,107.45000000000073,TREND_CONTINUED,37.60000000000218,156.90000000000146,3.1728723404253283
59,-1,2025-12-02 12:00:00,2025-12-05 11:30:00,36,4561,2025-12-02 13:30:00,26059.45,44.2730293012717,168.45000000000073,97.20000000000073,TREND_CONTINUED,37.79999999999927,175.45000000000073,3.6415343915345
60,1,2025-12-05 12:30:00,2025-12-05 15:00:00,6,4597,2025-12-05 13:30:00,26163.55,48.523548611706985,35.70000000000073,40.75,NEUTRAL,21.049999999999272,21.049999999999272,0.0
61,-1,2025-12-11 09:30:00,2025-12-19 15:00:00,72,4665,2025-12-17 11:30:00,25817.4,50.79759276531401,91.10000000000218,175.9499999999971,CST_CORRECT,20.75,20.75,0.0
62,1,2025-12-23 10:00:00,2025-12-29 10:30:00,38,4702,2025-12-23 12:00:00,26174.900390625,47.10646751863224,61.400390625,177.099609375,CST_CORRECT,24.849609375,64.201171875,1.5835887762320207
63,-1,2025-12-29 12:00:00,2025-12-31 11:00:00,23,4741,2025-12-29 13:30:00,25950.44921875,32.55679969761571,70.548828125,113.30078125,CST_CORRECT,40.05078125,91.25,1.2783575538866674
64,1,2025-12-31 12:00:00,2026-01-06 13:30:00,52,4765,2025-12-31 13:30:00,26167.900390625,37.619242563298755,204.94921875,53.701171875,TREND_CONTINUED,83.69921875,277.298828125,2.3130396229056798
65,-1,2026-01-07 09:30:00,2026-01-12 14:00:00,46,4825,2026-01-07 13:30:00,26092.5,42.596778766004505,619.099609375,61.099609375,TREND_CONTINUED,70.5,665.400390625,8.438303413120567
66,1,2026-01-13 10:30:00,2026-01-19 15:00:00,43,4870,2026-01-13 13:30:00,25663.650390625,67.02195467146545,209.19921875,168.701171875,TREND_CONTINUED,48.150390625,93.94921875,0.951162130369529
67,-1,2026-01-20 12:00:00,2026-01-21 15:00:00,19,4919,2026-01-20 14:00:00,25389.44921875,56.88722253649777,469.25,4.650390625,TREND_CONTINUED,85.048828125,512.75,5.028889654380526
68,1,2026-01-29 14:00:00,2026-02-12 15:00:00,111,4993,2026-01-29 15:00:00,25422.099609375,71.9013614214268,567.099609375,208.298828125,TREND_CONTINUED,26.25,558.25,20.266666666666666
69,-1,2026-02-13 10:00:00,2026-02-18 13:30:00,44,5105,2026-02-13 11:00:00,25548.80078125,53.60783108121886,116.900390625,215.099609375,CST_CORRECT,35.3984375,117.048828125,2.306610019863165
70,1,2026-02-18 14:30:00,2026-02-19 13:00:00,10,5150,2026-02-19 09:30:00,25772.849609375,48.84759176092569,21.05078125,204.650390625,CST_CORRECT,35.298828125,35.298828125,0.0
71,-1,2026-02-19 14:00:00,2026-03-17 12:30:00,202,5161,2026-02-19 15:00:00,25416.44921875,57.66274150780661,2460.8984375,354.25,TREND_CONTINUED,156.599609375,2591.548828125,15.548884371219396
72,1,2026-03-17 13:30:00,2026-03-18 15:00:00,16,5365,2026-03-17 15:00:00,23557.5,104.76790065165704,304.30078125,-83.19921875,TREND_CONTINUED,114.1484375,319.75,1.8011771952638422
73,-1,2026-03-19 10:00:00,2026-03-24 15:00:00,46,5384,2026-03-19 12:30:00,23264.650390625,96.06277093535535,793.400390625,80.49960937500146,TREND_CONTINUED,68.349609375,801.150390625,10.721360194313473
