seg_idx,seg_dir,seg_entry_dt,seg_end_dt,seg_bars,cst_idx,cst_dt,cst_close,cst_atr,continuation_pts,reversal_pts,outcome,mfe_before_cst,mfe_after_cst,mfe_extension_pct
9,1,2024-06-06 10:00:00,2024-07-10 10:00:00,241,724,2024-06-11 14:30:00,23327.05,73.70383978233187,1116.5499999999993,95.04999999999927,TREND_CONTINUED,552.6500000000015,1592.0999999999985,1.8808468289152165
9,1,2024-06-06 10:00:00,2024-07-10 10:00:00,241,735,2024-06-13 14:00:00,23391.55,63.066844680049535,1052.0499999999993,57.29999999999927,TREND_CONTINUED,575.7999999999993,1592.0999999999985,1.76502257728378
9,1,2024-06-06 10:00:00,2024-07-10 10:00:00,241,740,2024-06-14 10:30:00,23439.25,58.21013620284082,1004.3499999999985,89.25,TREND_CONTINUED,607.9500000000007,1592.0999999999985,1.6188008882309346
9,1,2024-06-06 10:00:00,2024-07-10 10:00:00,241,746,2024-06-14 13:30:00,23432.9,49.44206868854204,1010.6999999999971,82.90000000000146,TREND_CONTINUED,612.0499999999993,1592.0999999999985,1.6012580671513772
9,1,2024-06-06 10:00:00,2024-07-10 10:00:00,241,751,2024-06-18 10:00:00,23535.0,51.21603848762189,908.5999999999985,185.0,TREND_CONTINUED,727.5499999999993,1592.0999999999985,1.1883032094014159
9,1,2024-06-06 10:00:00,2024-07-10 10:00:00,241,763,2024-06-19 10:00:00,23447.35,46.00497750727905,996.25,97.34999999999854,TREND_CONTINUED,753.1500000000015,1592.0999999999985,1.1139215295757756
9,1,2024-06-06 10:00:00,2024-07-10 10:00:00,241,801,2024-06-25 11:00:00,23573.25,57.452008218118785,870.3499999999985,6.900000000001455,TREND_CONTINUED,812.5,1592.0999999999985,0.9595076923076905
9,1,2024-06-06 10:00:00,2024-07-10 10:00:00,241,807,2024-06-25 14:00:00,23692.75,53.0887439570644,750.8499999999985,22.299999999999272,TREND_CONTINUED,858.9500000000007,1592.0999999999985,0.8535421153734177
9,1,2024-06-06 10:00:00,2024-07-10 10:00:00,241,815,2024-06-26 12:00:00,23835.35,51.97937720773408,608.25,31.549999999999272,TREND_CONTINUED,1008.0,1592.0999999999985,0.5794642857142843
9,1,2024-06-06 10:00:00,2024-07-10 10:00:00,241,821,2024-06-26 15:00:00,23840.25,48.225541313626536,603.3499999999985,34.849999999998545,TREND_CONTINUED,1038.4000000000015,1592.0999999999985,0.5332241910631705
9,1,2024-06-06 10:00:00,2024-07-10 10:00:00,241,824,2024-06-27 10:30:00,23889.3,56.11337118119143,554.2999999999993,13.75,TREND_CONTINUED,1123.2000000000007,1592.0999999999985,0.4174679487179465
9,1,2024-06-06 10:00:00,2024-07-10 10:00:00,241,828,2024-06-27 12:30:00,23950.15,58.111377661522724,493.4499999999971,36.5,TREND_CONTINUED,1185.0999999999985,1592.0999999999985,0.34343093409838876
9,1,2024-06-06 10:00:00,2024-07-10 10:00:00,241,840,2024-07-01 12:30:00,24120.0,53.67160806430657,323.59999999999854,63.599999999998545,TREND_CONTINUED,1276.5,1592.0999999999985,0.24723854289071567
9,1,2024-06-06 10:00:00,2024-07-10 10:00:00,241,843,2024-07-01 14:00:00,24130.8,50.062187076390686,312.7999999999993,74.39999999999782,TREND_CONTINUED,1300.9000000000015,1592.0999999999985,0.22384503036359193
9,1,2024-06-06 10:00:00,2024-07-10 10:00:00,241,851,2024-07-02 12:00:00,24150.25,48.39235902035756,293.34999999999854,93.84999999999854,TREND_CONTINUED,1338.75,1592.0999999999985,0.1892436974789905
9,1,2024-06-06 10:00:00,2024-07-10 10:00:00,241,862,2024-07-03 11:30:00,24257.75,50.88205486893575,185.84999999999854,88.90000000000146,TREND_CONTINUED,1455.75,1592.0999999999985,0.0936630602782061
9,1,2024-06-06 10:00:00,2024-07-10 10:00:00,241,867,2024-07-03 14:00:00,24252.55,45.26269349866576,191.04999999999927,83.70000000000073,TREND_CONTINUED,1455.75,1592.0999999999985,0.0936630602782061
9,1,2024-06-06 10:00:00,2024-07-10 10:00:00,241,872,2024-07-04 10:30:00,24325.4,49.534684657830795,118.19999999999709,156.5500000000029,CST_CORRECT,1549.5,1592.0999999999985,0.027492739593416294
9,1,2024-06-06 10:00:00,2024-07-10 10:00:00,241,915,2024-07-09 14:00:00,24413.2,39.05689012787847,30.399999999997817,186.45000000000073,CST_CORRECT,1586.4000000000015,1592.0999999999985,0.0035930408471993723
10,1,2024-07-12 11:00:00,2024-07-19 14:30:00,56,946,2024-07-12 11:30:00,24494.2,58.41592769071365,343.5499999999993,15.950000000000728,TREND_CONTINUED,99.35000000000218,344.90000000000146,2.471565173628524
10,1,2024-07-12 11:00:00,2024-07-19 14:30:00,56,952,2024-07-12 14:30:00,24524.7,53.859846551829726,313.0499999999993,39.10000000000218,TREND_CONTINUED,99.35000000000218,344.90000000000146,2.471565173628524
10,1,2024-07-12 11:00:00,2024-07-19 14:30:00,56,959,2024-07-15 12:00:00,24576.9,50.940068767081215,260.84999999999854,72.45000000000073,TREND_CONTINUED,119.0,344.90000000000146,1.8983193277311046
10,1,2024-07-12 11:00:00,2024-07-19 14:30:00,56,964,2024-07-15 14:30:00,24588.6,47.105957395436654,249.15000000000146,84.14999999999782,TREND_CONTINUED,142.20000000000073,344.90000000000146,1.4254571026722904
10,1,2024-07-12 11:00:00,2024-07-19 14:30:00,56,970,2024-07-16 11:30:00,24640.45,43.034501123211164,197.29999999999927,136.0,TREND_CONTINUED,168.40000000000146,344.90000000000146,1.0480997624702997
10,1,2024-07-12 11:00:00,2024-07-19 14:30:00,56,989,2024-07-18 15:00:00,24779.35,54.76638525590498,-5.649999999997817,254.59999999999854,CST_CORRECT,344.90000000000146,344.90000000000146,0.0
11,-1,2024-07-23 09:30:00,2024-07-26 12:00:00,42,1004,2024-07-23 10:30:00,24481.8,55.54284190508614,407.59999999999854,175.04999999999927,TREND_CONTINUED,63.25,412.7999999999993,5.526482213438723
11,-1,2024-07-23 09:30:00,2024-07-26 12:00:00,42,1008,2024-07-23 12:30:00,24353.5,86.70184184991751,111.45000000000073,303.34999999999854,CST_CORRECT,412.7999999999993,412.7999999999993,0.0
11,-1,2024-07-23 09:30:00,2024-07-26 12:00:00,42,1029,2024-07-25 11:00:00,24329.0,81.68369896114405,2.2999999999992724,327.84999999999854,CST_CORRECT,412.7999999999993,412.7999999999993,0.0
