symbol,mode,ipo_short_window,base_qualify_date,rim_date,rim_level,trough_date,trough_close,depth_pct,base_len_bars,trough_pos,fit_r2,fit_curvature,vertex_frac,flat_frac,r2_ge_060,r2_ge_080,vol_ratio,obv_gain,obv_slope_norm,obv_filter_pass,tv20_cr_at_q,tv20_cr_at_breakout,breakout_date,breakout_close,breakout_day_move_pct,days_q_to_breakout,fill_a_nextopen_date,fill_a_nextopen,fill_b_buystop,gap_pct_a_vs_rim,pattern_quality,info_fwd60_pct,info_fwd120_pct,info_fwd250_pct,info_st73_exit_date,info_st73_exit_close,info_st73_ret_pct,info_st73_bars_held,info_st73_still_open,info_mfe_250_pct,info_mae_250_pct
AGI,L120,0,2022-09-13,2022-04-19,357.35,2022-06-20,185.15,48.19,120,0.513,0.711,1.488e-04,0.519,0.408,1,0,0.999,0.5138,0.5656,0,6.86,6.86,2022-09-13,358.8,-0.53,0,2022-09-14,349.0,357.35,-2.34,0.3938,-11.32,2.72,101.35,2022-11-17,306.5,-12.18,44,0,117.15,-19.63
AGI,VAR,0,2017-04-24,2016-08-24,300.85,2016-12-29,226.8,24.61,163,0.525,0.701,3.675e-05,0.541,0.429,1,0,1.047,0.4119,0.4446,0,3.17,2.97,2017-06-12,311.5,6.3,34,2017-06-13,314.35,314.35,4.49,0.3581,0.08,32.64,-10.08,2017-08-02,299.3,-4.79,36,0,48.43,-17.99
AGI,VAR,0,2022-09-02,2022-04-19,357.35,2022-06-20,185.15,48.19,95,0.457,0.88,2.477e-04,0.509,0.516,1,1,0.951,0.532,0.5494,0,4.97,6.3,2022-09-08,361.0,7.68,4,2022-09-09,364.4,364.4,1.97,0.6564,-13.14,-6.64,92.95,2022-11-17,306.5,-15.89,47,0,107.97,-23.02
AIAENG,L250,0,2009-10-08,2008-09-25,283.36,2009-01-28,106.41,62.45,250,0.321,0.701,3.901e-05,0.362,0.424,1,0,3.459,0.3583,0.3841,1,2.92,2.92,2009-10-08,319.51,4.88,0,2009-10-09,316.89,316.89,11.83,0.2146,15.36,24.97,29.77,2010-01-27,321.1,1.33,72,0,34.16,-6.65
AIROLAM,L120,0,2022-10-07,2022-04-18,77.15,2022-06-13,60.65,21.39,120,0.328,0.836,1.039e-04,0.403,0.433,1,1,1.633,0.4333,0.3975,1,2.1,2.1,2022-10-07,101.35,-8.16,0,2022-10-10,100.0,100.0,29.62,0.3909,-13.35,-34.6,10.0,2022-11-17,89.7,-10.3,27,0,33.5,-35.5
AJANTPHARM,L120,0,2017-12-21,2017-07-07,1032.65,2017-10-03,753.95,26.99,120,0.538,0.904,8.079e-05,0.529,0.558,1,1,1.411,0.2795,0.2266,1,33.25,26.09,2018-01-19,1040.05,1.75,20,2018-01-22,1040.65,1040.65,0.77,0.7023,-12.55,-37.91,-27.38,2018-01-29,964.5,-7.32,5,0,2.18,-42.61
AJMERA,L180,0,2010-10-05,2010-01-19,45.6,2010-05-25,28.6,37.28,180,0.475,0.706,5.003e-05,0.439,0.428,1,0,1.536,0.3334,0.3318,1,8.4,8.4,2010-10-05,53.75,-1.1,0,2010-10-06,54.8,54.8,20.18,0.4472,-27.37,-39.05,-58.39,2010-11-24,45.6,-16.79,35,0,3.1,-60.22
AKUMS,L180,0,2026-04-15,2025-07-18,552.85,2025-11-24,414.05,25.11,180,0.475,0.757,2.261e-05,0.524,0.439,1,0,0.741,0.4336,0.4541,0,7.45,8.95,2026-05-04,559.15,2.17,12,2026-05-05,560.0,560.0,1.29,0.4384,18.67,33.93,33.93,,,33.93,91,1,42.24,-10.71
AKUMS,L250,0,2026-06-10,2025-06-27,594.0,2025-11-24,414.05,30.29,250,0.47,0.845,1.879e-05,0.515,0.472,1,1,0.808,0.3751,0.3364,0,11.6,13.66,2026-06-11,609.1,2.87,1,2026-06-12,615.0,615.0,3.54,0.5854,24.51,21.95,21.95,,,21.95,64,1,29.52,-4.39
AKUMS,VAR,0,2026-06-10,2025-06-27,594.0,2025-11-24,414.05,30.29,233,0.431,0.838,2.041e-05,0.488,0.506,1,1,0.769,0.3751,0.3364,0,11.6,13.66,2026-06-11,609.1,2.87,1,2026-06-12,615.0,615.0,3.54,0.5672,24.51,21.95,21.95,,,21.95,64,1,29.52,-4.39
AKZOINDIA,L120,0,2017-03-22,2016-09-28,1701.7,2017-01-16,1329.8,21.85,120,0.63,0.85,5.650e-05,0.546,0.45,1,1,1.46,0.5713,0.54,1,2.01,2.05,2017-03-23,1723.55,4.67,1,2017-03-24,1720.0,1720.0,1.08,0.4702,9.23,5.69,4.99,2017-05-23,1773.5,3.11,40,0,21.45,-2.45
ALBERTDAVD,L180,0,2018-09-24,2018-01-12,422.27,2018-03-23,321.94,23.76,180,0.307,0.781,4.830e-05,0.363,0.517,1,0,0.917,0.4155,0.3543,0,5.14,5.14,2018-09-24,541.48,-8.11,0,2018-09-25,548.94,548.94,30.0,0.3522,-29.63,-32.35,-42.5,2018-09-25,568.52,3.57,1,0,8.01,-46.61
ALEMBICLTD,L180,0,2018-01-10,2017-04-24,49.52,2017-08-11,34.72,29.89,180,0.43,0.703,3.967e-05,0.472,0.544,1,0,1.141,0.5076,0.3588,0,20.75,20.75,2018-01-10,60.43,-0.23,0,2018-01-11,60.57,60.57,22.31,0.4659,-2.01,-35.78,-28.3,2018-03-22,54.49,-10.04,48,0,15.44,-42.12
ALEMBICLTD,L250,0,2018-03-15,2017-04-24,49.52,2017-08-11,34.72,29.89,250,0.418,0.701,2.133e-05,0.346,0.468,1,0,0.94,0.3882,0.5022,0,2.87,2.87,2018-03-15,60.67,0.25,0,2018-03-16,60.57,60.57,22.31,0.3576,-28.13,-17.43,-30.79,2018-03-22,54.49,-10.04,5,0,1.04,-42.12
ALIVUS,L250,0,2026-05-26,2025-05-23,1111.09,2025-12-08,860.05,22.59,250,0.55,0.738,1.205e-05,0.51,0.512,1,0,0.956,0.2146,0.212,0,10.29,7.71,2026-06-23,1118.9,3.51,19,2026-06-24,1122.0,1122.0,0.98,0.3928,23.89,23.89,23.89,2026-06-24,1116.1,-0.53,1,0,33.14,-3.2
