symbol,entry_date,exit_date,entry_px,exit_px,shares,pnl,ret_pct,bars,reason
APARINDS,2022-07-11,2023-01-30,1008.0,1440.0,501,213365.81,42.14462,138,ST_14_4
LAOPALA,2022-11-14,2023-01-30,405.1300048828125,348.04998779296875,1375,-81074.125,-14.517796,54,ST_14_4
ACCELYA,2023-01-23,2023-01-30,1556.699951171875,1322.699951171875,341,-82248.72,-15.4555855,4,ST_14_4
POLYMED,2022-11-10,2023-01-31,1030.0,850.0,535,-98814.56,-17.88733,57,ST_14_4
JSWSTEEL,2022-12-28,2023-01-31,761.0,708.7000122070312,715,-40021.625,-7.337016,23,ST_14_4
HINDZINC,2023-01-19,2023-01-31,364.0,330.0,1472,-52601.97,-9.792834,7,ST_14_4
JINDWORLD,2022-12-01,2023-02-03,71.69999694824219,69.81999969482422,7632,-17048.375,-3.1077147,45,ST_14_4
CONFIPET,2022-12-21,2023-02-07,88.05999755859375,70.54000091552734,6364,-114020.59,-20.295048,33,ST_14_4
WESTLIFE,2022-08-01,2023-02-21,586.510009765625,661.010009765625,901,64314.438,12.140142,139,ST_14_4
AGARIND,2023-02-07,2023-03-21,674.3599853515625,586.0499877929688,754,-68961.66,-13.52883,29,ST_14_4
UGARSUGAR,2022-11-29,2023-03-29,90.02999877929688,85.80999755859375,5992,-27920.375,-5.16271,84,ST_14_4
SANGHVIMOV,2023-02-13,2023-03-29,186.39999389648438,158.5500030517578,2736,-78557.03,-15.365219,31,ST_14_4
DEEPINDS,2023-04-06,2023-04-10,141.85000610351562,142.97999572753906,3689,1541.625,0.29387474,1,ST_14_4
JSL,2022-12-07,2023-04-13,204.0,266.6499938964844,2690,165363.31,30.05885,86,ST_14_4
JSL,2023-03-08,2023-04-13,301.8500061035156,266.6499938964844,1768,-64746.406,-12.10202,23,ST_14_4
FINCABLES,2023-02-16,2023-05-30,675.0,795.0,760,88406.97,17.19035,67,ST_14_4
SUNFLAG,2023-02-10,2023-05-31,147.39999389648438,146.89999389648438,3481,-4301.6875,-0.83628297,72,ST_14_4
CCL,2022-08-24,2023-07-19,458.0,625.0499877929688,1165,191458.88,35.793137,223,ST_14_4
SBCL,2023-03-23,2023-08-08,469.57000732421875,575.1300048828125,1123,115610.81,21.869255,92,ST_14_4
RADICO,2023-02-07,2023-08-22,1187.050048828125,1265.0,428,30738.844,6.035185,132,ST_14_4
KPITTECH,2022-10-24,2023-09-26,720.0,1049.050048828125,777,252235.5,44.974697,229,ST_14_4
JBMA,2023-04-05,2023-10-11,353.79998779296875,622.4000244140625,1465,389923.72,75.041214,128,ST_14_4
DCXINDIA,2023-07-19,2023-10-23,298.0,282.04998779296875,2208,-38419.562,-5.824423,65,ST_14_4
CONFIPET,2023-08-22,2023-10-25,86.66999816894531,77.3499984741211,8114,-78949.69,-11.198563,43,ST_14_4
CYIENT,2023-04-24,2023-10-26,1164.0,1606.5999755859375,455,198231.44,37.33566,127,ST_14_4
SANGAMIND,2023-08-10,2023-10-26,387.6499938964844,287.0,1743,-178372.78,-26.333405,51,ST_14_4
KEC,2022-12-09,2023-11-06,478.0,604.2000122070312,1153,142389.12,25.771236,224,ST_14_4
KOKUYOCMLN,2023-11-01,2023-11-08,143.85000610351562,129.85000610351562,5150,-75623.94,-10.182577,5,ST_14_4
UGROCAP,2023-05-30,2023-11-22,231.22999572753906,259.6400146484375,2495,67821.19,11.7264385,121,ST_14_4
UGROCAP,2023-10-30,2023-11-22,300.2099914550781,259.6400146484375,2475,-103874.75,-13.945216,17,ST_14_4
AGI,2023-02-17,2023-12-19,365.0,834.0499877929688,1413,658532.0,127.36714,205,ST_14_4
MAHSEAMLES,2023-04-20,2024-01-04,400.0,898.0,1308,647139.5,123.3803,177,ST_14_4
IRCON,2023-04-19,2024-02-13,61.599998474121094,196.75,8484,1.141133e+06,217.80632,205,ST_14_4
SJVN,2023-11-22,2024-02-13,81.80000305175781,107.25,9554,238633.75,30.458523,56,ST_14_4
TCI,2023-11-07,2024-02-15,889.9500122070312,861.5999755859375,845,-27655.938,-3.6684394,69,ST_14_4
DCMSHRIRAM,2024-01-05,2024-03-07,1141.5,951.2999877929688,715,-139733.94,-17.07794,44,ST_14_4
JAYNECOIND,2023-11-08,2024-03-12,39.150001525878906,51.650001525878906,19258,236353.38,31.270468,86,ST_14_4
SAGCEM,2023-12-19,2024-03-12,279.0,227.6999969482422,2880,-151392.31,-18.79415,58,ST_14_4
NOCIL,2024-02-20,2024-03-13,293.25,242.89999389648438,3083,-159361.44,-17.582767,16,ST_14_4
JAYBARMARU,2024-02-27,2024-03-13,139.8000030517578,114.8499984741211,6538,-167285.44,-18.25667,11,ST_14_4
KIRLOSENG,2023-03-09,2024-03-14,394.79998779296875,755.0,1352,483104.12,90.28229,252,ST_14_4
IMFA,2023-09-26,2024-03-14,397.1600036621094,491.4700012207031,1878,172942.06,23.128902,117,ST_14_4
GRANULES,2023-11-28,2024-03-14,388.5,412.1499938964844,2008,43469.875,5.5583954,75,ST_14_4
INDBANK,2024-03-06,2024-03-14,54.5,39.5,16217,-247066.06,-27.884424,5,ST_14_4
SONATSOFTW,2023-02-10,2024-04-02,326.5,717.0999755859375,1571,609533.75,118.53702,281,ST_14_4
TAJGVK,2024-05-06,2024-06-03,409.3999938964844,348.0,1946,-123169.125,-15.421504,20,ST_14_4
AMBUJACEM,2024-01-04,2024-06-05,538.3499755859375,575.0,1515,51307.938,6.2751293,103,ST_14_4
VIMTALABS,2024-04-26,2024-06-05,279.95001220703125,221.5,2893,-172722.69,-21.273357,27,ST_14_4
HINDPETRO,2024-05-03,2024-06-05,323.45001220703125,305.5,2511,-49020.75,-6.020623,23,ST_14_4
POONAWALLA,2024-06-10,2024-06-11,467.6499938964844,436.0,1752,-59408.875,-7.2328925,1,ST_14_4
UBL,2024-04-25,2024-08-14,2022.4000244140625,1914.800048828125,401,-47094.688,-5.792636,76,ST_14_4
RRKABEL,2024-05-13,2024-08-14,1702.6600341796875,1576.31005859375,459,-61757.312,-7.882488,65,ST_14_4
MAXIND,2024-04-29,2024-08-21,247.0,270.95001220703125,3279,74286.125,9.149241,78,ST_14_4
HONAUT,2024-05-13,2024-09-06,47050.0,50299.0,16,48090.0,6.3722253,81,ST_14_4
EMAMILTD,2024-05-31,2024-10-15,606.7000122070312,728.9500122070312,1312,156011.06,19.550741,93,ST_14_4
DSSL,2024-05-23,2024-10-23,1433.949951171875,1224.0,572,-123892.31,-15.067106,105,ST_14_4
PANAMAPET,2024-05-28,2024-10-28,363.239990234375,354.1000061035156,2226,-24337.625,-3.002447,105,ST_14_4
NIITLTD,2024-10-16,2024-10-28,177.5500030517578,151.58999633789062,5972,-159947.31,-15.047073,8,ST_14_4
LUMAXTECH,2024-06-10,2024-10-29,508.20001220703125,495.25,1612,-24919.375,-3.0342638,97,ST_14_4
BALRAMCHIN,2024-08-14,2024-11-12,514.9000244140625,575.0499877929688,1727,99173.125,11.124849,62,ST_14_4
CENTURYPLY,2024-06-28,2024-11-14,756.0,750.0,1102,-10761.0625,-1.2884498,96,ST_14_4
GODFRYPHLP,2023-10-11,2024-11-18,753.0,1988.0,992,1.2183222e+06,162.69383,274,ST_14_4
UNICHEMLAB,2023-10-26,2024-12-23,439.95001220703125,720.0,1667,462009.12,62.8387,288,ST_14_4
MANYAVAR,2024-10-30,2024-12-27,1326.8499755859375,1226.52001953125,758,-80888.81,-8.022558,39,ST_14_4
IITL,2024-10-24,2025-01-03,313.1000061035156,344.3500061035156,3232,95687.75,9.432292,48,ST_14_4
REFEX,2024-07-02,2025-01-07,190.0,463.54998779296875,4469,1.215193e+06,142.75684,129,ST_14_4
ADSL,2024-08-27,2025-01-07,238.0,228.0,4052,-45240.625,-4.6794834,91,ST_14_4
VSTTILLERS,2024-06-10,2025-01-14,3728.159912109375,4710.31982421875,219,210473.0,25.714218,149,ST_14_4
SHREEPUSHK,2024-11-27,2025-01-14,294.44000244140625,288.4200134277344,3456,-25841.0,-2.533114,33,ST_14_4
RBZJEWEL,2025-01-07,2025-01-15,235.00999450683594,198.4499969482422,4320,-162620.62,-15.977955,6,ST_14_4
XPROINDIA,2024-11-26,2025-01-17,1219.8499755859375,1305.699951171875,828,65855.875,6.503892,37,ST_14_4
PITTIENG,2023-06-06,2025-01-23,388.0,1238.449951171875,1541,1.3042775e+06,217.59615,407,ST_14_4
PAKKA,2024-09-09,2025-01-23,345.5,278.8999938964844,2916,-198757.56,-19.679028,94,ST_14_4
RAINBOW,2024-10-29,2025-01-23,1497.6500244140625,1393.0,668,-74733.625,-7.4515224,59,ST_14_4
CRISIL,2024-11-22,2025-01-23,5589.5,5350.7998046875,180,-47889.25,-4.747975,43,ST_14_4
LEMONTREE,2025-02-06,2025-02-07,148.99000549316406,146.0500030517578,6542,-24058.938,-2.4622083,1,ST_14_4
METROBRAND,2025-02-04,2025-02-18,1335.0,1128.800048828125,728,-154597.75,-15.867413,10,ST_14_4
BAJAJHCARE,2024-12-10,2025-05-02,458.6199951171875,519.8800048828125,2351,138271.0,12.792074,96,ST_14_4
UNITDSPR,2025-06-06,2025-06-16,1606.5400390625,1443.6600341796875,624,-106395.5,-10.58675,6,ST_14_4
KSCL,2025-03-18,2025-06-26,1125.0,1198.5,859,58146.75,6.001997,67,ST_14_4
BDL,2025-05-14,2025-07-21,1762.9000244140625,1671.5999755859375,533,-53239.375,-5.651891,48,ST_14_4
AUBANK,2025-06-10,2025-07-22,772.5,752.9500122070312,1299,-30349.375,-3.0168772,30,ST_14_4
RELIANCE,2025-06-23,2025-07-22,1453.0,1427.4000244140625,681,-22337.5,-2.2518396,21,ST_14_4
MOREALTY,2025-06-09,2025-07-29,107.0199966430664,92.01000213623047,9369,-145290.56,-14.454227,36,ST_14_4
KITEX,2025-05-16,2025-07-30,262.239990234375,235.8699951171875,3631,-100271.125,-10.504282,53,ST_14_4
HOMEFIRST,2025-06-02,2025-08-01,1230.0999755859375,1212.0,801,-19388.375,-1.9628346,44,ST_14_4
HIRECT,2025-07-29,2025-08-26,722.4000244140625,802.5,1456,111074.875,10.533977,19,ST_14_4
FORCEMOT,2025-04-22,2025-09-09,9326.0,17247.0,101,793311.25,84.01221,97,ST_14_4
