cell,exit,hard_stop,time_stop,shelf_S,vol_K,ath,obv_filter,market_gate,n_events,seeds,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,sharpe_med,trades,win_rate,avg_win,avg_loss,expectancy,max_loss_streak,trades_per_yr,final_med
EMA50|h0|t0|s20|k5|a1.00|o1|g0,EMA50,0,0,20,5,1.0,1,0,103,10,7.17,7.17,7.17,-8.41,-8.41,0.853,1.698,103,48.5,28.14,-9.44,8.803,5,4.7,4493818.0
EMA50|h0|t120|s15|k2|a0.90|o0|g1,EMA50,0,120,15,2,0.9,0,1,1020,10,9.99,9.94,10.11,-19.24,-19.25,0.519,0.889,607,39.3,24.11,-7.72,4.787,15,28.0,7893769.0
EMA50|h0|t120|s15|k2|a0.95|o0|g0,EMA50,0,120,15,2,0.95,0,0,759,10,10.2,10.08,10.24,-17.49,-17.71,0.583,1.006,571,39.1,26.35,-8.26,5.256,12,26.3,8213946.0
EMA50|h0|t120|s15|k2|a0.95|o1|g1,EMA50,0,120,15,2,0.95,1,1,279,10,7.85,7.85,7.85,-14.48,-14.48,0.542,1.225,237,41.8,25.6,-8.5,5.742,14,10.9,5147018.0
EMA50|h0|t120|s15|k2|a1.00|o1|g0,EMA50,0,120,15,2,1.0,1,0,204,10,7.15,7.15,7.15,-13.94,-13.94,0.513,1.255,203,40.4,26.44,-9.2,5.196,9,9.4,4474268.0
EMA50|h0|t120|s15|k3|a0.90|o0|g1,EMA50,0,120,15,3,0.9,0,1,889,10,9.45,9.4,9.5,-19.42,-19.5,0.487,0.904,555,38.0,25.69,-8.03,4.78,25,25.6,7082526.0
EMA50|h0|t120|s15|k3|a0.95|o0|g0,EMA50,0,120,15,3,0.95,0,0,664,10,10.79,10.79,10.79,-19.53,-19.53,0.552,1.079,521,41.1,27.13,-8.49,6.141,16,24.0,9220412.0
EMA50|h0|t120|s15|k3|a0.95|o1|g1,EMA50,0,120,15,3,0.95,1,1,238,10,7.45,7.45,7.45,-14.02,-14.02,0.531,1.273,210,41.0,26.42,-8.8,5.623,12,9.7,4747302.0
EMA50|h0|t120|s15|k3|a1.00|o1|g0,EMA50,0,120,15,3,1.0,1,0,176,10,6.56,6.56,6.56,-11.87,-11.87,0.553,1.275,176,39.2,25.7,-9.39,4.367,9,8.1,3970274.0
EMA50|h0|t120|s15|k5|a0.90|o0|g1,EMA50,0,120,15,5,0.9,0,1,628,10,8.12,8.07,8.19,-18.76,-18.76,0.433,0.964,461,39.0,24.27,-8.62,4.244,13,21.3,5435390.0
EMA50|h0|t120|s15|k5|a0.95|o0|g0,EMA50,0,120,15,5,0.95,0,0,477,10,9.01,9.01,9.13,-16.97,-16.97,0.531,1.05,418,43.5,24.4,-9.0,5.544,19,19.3,6494674.0
EMA50|h0|t120|s15|k5|a0.95|o1|g1,EMA50,0,120,15,5,0.95,1,1,179,10,7.01,7.01,7.01,-9.57,-9.57,0.732,1.448,162,46.3,23.26,-9.67,5.573,9,7.5,4346496.0
EMA50|h0|t120|s15|k5|a1.00|o1|g0,EMA50,0,120,15,5,1.0,1,0,129,10,6.77,6.77,6.77,-10.87,-10.87,0.623,1.504,129,43.4,26.73,-10.03,5.928,6,5.9,4141837.0
EMA50|h0|t120|s20|k2|a0.90|o0|g1,EMA50,0,120,20,2,0.9,0,1,881,10,7.98,7.97,8.03,-21.41,-21.41,0.373,0.899,562,35.2,23.84,-7.28,3.645,20,25.9,5290877.0
EMA50|h0|t120|s20|k2|a0.95|o0|g0,EMA50,0,120,20,2,0.95,0,0,652,10,9.36,9.36,9.5,-15.99,-16.05,0.585,1.018,521,38.0,26.51,-7.93,5.162,15,24.0,6962458.0
EMA50|h0|t120|s20|k2|a0.95|o1|g1,EMA50,0,120,20,2,0.95,1,1,228,10,7.99,7.99,7.99,-11.07,-11.07,0.722,1.402,202,41.1,28.7,-8.37,6.864,12,9.3,5302510.0
EMA50|h0|t120|s20|k2|a1.00|o1|g0,EMA50,0,120,20,2,1.0,1,0,164,10,6.69,6.69,6.69,-8.32,-8.32,0.805,1.434,164,40.2,25.78,-9.26,4.843,7,7.6,4076348.0
EMA50|h0|t120|s20|k3|a0.90|o0|g1,EMA50,0,120,20,3,0.9,0,1,772,10,7.72,7.65,7.82,-23.27,-24.84,0.332,0.878,520,34.6,25.01,-7.64,3.658,21,24.0,5022342.0
EMA50|h0|t120|s20|k3|a0.95|o0|g0,EMA50,0,120,20,3,0.95,0,0,568,10,9.46,9.45,9.46,-20.06,-20.06,0.471,1.055,467,39.4,26.92,-8.14,5.678,15,21.5,7100887.0
EMA50|h0|t120|s20|k3|a0.95|o1|g1,EMA50,0,120,20,3,0.95,1,1,197,10,7.53,7.53,7.53,-9.54,-9.54,0.789,1.467,177,39.5,29.5,-8.47,6.543,13,8.2,4829496.0
EMA50|h0|t120|s20|k3|a1.00|o1|g0,EMA50,0,120,20,3,1.0,1,0,141,10,6.57,6.57,6.57,-8.16,-8.16,0.805,1.513,141,39.7,26.75,-9.29,5.026,9,6.5,3972127.0
EMA50|h0|t120|s20|k5|a0.90|o0|g1,EMA50,0,120,20,5,0.9,0,1,541,10,8.94,8.94,8.96,-19.05,-19.08,0.469,1.11,406,40.6,25.37,-8.06,5.526,11,18.7,6409687.0
EMA50|h0|t120|s20|k5|a0.95|o0|g0,EMA50,0,120,20,5,0.95,0,0,403,10,9.69,9.69,9.69,-20.19,-20.19,0.48,1.223,358,45.3,24.73,-8.25,6.675,14,16.5,7431608.0
EMA50|h0|t120|s20|k5|a0.95|o1|g1,EMA50,0,120,20,5,0.95,1,1,150,10,7.47,7.47,7.47,-6.83,-6.83,1.094,1.653,138,49.3,24.63,-8.84,7.651,8,6.4,4771597.0
EMA50|h0|t120|s20|k5|a1.00|o1|g0,EMA50,0,120,20,5,1.0,1,0,103,10,6.92,6.92,6.92,-7.51,-7.51,0.922,1.699,103,48.5,25.73,-9.44,7.63,5,4.7,4271274.0
EMA50|h1|t0|s15|k2|a0.90|o0|g1,EMA50,1,0,15,2,0.9,0,1,1020,10,9.72,9.72,9.86,-19.55,-19.55,0.497,0.875,623,37.1,24.16,-7.16,4.453,17,28.7,7476774.0
EMA50|h1|t0|s15|k2|a0.95|o0|g0,EMA50,1,0,15,2,0.95,0,0,759,10,9.98,9.98,10.19,-17.8,-17.8,0.56,1.003,584,36.6,26.57,-7.59,4.931,14,26.9,7878868.0
EMA50|h1|t0|s15|k2|a0.95|o1|g1,EMA50,1,0,15,2,0.95,1,1,279,10,7.85,7.85,7.85,-13.98,-13.98,0.562,1.289,240,37.9,27.38,-7.79,5.547,14,11.1,5151526.0
EMA50|h1|t0|s15|k2|a1.00|o1|g0,EMA50,1,0,15,2,1.0,1,0,204,10,7.02,7.02,7.02,-12.87,-12.87,0.545,1.313,203,36.5,27.86,-8.34,4.858,11,9.4,4354482.0
EMA50|h1|t0|s15|k3|a0.90|o0|g1,EMA50,1,0,15,3,0.9,0,1,889,10,9.89,9.85,9.92,-19.93,-19.93,0.496,0.942,566,36.1,26.65,-7.33,4.953,17,26.1,7728954.0
EMA50|h1|t0|s15|k3|a0.95|o0|g0,EMA50,1,0,15,3,0.95,0,0,664,10,9.86,9.85,9.97,-16.8,-16.8,0.587,1.027,534,36.9,27.49,-7.81,5.213,14,24.6,7687052.0
EMA50|h1|t0|s15|k3|a0.95|o1|g1,EMA50,1,0,15,3,0.95,1,1,238,10,6.92,6.92,6.92,-11.49,-11.49,0.602,1.309,210,36.7,26.04,-8.15,4.388,12,9.7,4268232.0
EMA50|h1|t0|s15|k3|a1.00|o1|g0,EMA50,1,0,15,3,1.0,1,0,176,10,6.19,6.19,6.19,-8.87,-8.87,0.699,1.309,176,34.7,26.09,-8.63,3.403,9,8.1,3682430.0
EMA50|h1|t0|s15|k5|a0.90|o0|g1,EMA50,1,0,15,5,0.9,0,1,628,10,8.59,8.58,8.62,-19.13,-19.13,0.449,1.015,467,36.4,25.99,-7.71,4.555,14,21.5,5978338.0
EMA50|h1|t0|s15|k5|a0.95|o0|g0,EMA50,1,0,15,5,0.95,0,0,477,10,9.29,9.29,9.33,-19.19,-19.19,0.484,1.084,425,40.2,26.44,-8.2,5.734,20,19.6,6860774.0
EMA50|h1|t0|s15|k5|a0.95|o1|g1,EMA50,1,0,15,5,0.95,1,1,179,10,7.02,7.02,7.02,-8.53,-8.53,0.823,1.49,162,43.2,24.37,-8.89,5.482,10,7.5,4357175.0
EMA50|h1|t0|s15|k5|a1.00|o1|g0,EMA50,1,0,15,5,1.0,1,0,129,10,6.99,6.99,6.99,-9.44,-9.44,0.741,1.587,129,40.3,30.11,-9.19,6.652,9,5.9,4333672.0
EMA50|h1|t0|s20|k2|a0.90|o0|g1,EMA50,1,0,20,2,0.9,0,1,881,10,8.46,8.45,8.48,-21.11,-21.11,0.401,0.954,569,33.0,26.16,-6.8,4.092,19,26.2,5820988.0
EMA50|h1|t0|s20|k2|a0.95|o0|g0,EMA50,1,0,20,2,0.95,0,0,652,10,9.77,9.77,9.92,-17.87,-17.93,0.547,1.052,526,34.8,29.62,-7.26,5.569,15,24.3,7552576.0
EMA50|h1|t0|s20|k2|a0.95|o1|g1,EMA50,1,0,20,2,0.95,1,1,228,10,7.93,7.93,7.93,-10.56,-10.56,0.751,1.474,202,37.6,30.22,-7.58,6.642,13,9.3,5231168.0
EMA50|h1|t0|s20|k2|a1.00|o1|g0,EMA50,1,0,20,2,1.0,1,0,164,10,6.51,6.51,6.51,-7.77,-7.77,0.838,1.475,164,36.6,26.74,-8.45,4.422,14,7.6,3927426.0
EMA50|h1|t0|s20|k3|a0.90|o0|g1,EMA50,1,0,20,3,0.9,0,1,772,10,8.04,7.92,8.1,-26.25,-28.7,0.307,0.913,528,32.2,27.02,-7.09,3.898,16,24.4,5356396.0
EMA50|h1|t0|s20|k3|a0.95|o0|g0,EMA50,1,0,20,3,0.95,0,0,568,10,9.64,9.64,9.78,-22.84,-22.84,0.422,1.071,472,35.8,29.68,-7.46,5.838,15,21.8,7353170.0
EMA50|h1|t0|s20|k3|a0.95|o1|g1,EMA50,1,0,20,3,0.95,1,1,197,10,6.96,6.96,6.96,-9.32,-9.32,0.747,1.492,177,35.0,29.34,-8.0,5.077,11,8.2,4305802.0
