,nav
2010-07-15,3556637.25
2010-07-16,3564782.75
2010-07-19,3554100.25
2010-07-20,3544996.75
2010-07-21,3550606.5
2010-07-22,3584825.5
2010-07-23,3571387.75
2010-07-26,3570180.0
2010-07-27,3598107.0
2010-07-28,3595701.5
2010-07-29,3586081.75
2010-07-30,3586093.25
2010-08-02,3626643.25
2010-08-03,3646245.75
2010-08-04,3635171.75
2010-08-05,3670018.75
2010-08-06,3685171.5
2010-08-09,3717101.75
2010-08-10,3694231.75
2010-08-11,3681280.75
2010-08-12,3735648.5
2010-08-13,3777060.5
2010-08-16,3759312.5
2010-08-17,3763339.0
2010-08-18,3780376.25
2010-08-19,3828702.75
2010-08-20,3859763.0
2010-08-23,3949005.25
2010-08-24,3944139.25
2010-08-25,3906039.0
2010-08-26,3898389.75
2010-08-27,3929785.75
2010-08-30,3945008.0
2010-08-31,3868672.0
2010-09-01,3948080.75
2010-09-02,3965626.25
2010-09-03,4000165.75
2010-09-06,4097356.0
2010-09-07,4094771.5
2010-09-08,4056208.75
2010-09-09,4022873.0
2010-09-13,4072645.0
2010-09-14,4087916.0
2010-09-15,4154583.75
2010-09-16,4141151.0
2010-09-17,4171206.0
2010-09-20,4195766.0
2010-09-21,4158823.5
2010-09-22,4130149.25
2010-09-23,4133724.5
2010-09-24,4163942.75
2010-09-27,4193565.0
2010-09-28,4188096.75
2010-09-29,4167330.0
2010-09-30,4148866.75
2010-10-01,4221816.0
2010-10-04,4248302.5
2010-10-05,4269771.0
2010-10-06,4288074.0
2010-10-07,4254582.0
2010-10-08,4237594.0
2010-10-11,4246859.0
2010-10-12,4202543.0
2010-10-13,4254744.0
2010-10-14,4208377.0
2010-10-15,4134013.75
2010-10-18,4099614.0
2010-10-19,4113572.5
2010-10-20,4074879.5
2010-10-21,4130290.5
2010-10-22,4130117.25
2010-10-25,4173824.0
2010-10-26,4170586.25
2010-10-27,4179346.75
2010-10-28,4109959.25
2010-10-29,4068489.5
2010-11-01,4150060.5
2010-11-02,4178059.5
2010-11-03,4221548.0
2010-11-04,4249643.0
2010-11-05,4270544.0
2010-11-08,4257794.5
2010-11-09,4305872.0
2010-11-10,4321956.0
2010-11-11,4298186.0
2010-11-12,4207769.0
2010-11-15,4207109.5
2010-11-16,4098009.25
2010-11-18,4087873.0
2010-11-19,4046630.5
2010-11-22,4075565.0
2010-11-23,4065635.25
2010-11-24,4035093.75
2010-11-25,4026759.5
2010-11-26,3994527.0
2010-11-29,4015998.5
2010-11-30,3994821.5
2010-12-01,4030748.0
2010-12-02,4043514.5
2010-12-03,4030858.0
2010-12-06,4002695.5
2010-12-07,4007795.75
2010-12-08,3963724.0
2010-12-09,3896812.5
2010-12-10,3903282.5
2010-12-13,3921111.25
2010-12-14,3932760.0
2010-12-15,3910291.5
2010-12-16,3907838.0
2010-12-20,3933704.5
2010-12-21,3937613.0
2010-12-22,3925601.25
2010-12-23,3918692.5
2010-12-24,3927747.5
2010-12-27,3924186.25
2010-12-28,3946101.0
2010-12-29,3940710.5
2010-12-30,3943071.5
2010-12-31,3945442.0
2011-01-03,3944380.75
2011-01-04,3952216.25
2011-01-05,3961835.0
2011-01-06,3948032.25
2011-01-07,3931977.0
2011-01-10,3926266.5
2011-01-11,3910292.5
2011-01-12,3922054.0
2011-01-13,3918369.75
2011-01-14,3910228.5
2011-01-17,3904560.5
2011-01-18,3914549.75
2011-01-19,3913238.5
2011-01-20,3933780.5
2011-01-21,3935930.0
2011-01-24,3947439.25
2011-01-25,3939242.25
2011-01-27,3935751.75
2011-01-28,3921174.25
2011-01-31,3916028.25
2011-02-01,3907180.25
2011-02-02,3905168.0
2011-02-03,3908720.5
2011-02-04,3896317.25
2011-02-07,3900482.0
2011-02-08,3893506.5
2011-02-09,3885103.0
2011-02-10,3882412.5
2011-02-11,3895147.25
2011-02-14,3896170.5
2011-02-15,3896908.25
2011-02-16,3899074.5
2011-02-17,3897813.0
2011-02-18,3889696.25
2011-02-21,3898718.5
2011-02-22,3894315.25
2011-02-23,3890769.25
2011-02-24,3881510.25
2011-02-25,3885962.75
2011-02-28,3884988.0
2011-03-01,3894296.75
2011-03-03,3891608.5
2011-03-04,3892919.25
2011-03-07,3887946.0
2011-03-08,3892685.25
2011-03-09,3893710.75
2011-03-10,3887039.25
2011-03-11,3876810.25
2011-03-14,3877200.0
2011-03-15,3866033.0
2011-03-16,3883694.25
2011-03-17,3881791.5
2011-03-18,3881064.75
2011-03-21,3873769.0
2011-03-22,3891736.0
2011-03-23,3884562.25
2011-03-24,3907720.25
2011-03-25,3908494.5
2011-03-28,3925327.0
2011-03-29,3920262.25
2011-03-30,3932269.5
2011-03-31,3956522.75
2011-04-01,3802534.5
2011-04-04,3811589.0
2011-04-05,3837347.5
2011-04-06,3805133.5
2011-04-07,3814699.0
2011-04-08,3806606.0
2011-04-11,3786705.5
2011-04-13,3801509.0
2011-04-15,3786985.5
2011-04-18,3779669.5
2011-04-19,3800380.0
2011-04-20,3791893.0
2011-04-21,3750116.25
2011-04-25,3763439.0
2011-04-26,3747716.5
2011-04-27,3782054.0
2011-04-28,3783201.0
2011-04-29,3797270.0
2011-05-02,3778446.5
2011-05-03,3776099.0
2011-05-04,3780337.25
2011-05-05,3780783.5
2011-05-06,3788489.5
2011-05-09,3837254.5
2011-05-10,3832965.5
2011-05-11,3845104.0
2011-05-12,3813148.0
2011-05-13,3822464.5
2011-05-16,3811011.75
2011-05-17,3816054.0
2011-05-18,3803175.5
2011-05-19,3801884.5
2011-05-20,3801686.5
2011-05-23,3781804.25
2011-05-24,3786219.0
2011-05-25,3804024.0
2011-05-26,3828464.5
2011-05-27,3839973.25
2011-05-30,3870051.5
2011-05-31,3887535.75
2011-06-01,3907254.5
2011-06-02,3880970.75
2011-06-03,3880168.25
2011-06-06,3879136.75
2011-06-07,3894366.0
2011-06-08,3926393.5
2011-06-09,3939101.0
2011-06-10,3942958.0
2011-06-13,3951242.5
2011-06-14,3961855.25
2011-06-15,3948006.75
2011-06-16,3902776.5
2011-06-17,3904980.0
2011-06-20,3844676.5
2011-06-21,3828585.75
2011-06-22,3805941.5
2011-06-23,3805212.0
2011-06-24,3822755.75
2011-06-27,3833527.75
2011-06-28,3855521.75
2011-06-29,3917381.5
2011-06-30,3963542.5
2011-07-01,3949624.0
2011-07-04,3975309.5
2011-07-05,3979901.0
2011-07-06,3983259.0
2011-07-07,3997782.25
2011-07-08,3974683.5
2011-07-11,3979125.0
2011-07-12,3947341.5
2011-07-13,3973077.75
2011-07-14,3979183.5
2011-07-15,4008799.0
2011-07-18,4012365.0
2011-07-19,4040924.0
2011-07-20,3986367.25
2011-07-21,3957032.5
2011-07-22,3991752.0
2011-07-25,4025048.75
2011-07-26,3993764.5
2011-07-27,4012160.25
2011-07-28,3990568.5
2011-07-29,3983380.75
2011-08-01,3992931.75
2011-08-02,3969385.0
2011-08-03,3938661.75
2011-08-04,3913536.75
2011-08-05,3833213.5
2011-08-08,3789595.25
2011-08-09,3773286.25
2011-08-10,3806556.5
2011-08-11,3822740.0
2011-08-12,3810242.5
2011-08-16,3805723.0
2011-08-17,3800755.75
2011-08-18,3764218.25
2011-08-19,3744373.5
2011-08-22,3760193.5
2011-08-23,3771229.0
2011-08-24,3761070.0
2011-08-25,3763103.0
2011-08-26,3698268.0
2011-08-29,3741631.25
2011-08-30,3769607.0
2011-09-02,3788254.5
2011-09-05,3786485.0
2011-09-06,3782142.0
2011-09-07,3770939.5
2011-09-08,3778915.5
2011-09-09,3773175.0
2011-09-12,3730848.0
2011-09-13,3712857.5
2011-09-14,3713309.0
2011-09-15,3721597.0
2011-09-16,3701604.5
2011-09-19,3710655.5
2011-09-20,3742647.0
2011-09-21,3744633.0
2011-09-22,3681080.75
2011-09-23,3650710.5
2011-09-26,3577101.75
2011-09-27,3607480.25
2011-09-28,3594916.0
2011-09-29,3592755.5
2011-09-30,3591469.0
2011-10-03,3558260.25
2011-10-04,3533167.0
2011-10-05,3519873.25
2011-10-07,3537653.5
2011-10-10,3549757.5
2011-10-11,3595772.5
2011-10-12,3629058.25
2011-10-13,3619663.0
2011-10-14,3634049.25
2011-10-17,3637426.0
2011-10-18,3621096.0
2011-10-19,3638033.25
2011-10-20,3647259.0
2011-10-21,3646810.25
2011-10-24,3678426.0
2011-10-25,3691972.0
2011-10-26,3692377.5
2011-10-28,3722471.0
2011-10-31,3720731.5
2011-11-01,3724942.0
2011-11-02,3755250.0
2011-11-03,3769501.0
2011-11-04,3782058.0
2011-11-08,3750407.0
2011-11-09,3715537.5
2011-11-11,3699276.5
2011-11-14,3663070.0
2011-11-15,3618448.0
2011-11-16,3605149.5
2011-11-17,3603579.0
2011-11-18,3578010.5
2011-11-21,3555178.0
2011-11-22,3558761.5
2011-11-23,3547708.0
2011-11-24,3571328.25
2011-11-25,3575225.0
2011-11-28,3587977.25
2011-11-29,3577618.25
2011-11-30,3585774.5
2011-12-01,3592740.5
2011-12-02,3622309.5
2011-12-05,3622385.25
2011-12-07,3632094.0
2011-12-08,3620417.5
2011-12-09,3605920.25
2011-12-12,3588872.5
2011-12-13,3569818.75
2011-12-14,3563711.0
2011-12-15,3536954.75
2011-12-16,3539279.5
2011-12-19,3534355.0
2011-12-20,3524347.0
2011-12-21,3519425.25
2011-12-22,3530389.5
2011-12-23,3531904.25
