,mq,kc6,combined
2023-06-19,7504663.54925972,4278805.511142547,11783469.060402267
2023-06-20,7583661.879260311,4279626.103980301,11863287.983240612
2023-06-21,7618749.049260901,4280446.854192023,11899195.903452925
2023-06-22,7541970.52926149,4281267.761807896,11823238.291069387
2023-06-23,7459741.829262081,4282088.826858106,11741830.656120187
2023-06-26,7521775.009263853,4282910.049372846,11804685.058636699
2023-06-27,7619458.139264442,4283731.429382315,11903189.568646757
2023-06-28,7703138.359265036,4284552.966916718,11987691.326181754
2023-06-30,7738340.079266216,4285374.662006264,12023714.74127248
2023-07-03,7774912.9692679895,4286196.514681169,12061109.483949158
2023-07-04,7787748.55926858,4287018.524971656,12074767.084240235
2023-07-05,7861552.449269171,4287840.692907952,12149393.142177124
2023-07-06,7953796.689269762,4288663.01852029,12242459.70779005
2023-07-07,7901254.799270357,4288840.363219433,12190095.16248979
2023-07-10,7938473.919272129,4288517.6138978675,12226991.533169996
2023-07-11,8008420.457058507,4283998.673099163,12292419.13015767
2023-07-12,8042653.7670591,4294380.495871429,12337034.26293053
2023-07-13,7966970.957059693,4294458.142459679,12261429.099519372
2023-07-14,7988950.827060283,4304265.794377653,12293216.621437937
2023-07-17,7997436.687062062,4305091.270009452,12302527.957071513
2023-07-18,7970593.747062653,4305269.29404929,12275863.041111942
2023-07-19,8051351.357063247,4305355.2074974645,12356706.564560711
2023-07-20,8082437.1370638395,4300701.063498902,12383138.200562742
2023-07-21,8080860.957064435,4311695.085594167,12392556.042658601
2023-07-24,8099330.447066214,4302654.443553559,12401984.890619773
2023-07-25,8178667.317066808,4300665.777083829,12479333.094150636
2023-07-26,8249665.467067399,4322590.202090392,12572255.669157792
2023-07-27,8304138.787067994,4335533.137683622,12639671.924751615
2023-07-28,8336932.817068587,4338722.53647441,12675655.353542998
2023-07-31,8419975.35707037,4351464.7628951045,12771440.119965475
2023-08-01,8397826.997070964,4363540.32838879,12761367.325459754
2023-08-02,8273737.267071557,4364377.1717394395,12638114.438810997
2023-08-03,8276530.967072152,4364557.647368588,12641088.61444074
2023-08-04,8325866.54707275,4363172.477874932,12689039.02494768
2023-08-07,8366857.3670745315,4369700.101169344,12736557.468243875
2023-08-08,8379103.677075127,4377040.579376418,12756144.256451545
2023-08-09,8438201.427075723,4377086.513139921,12815287.940215643
2023-08-10,8435231.597076317,4378771.974494604,12814003.571570922
2023-08-11,8403449.117076913,4381296.531558967,12784745.64863588
2023-08-14,8375414.507078698,4383807.905556108,12759222.412634805
2023-08-16,8389609.90707989,4385412.402762653,12775022.309842544
2023-08-17,8419162.877080487,4394972.718236849,12814135.595317336
2023-08-18,8405544.417081082,4390883.64290473,12796428.059985813
2023-08-21,8452714.051542412,4424027.617015177,12876741.66855759
2023-08-22,8477116.831543006,4424981.228696905,12902098.060239911
2023-08-23,8511241.491543604,4425829.855233915,12937071.34677752
2023-08-24,8505998.181544201,4426678.644521221,12932676.826065421
2023-08-25,8469305.971544797,4426195.896440362,12895501.86798516
2023-08-28,8512910.401546586,4438458.653599305,12951369.055145891
2023-08-29,8566402.221547183,4459767.9144767,13026170.136023883
2023-08-30,8612998.311547784,4460623.212432901,13073621.523980685
