assets,signal,horizon,window,n_obs,ic_mean,ic_t,ic_hit,top_ann,mid_ann,bot_ann,spread_ann,monotone
IND20,ABSMOM189,1m,half2,117,0.0575,1.97,58.1,29.43,23.13,21.16,8.27,True
IND20,ABSMOM189,3m,full,224,0.1214,5.21,69.2,27.36,21.03,20.65,6.7,True
IND20,ABSMOM189,3m,half1,109,0.1241,3.54,69.7,23.95,18.19,19.15,4.8,False
IND20,ABSMOM189,3m,half2,115,0.1188,3.83,68.7,30.59,23.72,22.08,8.51,True
IND20,ABSMOM252,1m,full,223,0.0854,3.59,61.4,27.48,20.93,19.4,8.08,True
IND20,ABSMOM252,1m,half1,106,0.105,2.88,64.2,24.51,17.86,18.9,5.61,False
IND20,ABSMOM252,1m,half2,117,0.0677,2.18,59.0,30.17,23.7,19.85,10.33,True
IND20,ABSMOM252,3m,full,221,0.1085,4.6,64.7,27.12,24.82,20.7,6.42,True
IND20,ABSMOM252,3m,half1,106,0.1165,3.31,67.0,24.66,23.19,20.72,3.94,True
IND20,ABSMOM252,3m,half2,115,0.1011,3.18,62.6,29.39,26.32,20.68,8.71,True
IND20,MOMSKIP126,1m,full,229,0.0892,4.24,59.8,28.44,22.19,17.99,10.45,True
IND20,MOMSKIP126,1m,half1,112,0.1228,3.91,63.4,28.24,19.73,15.33,12.91,True
IND20,MOMSKIP126,1m,half2,117,0.057,2.04,56.4,28.63,24.54,20.54,8.09,True
IND20,MOMSKIP126,3m,full,227,0.1327,6.35,68.7,29.9,23.25,19.62,10.28,True
IND20,MOMSKIP126,3m,half1,112,0.1488,4.74,70.5,29.81,20.94,18.32,11.5,True
IND20,MOMSKIP126,3m,half2,115,0.1171,4.22,67.0,29.99,25.5,20.89,9.1,True
IND20,MOMSKIP189,1m,full,226,0.0724,3.27,58.8,26.1,21.24,18.75,7.35,True
IND20,MOMSKIP189,1m,half1,109,0.0957,2.88,62.4,23.52,18.67,15.71,7.81,True
IND20,MOMSKIP189,1m,half2,117,0.0506,1.72,55.6,28.5,23.64,21.58,6.92,True
IND20,MOMSKIP189,3m,full,224,0.1006,4.28,62.5,26.21,22.4,20.44,5.77,True
IND20,MOMSKIP189,3m,half1,109,0.1023,2.89,62.4,22.35,20.71,18.25,4.09,True
