symbol,entry_date,exit_date,entry_px,exit_px,qty,reason,held_days,ret_net_pct
MAZDOCK,2024-06-04,2024-09-03,1607.5,2161.45,529,rebalance_out,91,33.79
RVNL,2024-06-04,2024-10-03,400.0,510.95,8999,rebalance_out,121,27.1
SHARDAMOTR,2024-07-02,2024-08-02,1278.2,1217.0,3215,rebalance_out,31,-5.26
DIXON,2024-07-02,2024-08-02,12475.0,11550.0,369,rebalance_out,31,-7.88
GRSE,2024-08-02,2024-09-03,2295.0,1879.2,1333,rebalance_out,32,-18.53
MACPOWER,2024-08-02,2024-09-03,1510.68,1411.36,3211,rebalance_out,32,-7.04
KIRLOSBROS,2024-08-02,2024-09-03,2375.0,1712.6,1576,rebalance_out,32,-28.25
NPST,2024-08-02,2024-10-03,2454.66,2498.62,1741,rebalance_out,62,1.28
INDOTECH,2024-08-02,2024-10-03,2265.0,1800.0,2113,rebalance_out,62,-20.93
SBGLP,2024-08-02,2024-10-03,121.65,106.7,44098,rebalance_out,62,-12.73
BBOX,2024-08-02,2024-11-04,515.0,504.95,8816,rebalance_out,94,-2.44
GODFRYPHLP,2024-09-03,2024-10-03,2233.0,2247.0,1755,rebalance_out,30,0.13
GRAVITA,2024-09-03,2024-11-04,2220.05,2266.0,209,rebalance_out,62,1.56
REFEX,2024-09-03,2025-01-02,321.5,487.8,10551,rebalance_out,121,50.97
NEULANDLAB,2024-09-03,2025-01-02,12550.0,14405.15,395,rebalance_out,121,14.21
RADHIKAJWE,2024-10-03,2024-11-04,145.04,125.0,19028,rebalance_out,32,-14.25
RAMRAT,2024-10-03,2024-11-04,322.76,313.35,17916,rebalance_out,32,-3.4
TEMBO,2024-10-03,2024-11-04,499.03,570.85,7973,rebalance_out,32,13.82
GOLDIAM,2024-10-03,2024-12-03,259.15,261.8,11700,rebalance_out,61,0.52
MOTILALOFS,2024-10-03,2025-02-03,729.95,646.55,6658,rebalance_out,123,-11.87
INDRAMEDCO,2024-10-03,2025-03-04,430.0,340.0,9388,rebalance_out,152,-21.32
NPST,2024-11-04,2024-12-03,3127.07,2939.7,1286,rebalance_out,29,-6.46
PRUDENT,2024-11-04,2024-12-03,3596.9,3067.36,1124,rebalance_out,29,-15.15
DPABHUSHAN,2024-11-04,2024-12-03,1804.95,1503.05,674,rebalance_out,29,-17.14
