,offset0,offset1,offset2,offset3,offset4,offset5,offset6,offset7,offset8,offset9,offset10,offset11
2019-01-16,8894152.0,8609075.0,8504523.0,8733199.0,8830912.0,8730954.0,8595599.0,8771516.0,8569866.0,8864177.0,9030700.0,8748587.0
2019-01-17,8895359.0,8609704.0,8508742.0,8736900.0,8831288.0,8735384.0,8598800.0,8775018.0,8573806.0,8876990.0,9050154.0,8751536.0
2019-01-18,8864818.0,8579333.0,8472752.0,8700612.0,8792462.0,8698920.0,8562827.0,8738690.0,8537844.0,8834560.0,9010514.0,8708683.0
2019-01-21,8866426.0,8580646.0,8476310.0,8704547.0,8798064.0,8701396.0,8567586.0,8743758.0,8542487.0,8851855.0,9033106.0,8725049.0
2019-01-22,8842592.0,8558243.0,8467468.0,8695810.0,8785962.0,8692681.0,8558183.0,8734916.0,8533505.0,8840246.0,9020860.0,8713512.0
2019-01-23,8835056.0,8549969.0,8459165.0,8687831.0,8779992.0,8684283.0,8550791.0,8727327.0,8525884.0,8817661.0,9003254.0,8690127.0
2019-01-24,8856515.0,8569826.0,8474156.0,8702596.0,8794494.0,8699878.0,8565057.0,8741787.0,8540335.0,8834650.0,9027688.0,8707796.0
2019-01-25,8827497.0,8541631.0,8451541.0,8679190.0,8766319.0,8677010.0,8541258.0,8717946.0,8517278.0,8820161.0,9014054.0,8694033.0
2019-01-28,8797439.0,8510961.0,8425652.0,8654424.0,8738473.0,8650533.0,8515892.0,8692125.0,8492017.0,8790682.0,8990173.0,8663663.0
2019-01-29,8788924.0,8502975.0,8417627.0,8645792.0,8727105.0,8643319.0,8506400.0,8682441.0,8482894.0,8776518.0,8971158.0,8650365.0
2019-01-30,8785502.0,8502060.0,8428277.0,8655620.0,8741240.0,8654414.0,8516565.0,8691772.0,8492504.0,8791004.0,8967456.0,8664850.0
2019-01-31,8837355.0,8550120.0,8463748.0,8691184.0,8777470.0,8691279.0,8551108.0,8726643.0,8526606.0,8826624.0,9023624.0,8701434.0
2019-02-01,8875988.0,8585179.0,8473255.0,8701017.0,8786198.0,8702047.0,8560472.0,8736622.0,8535974.0,8810646.0,9023018.0,8686157.0
2019-02-04,8909436.0,8632861.0,8521860.0,8750960.0,8841820.0,8751895.0,8609710.0,8786418.0,8583960.0,8850270.0,9066223.0,8724848.0
2019-02-05,8964136.0,8670354.0,8564933.0,8795560.0,8886448.0,8796028.0,8652444.0,8830192.0,8626456.0,8895522.0,9114325.0,8769912.0
2019-02-06,9033561.0,8731748.0,8571244.0,8815293.0,8906817.0,8817296.0,8671442.0,8849034.0,8645192.0,8899247.0,9181762.0,8774646.0
2019-02-07,9053353.0,8754874.0,8595657.0,8800931.0,8925760.0,8828164.0,8685591.0,8863342.0,8658678.0,8920592.0,9195722.0,8794187.0
2019-02-08,9000360.0,8710856.0,8555844.0,8762868.0,8900818.0,8783362.0,8641670.0,8819289.0,8615413.0,8882920.0,9157813.0,8756643.0
2019-02-11,8963430.0,8682306.0,8538350.0,8744513.0,8875415.0,8752180.0,8618795.0,8795930.0,8592390.0,8869121.0,9148532.0,8741993.0
2019-02-12,9005836.0,8720052.0,8586865.0,8760893.0,8907048.0,8768451.0,8642283.0,8831274.0,8627390.0,8908864.0,9183966.0,8782272.0
2019-02-13,9008706.0,8733189.0,8597335.0,8787973.0,8938641.0,8798058.0,8677119.0,8833186.0,8627396.0,8913727.0,9194432.0,8788022.0
2019-02-14,8989588.0,8717301.0,8565577.0,8758280.0,8915351.0,8789197.0,8664922.0,8818703.0,8615868.0,8900093.0,9174686.0,8774206.0
2019-02-15,8956762.0,8691056.0,8535660.0,8729763.0,8875227.0,8765049.0,8651186.0,8791398.0,8602338.0,8891952.0,9155074.0,8761782.0
2019-02-18,8901523.0,8646037.0,8494620.0,8684556.0,8840100.0,8732833.0,8622126.0,8746493.0,8573797.0,8862182.0,9114834.0,8717014.0
2019-02-19,8889776.0,8653950.0,8486515.0,8693584.0,8849866.0,8742074.0,8628456.0,8754098.0,8580027.0,8868520.0,9117830.0,8720920.0
2019-02-20,8921258.0,8666084.0,8503518.0,8722384.0,8862787.0,8762376.0,8639304.0,8765734.0,8590933.0,8879913.0,9135984.0,8731814.0
2019-02-21,8961668.0,8696003.0,8546694.0,8747386.0,8912688.0,8808495.0,8674015.0,8794908.0,8625481.0,8916038.0,9174989.0,8768142.0
2019-02-22,8984403.0,8714952.0,8564430.0,8768881.0,8928184.0,8825385.0,8693935.0,8812850.0,8645122.0,8936420.0,9196222.0,8788114.0
2019-02-25,9000650.0,8728194.0,8582658.0,8806560.0,8964298.0,8846606.0,8711847.0,8827452.0,8662614.0,8954709.0,9217436.0,8805501.0
2019-02-26,8973501.0,8701398.0,8554716.0,8786420.0,8938384.0,8826007.0,8691498.0,8800518.0,8642562.0,8933573.0,9196198.0,8784016.0
2019-02-27,8938282.0,8666900.0,8523140.0,8762100.0,8907156.0,8797442.0,8666610.0,8765725.0,8618256.0,8907416.0,9167240.0,8758722.0
2019-02-28,8984778.0,8700656.0,8571480.0,8796094.0,8954912.0,8834385.0,8700475.0,8798960.0,8651943.0,8942485.0,9203488.0,8793894.0
2019-03-01,9002963.0,8713145.0,8594846.0,8807161.0,8970329.0,8850666.0,8713726.0,8809974.0,8665226.0,8956098.0,9218004.0,8808332.0
2019-03-05,9139331.0,8779785.0,8668653.0,8860238.0,9075512.0,8932534.0,8789714.0,8879352.0,8739561.0,9034572.0,9292322.0,8885850.0
2019-03-06,9215158.0,8850164.0,8718539.0,8928016.0,9146365.0,9002292.0,8842712.0,8936380.0,8791706.0,9089112.0,9351356.0,8939314.0
2019-03-07,9180966.0,8813104.0,8682186.0,8916456.0,9148822.0,8990276.0,8840683.0,8931469.0,8788996.0,9086706.0,9345462.0,8936066.0
2019-03-08,9217952.0,8855840.0,8723592.0,8952335.0,9184537.0,9031231.0,8871838.0,8962135.0,8820174.0,9118692.0,9379216.0,8968981.0
2019-03-11,9297695.0,8936822.0,8803114.0,9032608.0,9302554.0,9087988.0,8925572.0,9008127.0,8872818.0,9174266.0,9434240.0,9023070.0
2019-03-12,9355320.0,8983598.0,8848733.0,9080110.0,9352722.0,9133225.0,8968056.0,9046683.0,8914530.0,9217860.0,9479731.0,9066570.0
2019-03-13,9323762.0,8973047.0,8838842.0,9072107.0,9341182.0,9124464.0,8961945.0,9017037.0,8894426.0,9196864.0,9456625.0,9045834.0
2019-03-14,9277714.0,8924456.0,8791688.0,9023999.0,9289367.0,9075586.0,8885891.0,8948258.0,8854292.0,9155650.0,9413692.0,9004060.0
2019-03-15,9295962.0,8954010.0,8820819.0,9052199.0,9318300.0,9106200.0,8915223.0,8972278.0,8890512.0,9208166.0,9471442.0,9057038.0
2019-03-18,9281478.0,8958032.0,8825549.0,9056956.0,9321576.0,9112874.0,8924682.0,8980852.0,8896588.0,9197678.0,9465924.0,9054870.0
2019-03-19,9287064.0,8960335.0,8827799.0,9059206.0,9323271.0,9114880.0,8928461.0,8984638.0,8898804.0,9201815.0,9457145.0,9059574.0
2019-03-20,9261851.0,8927206.0,8795933.0,9026596.0,9287710.0,9083045.0,8890827.0,8945962.0,8867718.0,9160645.0,9442006.0,9050936.0
2019-03-22,9282610.0,8941003.0,8809204.0,9039212.0,9303563.0,9096575.0,8909507.0,8956203.0,8880109.0,9171429.0,9451306.0,9043152.0
2019-03-25,9240303.0,8900978.0,8769251.0,8998405.0,9257377.0,9054238.0,8857641.0,8918639.0,8838402.0,9133741.0,9383996.0,9003245.0
2019-03-26,9273440.0,8954049.0,8821276.0,9051443.0,9313932.0,9108583.0,8916670.0,8975188.0,8890469.0,9191505.0,9432204.0,9049255.0
2019-03-27,9278677.0,8961030.0,8828357.0,9060569.0,9324369.0,9115962.0,8926603.0,8984546.0,8898568.0,9201476.0,9432951.0,9035332.0
2019-03-28,9389465.0,9076889.0,8942052.0,9176072.0,9448837.0,9233550.0,9031213.0,9091438.0,9013346.0,9312403.0,9534584.0,9126947.0
2019-03-29,9467313.0,9157704.0,9020784.0,9256581.0,9533834.0,9315304.0,9123665.0,9182842.0,9091977.0,9408434.0,9621863.0,9202899.0
