label,cagr,sharpe,sortino,max_drawdown,calmar,profit_factor,total_trades,win_rate,total_pnl,final_value,total_return_pct,ema_fast,ema_slow,adx_threshold,rsi_period,rsi_entry,max_pos_trend,max_pos_meanrev,hard_stop_pct,trend_trades,trend_pf,trend_pnl,meanrev_trades,meanrev_pf,meanrev_pnl
E20_50_ADX25_R7_25_P20_10,4.79,0.8,1.03,11.89,0.4,1.21,5870,54.9,4432432,14435946,44.36,20,50,25,7,25,20,10,0.1,1961,1.47,4536981,3909,0.99,-104548
E20_50_ADX25_R14_25_P8_5,5.88,1.17,1.58,8.29,0.71,1.5,1568,43.0,5652674,15654455,56.54,20,50,25,14,25,8,5,0.1,1215,1.46,4586279,353,1.8,1066394
E20_50_ADX25_R14_25_P15_10,6.22,1.14,1.47,11.25,0.55,1.47,2175,40.6,6058887,16060871,60.61,20,50,25,14,25,15,10,0.1,1799,1.43,5066584,376,1.89,992303
E20_50_ADX25_R14_25_P20_10,5.79,1.27,1.65,8.4,0.69,1.52,2337,40.7,5553192,15555053,55.55,20,50,25,14,25,20,10,0.1,1961,1.48,4560889,376,1.89,992303
E20_50_ADX25_R14_30_P8_5,6.49,1.2,1.64,7.89,0.82,1.45,2238,50.3,6373861,16376503,63.77,20,50,25,14,30,8,5,0.1,1215,1.46,4586279,1023,1.43,1787582
E20_50_ADX25_R14_30_P15_10,7.04,1.22,1.59,7.78,0.9,1.45,3055,48.7,7054842,17058017,70.58,20,50,25,14,30,15,10,0.1,1799,1.43,5066584,1256,1.51,1988259
E20_50_ADX25_R14_30_P20_10,6.63,1.35,1.77,5.59,1.19,1.48,3217,48.4,6549147,16552199,65.52,20,50,25,14,30,20,10,0.1,1961,1.48,4560889,1256,1.51,1988259
E20_50_ADX25_R21_25_P8_5,5.12,1.04,1.4,10.18,0.5,1.48,1230,36.0,4802230,14803427,48.03,20,50,25,21,25,8,5,0.1,1215,1.46,4586279,15,49.05,215951
E20_50_ADX25_R21_25_P15_10,5.52,1.02,1.29,13.69,0.4,1.44,1814,35.0,5239227,15240727,52.41,20,50,25,21,25,15,10,0.1,1799,1.43,5066584,15,48.82,172643
E20_50_ADX25_R21_25_P20_10,5.06,1.13,1.45,10.85,0.47,1.49,1976,35.5,4733532,14734909,47.35,20,50,25,21,25,20,10,0.1,1961,1.48,4560889,15,48.82,172643
E20_50_ADX25_R21_35_P8_5,6.4,1.17,1.58,10.17,0.63,1.47,1909,48.0,6272572,16275218,62.75,20,50,25,21,35,8,5,0.1,1215,1.46,4586279,694,1.52,1686293
E20_50_ADX25_R21_35_P15_10,7.01,1.21,1.58,11.23,0.62,1.47,2624,46.2,7022150,17024849,70.25,20,50,25,21,35,15,10,0.1,1799,1.43,5066584,825,1.68,1955566
E20_50_ADX25_R21_35_P20_10,6.6,1.34,1.77,8.38,0.79,1.52,2786,45.9,6516455,16519031,65.19,20,50,25,21,35,20,10,0.1,1961,1.48,4560889,825,1.68,1955566
