signal,outcome,horizon,is_placebo,ic_raw,t_raw,ic_partial,t_partial,stable_partial,ic_shuffled,abs_partial,placebo_ceiling,pct_raw_surviving,alive,n_raw,ic_partial_NIFTY,ic_partial_SENSEX,ic_raw_NIFTY,ic_raw_SENSEX,ic_shuffled_NIFTY,ic_shuffled_SENSEX,n_partial,n_shuffled,stable_raw,stable_shuffled,t_shuffled
pcr_oi_atm5,fret,5,0,-0.0338,-4.21,0.0245,2.72,0,0.0251,0.0245,0.0107,72.5,0,162,0.0281,0.021,-0.0528,-0.0149,0.0305,0.0198,162,156,0,0,2.71
mp_dev,fdprem,30,0,0.0422,1.91,0.0243,1.37,0,0.013,0.0243,0.0491,57.6,0,162,0.0275,0.0211,0.0492,0.0352,0.0257,0.0003,162,156,0,0,0.72
mp_dev,fdprem_n,30,0,0.0422,1.91,0.0243,1.37,0,0.013,0.0243,0.0491,57.6,0,162,0.0275,0.0211,0.0492,0.0352,0.0257,0.0003,162,156,0,0,0.72
doi_ce_15,fret,15,0,0.0491,3.02,-0.0241,-1.78,0,0.0227,0.0241,0.0198,49.1,0,162,-0.0405,-0.0076,0.0428,0.0553,0.0218,0.0236,162,156,0,0,1.47
mp_drift_30,fdprem,30,0,0.0293,1.61,0.024,1.31,0,0.028,0.024,0.0491,81.9,0,160,0.0289,0.0193,0.045,0.014,0.0179,0.0377,160,152,0,0,1.47
mp_drift_30,fdprem_n,30,0,0.0293,1.61,0.024,1.31,0,0.028,0.024,0.0491,81.9,0,160,0.0289,0.0193,0.045,0.014,0.0179,0.0377,160,152,0,0,1.47
dist_wall_pe,fret,30,0,0.2009,8.4,-0.0236,-1.67,0,-0.0106,0.0236,0.0092,11.7,0,162,-0.0316,-0.0156,0.1945,0.2074,-0.0422,0.021,162,156,1,0,-0.5
pcr_vol_atm5,fabs,15,0,0.0506,3.31,0.0235,2.07,0,-0.0133,0.0235,0.0046,46.4,0,162,0.0233,0.0236,0.0512,0.0499,-0.0066,-0.0201,162,156,0,0,-0.91
pcr_oi_all,fret,30,0,-0.3126,-19.58,-0.0229,-1.28,0,0.0257,0.0229,0.0092,7.3,0,162,-0.0345,-0.0113,-0.3294,-0.2957,0.0354,0.0161,162,156,1,0,1.08
mp_drift_30,fret,60,0,-0.0607,-3.18,0.0229,1.26,0,0.059,0.0229,0.0047,37.7,0,160,0.0355,0.0107,-0.055,-0.0663,0.0436,0.0737,160,152,0,0,2.61
