signal,outcome,horizon,n_days,mean_ic,abs_ic,t_stat,sign_stable,pass_g1,pass_bonf,ic_NIFTY,t_NIFTY,n_NIFTY,ic_SENSEX,t_SENSEX,n_SENSEX,ic_NIFTY_2026-04,ic_NIFTY_2026-05,ic_NIFTY_2026-06,ic_NIFTY_2026-07,ic_NIFTY_2026-08,ic_SENSEX_2026-04,ic_SENSEX_2026-05,ic_SENSEX_2026-06,ic_SENSEX_2026-07,ic_SENSEX_2026-08
d_pcr_oi_atm5_15,fdprem,5,162,0.009,0.009,1.2,0,0,0,0.0086,0.86,81,0.0093,0.83,81,0.0598,0.0164,-0.0003,0.0096,-0.0048,0.1219,0.0229,-0.0195,0.0116,-0.0018
d_pcr_oi_all_15,fabs,15,162,-0.0087,0.0087,-0.73,0,0,0,-0.0105,-0.63,81,-0.0069,-0.4,81,-0.0435,0.0186,0.0156,-0.0861,0.0444,-0.0625,0.0335,0.0264,-0.0999,0.0572
doi_net_15,fdprem,15,162,-0.0086,0.0086,-0.64,0,0,0,-0.0143,-0.75,81,-0.0029,-0.15,81,0.1,-0.0152,0.0041,-0.0169,-0.0693,0.2374,-0.0339,-0.0086,-0.0114,-0.0068
skew,fabs,15,128,-0.0083,0.0083,-0.64,0,0,0,-0.0132,-0.68,64,-0.0033,-0.19,64,-0.0787,-0.0198,-0.0065,-0.058,0.0812,0.0335,0.0207,-0.037,-0.0443,0.0731
doi_pe_5,fret,5,162,-0.0081,0.0081,-0.84,0,0,0,0.0003,0.02,81,-0.0164,-1.16,81,0.0931,-0.0338,0.0156,0.0245,-0.0426,0.0163,-0.0427,-0.0144,0.0239,-0.0596
doi_atm_15,fabs,30,162,-0.0081,0.0081,-0.64,0,0,0,-0.0212,-1.27,81,0.0051,0.27,81,-0.0118,-0.0273,-0.071,-0.0232,0.0624,0.0665,0.0275,-0.0452,-0.0397,0.1062
dist_wall_ce,fdprem,5,162,0.008,0.008,0.75,0,0,0,0.0105,0.72,81,0.0054,0.35,81,-0.0517,0.0312,0.0047,0.0048,0.0186,-0.04,0.0315,-0.0141,0.0225,-0.0161
pcr_oi_atm5,fabs,5,162,-0.0072,0.0072,-0.72,0,0,0,-0.009,-0.61,81,-0.0054,-0.4,81,-0.0042,0.0013,-0.0091,-0.0389,0.0249,-0.0358,-0.0106,-0.0006,-0.0074,0.0063
mp_drift_15,fabs,5,160,-0.0071,0.0071,-0.9,0,0,0,-0.0149,-1.34,79,0.0004,0.04,81,-0.0559,-0.008,-0.0058,-0.0136,-0.0291,0.0103,0.0028,-0.0075,-0.0173,0.0353
wall_squeeze,fdprem,15,156,0.0069,0.0069,0.39,0,0,0,0.0092,0.39,79,0.0045,0.17,77,-0.1503,0.0682,0.0189,-0.0166,0.0041,-0.0283,-0.0208,0.0127,0.0548,-0.0487
doi_ce_30,fabs,15,162,0.0068,0.0068,0.52,0,0,0,0.0023,0.13,81,0.0113,0.6,81,-0.0104,-0.009,-0.0341,0.0333,0.0249,-0.0267,-0.0132,-0.0355,0.0627,0.041
doi_atm_15,fret,60,162,0.0068,0.0068,0.34,0,0,0,0.0208,0.7,81,-0.0072,-0.27,81,-0.0226,0.0546,0.0721,0.0579,-0.1505,-0.0293,0.0479,0.0381,0.016,-0.1818
d_pcr_oi_atm5_15,fdprem,60,162,0.0067,0.0067,0.5,0,0,0,0.0177,0.89,81,-0.0043,-0.23,81,0.0175,0.0593,0.0079,0.0281,-0.041,0.0145,0.0157,-0.0133,0.0001,-0.0303
doi_ce_15,fdprem,30,162,-0.0066,0.0066,-0.38,0,0,0,0.0045,0.18,81,-0.0177,-0.72,81,0.0066,-0.034,-0.0159,0.0146,0.0703,-0.0806,-0.0492,-0.0087,0.0071,-0.0113
doi_net_15,fabs,15,162,-0.0063,0.0063,-0.52,0,0,0,-0.0081,-0.49,81,-0.0045,-0.26,81,-0.037,0.0232,0.0155,-0.085,0.0489,-0.0452,0.0408,0.0232,-0.0992,0.0596
doi_atm_15,fdprem,15,162,-0.0063,0.0063,-0.44,0,0,0,0.0032,0.16,81,-0.0158,-0.79,81,0.0922,0.0175,0.018,-0.0144,-0.0348,0.1023,-0.0181,-0.0014,-0.0212,-0.059
d_pcr_oi_atm5_15,fabs,30,162,-0.0061,0.0061,-0.51,0,0,0,0.0009,0.05,81,-0.0132,-0.83,81,0.1349,0.002,-0.007,-0.0254,0.0161,0.0556,-0.0507,-0.0006,-0.0284,0.0243
mp_drift_15,fabs,60,160,-0.0061,0.0061,-0.41,0,0,0,0.0025,0.12,79,-0.0144,-0.67,81,0.0571,-0.0452,0.0754,-0.052,0.0298,0.0568,-0.0083,-0.0035,-0.06,0.0154
doi_atm_15,fabs,60,162,0.006,0.006,0.42,0,0,0,-0.0244,-1.18,81,0.0365,1.84,81,0.0039,-0.0801,-0.048,-0.058,0.1338,0.0904,0.0433,-0.0076,0.0152,0.1126
d_atm_iv_15,fret,60,128,0.006,0.006,0.33,0,0,0,-0.0154,-0.6,64,0.0274,1.04,64,-0.046,0.0118,-0.0033,-0.0588,0.0134,-0.0085,0.0491,0.0616,-0.0533,0.087
