date,baseline,rsi50,vwap,volspike,htf,confluence
2025-12-02,-3062.41,-3062.41,-3062.41,0.00,-1603.53,0.00
2025-12-03,605.25,605.25,605.25,0.00,0.00,0.00
2025-12-04,624.25,624.25,624.25,0.00,624.25,0.00
2025-12-05,-2267.33,-2267.33,-2267.33,-1206.64,0.00,0.00
2025-12-08,-1362.04,-1362.04,-1362.04,-443.18,-918.86,0.00
2025-12-10,-1974.85,-1974.85,-1089.92,0.00,-108.19,0.00
2025-12-11,-1902.28,-1902.28,-1503.74,363.62,-22.71,0.00
2025-12-12,-1390.00,-1390.00,-1390.00,-525.37,-496.53,368.09
2025-12-16,-2839.60,-2839.60,-2839.60,182.59,-920.04,0.00
2025-12-17,-290.55,-290.55,-290.55,1329.57,-46.35,813.70
2025-12-18,-947.67,-947.67,-947.67,0.00,-947.67,0.00
2025-12-19,-2139.01,-2139.01,-2139.01,-2083.58,-2139.01,-2083.58
2025-12-22,-2121.46,-2121.46,-2121.46,-781.38,0.00,0.00
2025-12-24,-752.00,-752.00,-752.00,-752.00,-752.00,-752.00
2025-12-26,-1577.05,-1577.05,-1577.05,-947.32,-358.57,0.00
2025-12-29,773.30,773.30,773.30,0.00,176.76,0.00
2025-12-30,-1655.15,-1655.15,-1655.15,-981.81,-1945.86,-981.81
2026-01-01,211.07,211.07,211.07,0.00,35.26,0.00
2026-01-02,-1611.77,-1611.77,-1611.77,0.00,-784.29,0.00
2026-01-05,-3075.89,-3075.89,-3075.89,0.00,-1110.19,0.00
2026-01-06,-2968.32,-2968.32,-2968.32,-1770.18,-1757.59,-815.36
2026-01-07,-352.73,-352.73,-352.73,428.38,428.38,428.38
2026-01-09,404.87,404.87,404.87,0.00,404.87,0.00
2026-01-12,-2539.81,-2539.81,-2539.81,0.00,-2743.44,0.00
