date,long_baseline,long_volspike,long_htf,long_confluence,contra_baseline,contra_volspike,contra_htf,contra_confluence
2025-01-24,-280.21,-228.35,-228.35,-228.35,315.67,454.10,-138.43,0.00
2025-01-27,2584.93,0.00,1274.73,0.00,-2631.62,0.00,-1327.06,0.00
2025-01-28,3815.22,2181.16,0.00,0.00,-3259.77,-1766.27,-3259.77,0.00
2025-01-30,-140.76,-140.76,682.69,682.69,-664.31,-664.31,347.76,0.00
2025-01-31,-2871.00,0.00,-2871.00,0.00,911.03,0.00,-1053.90,0.00
2025-02-01,1672.57,562.05,-209.57,-1320.09,-1546.85,-318.17,-1614.12,0.00
2025-02-03,1673.88,0.00,-1224.60,0.00,-1012.92,0.00,-2113.11,0.00
2025-02-04,-143.13,-1049.83,-143.13,-1049.83,-1402.35,-274.87,0.00,0.00
2025-02-05,-487.09,-209.12,-775.94,-1016.78,-6359.35,-2096.43,-3255.01,0.00
2025-02-07,-3732.47,0.00,-2879.62,0.00,3136.13,0.00,354.85,0.00
2025-02-10,-4174.71,-2046.83,-4174.71,-2046.83,-720.05,1406.00,0.00,0.00
2025-02-11,-2411.70,-2515.99,-830.96,-1173.57,-3549.23,-345.70,-3699.05,0.00
2025-02-12,-1126.95,342.64,342.64,342.64,-2617.15,-1146.02,-1471.13,0.00
2025-02-13,-4025.01,-2580.28,800.91,-111.35,-3439.61,-2848.01,-1928.18,-1187.79
2025-02-17,-241.60,-2419.04,2242.45,0.00,-4202.79,-2421.33,-2409.21,0.00
2025-02-18,849.88,17.47,1817.58,1120.96,-5980.60,-1563.74,-2315.63,0.00
2025-02-19,-4280.54,-1835.17,0.00,0.00,-2843.56,-398.31,-2843.56,0.00
2025-02-20,-1411.32,0.00,587.83,0.00,-545.69,0.00,423.90,0.00
2025-02-21,1191.19,760.12,0.00,0.00,-3377.35,-1054.06,-3377.35,0.00
2025-02-24,-232.34,-1739.90,0.00,0.00,-5271.30,-3845.26,-5271.30,0.00
2025-02-25,-399.99,0.00,0.00,0.00,-1938.82,0.00,-1938.82,0.00
2025-02-27,-421.55,0.00,-421.55,0.00,-421.14,0.00,0.00,0.00
2025-02-28,2129.32,0.00,2129.32,0.00,-1736.19,0.00,0.00,0.00
2025-03-03,-4351.35,0.00,-2943.50,0.00,-2473.05,0.00,1469.02,0.00
2025-03-04,-936.42,-936.42,-936.42,-936.42,161.05,161.05,0.00,0.00
2025-03-06,-310.88,-310.88,-310.88,-310.88,-3370.27,-3370.27,0.00,0.00
2025-03-07,-2384.73,0.00,-2384.73,0.00,55.90,0.00,0.00,0.00
2025-03-11,-1958.19,-989.55,-1958.19,-989.55,999.94,403.29,0.00,0.00
2025-03-12,-1370.91,-1370.91,-1370.91,-1370.91,-1369.53,-1369.53,0.00,0.00
2025-03-13,-6212.06,-2241.40,-7205.39,-2241.40,-4052.15,733.41,-1169.58,0.00
2025-03-17,-1591.95,-955.32,-1591.95,-955.32,1230.10,564.88,0.00,0.00
2025-03-19,-1526.16,-1526.16,0.00,0.00,-1296.43,-1296.43,-1296.43,0.00
2025-03-20,949.32,949.32,949.32,949.32,-1148.76,-1148.76,0.00,0.00
2025-03-21,-1153.36,-1430.77,-2838.55,-2838.55,-3195.39,-2389.18,-2855.89,0.00
2025-03-24,359.36,359.36,359.36,359.36,-855.25,-855.25,0.00,0.00
2025-03-25,-3430.55,-1084.41,-919.57,0.00,-2011.99,-1085.37,-2510.47,0.00
2025-03-27,-4398.64,-3620.75,-2052.19,-1274.30,-2143.39,-217.23,-1418.42,0.00
2025-03-28,-910.82,0.00,-1405.27,0.00,388.68,0.00,-1112.82,0.00
2025-04-01,-861.11,-861.11,0.00,0.00,-1225.18,-1225.18,-1225.18,0.00
2025-04-02,2807.82,0.00,1782.64,0.00,-4158.05,0.00,-1182.95,0.00
2025-04-04,-2122.84,-885.82,-885.82,-885.82,-473.32,-1598.09,1124.76,0.00
2025-04-07,2938.40,0.00,1506.45,0.00,-2803.16,0.00,-1376.59,0.00
2025-04-09,-3881.54,-1224.10,-1224.10,-1224.10,-3181.35,-521.27,-2660.08,0.00
2025-04-15,-961.46,-961.46,0.00,0.00,-960.69,-960.69,-960.69,0.00
2025-04-16,-286.50,1058.50,-1345.00,0.00,143.50,-1202.18,-1202.18,0.00
2025-04-17,-1887.09,-1887.09,-1887.09,-1887.09,-1889.25,-1889.25,0.00,0.00
2025-04-21,635.43,635.43,0.00,0.00,-993.07,-993.07,-993.07,0.00
2025-04-22,-1554.27,-932.29,412.20,13.09,-1585.13,-674.68,-55.58,0.00
2025-04-23,-417.42,-1031.55,-417.42,-1031.55,-266.96,715.71,0.00,0.00
2025-04-24,-1611.08,-294.80,-1611.08,649.65,833.90,-1942.04,-943.70,0.00
2025-04-25,811.65,0.00,0.00,0.00,-1079.72,0.00,-1079.72,0.00
2025-04-28,-949.35,0.00,0.00,0.00,556.78,0.00,556.78,0.00
2025-04-29,-4647.29,-2413.18,-1063.92,0.00,1594.69,-177.71,810.72,0.00
2025-04-30,-3916.89,-2975.57,-3135.34,-2194.03,-3781.72,-3420.44,-1228.35,0.00
2025-05-02,-2219.31,-1125.33,-1093.97,0.00,-2219.26,-1124.32,-1124.32,0.00
2025-05-06,-963.47,0.00,0.00,0.00,-964.24,0.00,-964.24,0.00
2025-05-07,413.62,0.00,413.62,0.00,-882.06,0.00,0.00,0.00
2025-05-08,1122.72,-296.04,1122.72,-296.04,-2565.17,-1182.12,0.00,0.00
2025-05-09,2187.16,0.00,0.00,0.00,-1767.80,0.00,-1767.80,0.00
2025-05-12,-1071.39,-1071.39,-1071.39,-1071.39,796.13,796.13,0.00,0.00
2025-05-14,-341.64,610.85,-341.64,610.85,-624.32,-977.21,0.00,0.00
2025-05-15,3943.43,3943.43,3943.43,3943.43,-4655.54,-4655.54,0.00,0.00
2025-05-16,-4266.51,-2252.70,-811.22,200.83,-2567.33,-2222.05,-780.03,0.00
