symbol,timeframe,variant,direction,exit_policy,n_signals,mean_net_pts,std_net_pts,median_net_pts,mean_net_pct,std_net_pct,win_rate,avg_win_pct,avg_loss_pct,payoff_ratio,mean_mfe_pct,mean_mae_pct,capture_efficiency,sharpe_score,expectancy_pct
KOTAKBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_ATR_SL_0.3,10,-10.062,2.2045,-11.0928,-0.005693,0.001122,0.0,0.0,-0.5693,0.0,0.29,1.003,-1.9633,-0.0,-0.5693
HINDUNILVR,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_ATR_SL_0.3,13,-12.5512,2.5383,-12.5679,-0.005385,0.001069,0.0,0.0,-0.5385,0.0,0.1096,1.1443,-4.9138,-0.0,-0.5385
TCS,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,T_ATR_SL_1.0,6,-2.1743,34.7057,11.5,-0.000107,0.008868,66.67,0.505,-1.0423,0.485,0.5899,1.2849,-0.0182,-0.00808,-0.0108
TCS,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,T_CHANDELIER_1.0,6,-2.1743,34.7057,11.5,-0.000107,0.008868,66.67,0.505,-1.0423,0.485,0.5899,1.2849,-0.0182,-0.00808,-0.0108
HDFCBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_CHANDELIER_1.5,10,-0.1064,5.2845,-0.8,-0.000211,0.008107,40.0,0.7222,-0.5167,1.398,0.802,0.7741,-0.0263,-0.01042,-0.0211
HDFCBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_NO,10,-0.15,5.3309,-0.8,-0.00029,0.008207,40.0,0.7222,-0.5299,1.363,0.802,0.7741,-0.0362,-0.01415,-0.029
HDFCBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_ATR_SL_1.0,10,-0.15,5.3309,-0.8,-0.00029,0.008207,40.0,0.7222,-0.5299,1.363,0.802,0.7741,-0.0362,-0.01415,-0.029
HDFCBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_CHANDELIER_2.0,10,-0.15,5.3309,-0.8,-0.00029,0.008207,40.0,0.7222,-0.5299,1.363,0.802,0.7741,-0.0362,-0.01415,-0.029
HINDUNILVR,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_CHANDELIER_2.0,13,-1.4938,27.6636,-3.25,-0.000405,0.012579,46.15,0.9082,-0.8536,1.064,1.1572,1.4445,-0.035,-0.01485,-0.0405
ICICIBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,T_ATR_SL_0.3,6,0.241,6.6764,-2.5311,-0.00048,0.009628,33.33,1.2147,-0.6794,1.788,0.7034,0.7376,-0.0682,-0.01662,-0.048
