,close
2025-10-01,25502.95
2025-10-03,25569.3
2025-10-06,25740.95
2025-10-07,25772.25
2025-10-08,25685.9
2025-10-09,25825.7
2025-10-10,25924.75
2025-10-13,25867.75
2025-10-14,25775.15
2025-10-15,25984.05
2025-10-16,26229.2
2025-10-17,26329.8
2025-10-20,26449.75
2025-10-21,26475.85
2025-10-23,26490.05
2025-10-24,26402.8
2025-10-27,26565.0
2025-10-28,26517.45
2025-10-29,26679.25
2025-10-30,26518.85
2025-10-31,26369.5
2025-11-03,26445.85
2025-11-04,26284.45
2025-11-06,26154.95
2025-11-07,26144.2
2025-11-10,26230.8
2025-11-11,26340.0
2025-11-12,26500.0
2025-11-13,26505.6
2025-11-14,26528.0
2025-11-17,26639.4
2025-11-18,26519.0
2025-11-19,26640.5
2025-11-20,26755.5
2025-11-21,26593.2
2025-11-24,26458.25
2025-11-25,26405.3
2025-11-26,26743.05
2025-11-27,26744.35
2025-11-28,26737.8
2025-12-01,26719.75
2025-12-02,26592.85
2025-12-03,26506.1
2025-12-04,26557.0
2025-12-05,26696.9
2025-12-08,26415.55
2025-12-09,26337.35
2025-12-10,26259.25
2025-12-11,26402.45
2025-12-12,26565.1
2025-12-15,26555.35
2025-12-16,26394.5
2025-12-17,26342.65
2025-12-18,26324.65
2025-12-19,26488.0
2025-12-22,26693.2
2025-12-23,26713.15
2025-12-24,26674.5
2025-12-26,26589.35
2025-12-29,26483.45
2025-12-30,26482.55
2025-12-31,26689.3
