variant,symbol,date,direction,or_high,or_low,entry_time,entry,stop,target,qty,rsi_at_entry,vwap_at_entry,gap_pct,exit_time,exit_price,exit_reason,trailed,gross_pnl,cost,net_pnl
target_2.0R,ADANIPORTS,2024-08-13,SHORT,1517.45,1497.25,2024-08-13T10:40:00,1497.00,1486.78,1456.10,33,29.29,1503.81,0.003,2024-08-13T14:00:00,1486.78,TRAIL,1,337.42,246.16,91.26
target_2.0R,BAJAJ-AUTO,2024-08-13,LONG,9486.50,9411.50,2024-08-13T13:15:00,9494.50,9411.50,9660.50,5,68.86,9458.67,-0.0012,2024-08-13T15:20:00,9440.50,EOD,0,-270.00,236.69,-506.69
target_2.0R,ADANIPORTS,2024-08-16,SHORT,1477.00,1468.00,2024-08-16T09:50:00,1466.55,1477.00,1445.65,34,27.79,1471.35,0.0063,2024-08-16T13:10:00,1477.00,STOP,0,-355.30,250.20,-605.50
target_2.0R,ASIANPAINT,2024-08-16,SHORT,3054.00,3025.50,2024-08-16T09:50:00,3024.65,3054.00,2965.95,16,81.63,3034.34,0.0093,2024-08-16T15:20:00,3054.00,STOP,0,-469.60,243.15,-712.75
target_2.0R,BAJAJFINSV,2024-08-16,SHORT,1548.00,1532.50,2024-08-16T09:50:00,1529.45,1548.00,1492.35,32,58.36,1537.63,0.0064,2024-08-16T14:20:00,1548.00,STOP,0,-593.60,246.20,-839.80
target_2.0R,BAJAJ-AUTO,2024-08-16,SHORT,9615.00,9500.50,2024-08-16T10:15:00,9499.00,9615.00,9267.00,5,69.11,9563.38,0.0039,2024-08-16T15:00:00,9615.00,STOP,0,-580.00,238.93,-818.92
target_2.0R,AMBUJACEM,2024-08-16,SHORT,630.15,625.00,2024-08-16T11:00:00,624.85,630.15,614.25,80,44.28,626.19,0.0029,2024-08-16T12:10:00,630.15,STOP,0,-424.00,251.00,-675.00
target_2.0R,BAJAJ-AUTO,2024-08-19,SHORT,9698.00,9614.00,2024-08-19T09:55:00,9611.50,9568.25,9438.50,5,79.67,9649.04,0.0039,2024-08-19T14:35:00,9568.25,TRAIL,1,216.25,239.75,-23.50
target_2.0R,ADANIPORTS,2024-08-19,SHORT,1507.00,1495.00,2024-08-19T10:20:00,1494.75,1507.00,1470.25,33,33.02,1498.82,0.005,2024-08-19T15:20:00,1496.90,EOD,0,-70.95,246.81,-317.76
target_2.0R,BAJAJFINSV,2024-08-19,SHORT,1563.90,1550.00,2024-08-19T10:55:00,1549.50,1563.90,1520.70,32,29.22,1552.88,0.009,2024-08-19T15:20:00,1552.40,EOD,0,-92.80,248.15,-340.95
target_2.0R,ASIANPAINT,2024-08-19,LONG,3068.90,3048.15,2024-08-19T11:30:00,3071.35,3048.15,3117.75,16,46.93,3058.57,0.0019,2024-08-19T15:20:00,3076.95,EOD,0,89.60,245.93,-156.33
target_2.0R,ASIANPAINT,2024-08-20,LONG,3098.00,3078.00,2024-08-20T09:55:00,3100.75,3078.00,3146.25,16,35.51,3092.99,0.0064,2024-08-20T15:20:00,3103.05,EOD,0,36.80,248.15,-211.35
target_2.0R,AMBUJACEM,2024-08-20,SHORT,639.45,630.60,2024-08-20T10:15:00,630.15,639.45,611.55,79,38.66,632.52,0.0036,2024-08-20T15:20:00,627.35,EOD,0,221.20,248.36,-27.16
target_2.0R,BAJAJ-AUTO,2024-08-20,LONG,9599.00,9530.50,2024-08-20T10:15:00,9603.50,9530.50,9749.50,5,32.16,9571.38,0.0002,2024-08-20T14:15:00,9530.50,STOP,0,-365.00,239.18,-604.17
target_2.0R,ADANIPORTS,2024-08-20,SHORT,1510.00,1492.20,2024-08-20T11:30:00,1491.55,1510.00,1454.65,33,29.81,1496.16,0.0057,2024-08-20T15:20:00,1493.90,EOD,0,-77.55,246.30,-323.85
target_2.0R,BAJAJFINSV,2024-08-23,LONG,1634.80,1623.20,2024-08-23T11:25:00,1635.90,1642.25,1661.30,30,71.71,1632.09,0.0014,2024-08-23T15:20:00,1642.25,TRAIL,1,190.50,245.86,-55.36
target_2.0R,ADANIPORTS,2024-08-23,SHORT,1503.00,1491.70,2024-08-23T12:20:00,1491.65,1503.00,1468.95,33,47.73,1495.83,0.0005,2024-08-23T15:20:00,1491.05,EOD,0,19.80,246.07,-226.27
target_2.0R,ASIANPAINT,2024-08-23,SHORT,3198.60,3161.05,2024-08-23T12:55:00,3160.00,3198.60,3082.80,15,51.15,3169.5,0.0011,2024-08-23T15:20:00,3151.15,EOD,0,132.75,236.67,-103.92
target_2.0R,ADANIPORTS,2024-08-27,LONG,1490.65,1479.00,2024-08-27T09:45:00,1491.65,1479.00,1516.95,33,48.56,1485.38,0.0016,2024-08-27T14:35:00,1479.00,STOP,0,-417.45,245.08,-662.53
target_2.0R,ASIANPAINT,2024-08-27,LONG,3168.90,3150.00,2024-08-27T09:45:00,3171.30,3150.00,3213.90,15,53.64,3159.04,-0.0055,2024-08-27T15:20:00,3159.55,EOD,0,-176.25,237.41,-413.66
target_2.0R,BAJAJFINSV,2024-08-27,SHORT,1702.35,1675.35,2024-08-27T10:10:00,1673.65,1702.35,1616.25,29,68.64,1687.93,0.0,2024-08-27T11:30:00,1702.35,STOP,0,-832.30,244.76,-1077.06
target_2.0R,AMBUJACEM,2024-08-27,SHORT,629.85,624.20,2024-08-27T13:00:00,624.05,629.85,612.45,80,37.82,626.89,0.0018,2024-08-27T15:20:00,624.70,EOD,0,-52.00,249.75,-301.75
target_2.0R,BAJAJ-AUTO,2024-08-28,LONG,10297.50,10202.50,2024-08-28T10:35:00,10306.50,10358.50,10514.50,4,61.71,10255.82,-0.0001,2024-08-28T15:20:00,10387.00,EOD,1,322.00,206.94,115.06
target_2.0R,ADANIPORTS,2024-08-28,LONG,1482.00,1476.00,2024-08-28T11:00:00,1482.30,1476.00,1494.90,33,65.81,1481.74,0.0007,2024-08-28T14:40:00,1476.00,STOP,0,-207.90,244.06,-451.96
target_2.0R,BAJAJFINSV,2024-08-29,LONG,1736.55,1711.55,2024-08-29T09:45:00,1744.40,1760.83,1810.10,28,56.7,1732.51,0.0015,2024-08-29T15:00:00,1760.83,TRAIL,1,459.90,245.37,214.53
target_2.0R,ADANIPORTS,2024-08-29,SHORT,1475.40,1468.00,2024-08-29T10:10:00,1467.00,1475.40,1450.20,34,69.82,1471.05,0.0015,2024-08-29T12:35:00,1475.40,STOP,0,-285.60,250.10,-535.70
target_2.0R,AMBUJACEM,2024-08-29,SHORT,619.00,607.10,2024-08-29T10:10:00,605.45,619.00,578.35,82,59.25,609.79,0.0021,2024-08-29T15:20:00,613.40,EOD,0,-651.90,249.86,-901.76
target_2.0R,ASIANPAINT,2024-08-29,SHORT,3134.25,3115.90,2024-08-29T11:35:00,3115.55,3106.20,3078.15,16,49.85,3127.77,0.0,2024-08-29T14:00:00,3106.20,TRAIL,1,149.60,248.87,-99.27
target_2.0R,BAJAJFINSV,2024-09-02,LONG,1810.00,1787.80,2024-09-02T10:00:00,1816.00,1830.10,1872.40,27,50.58,1803.43,0.0075,2024-09-02T15:20:00,1839.00,EOD,1,621.00,246.71,374.29
target_2.0R,ADANIPORTS,2024-09-02,SHORT,1493.30,1483.05,2024-09-02T10:10:00,1482.35,1493.30,1460.45,33,78.22,1487.18,0.0055,2024-09-02T14:25:00,1493.30,STOP,0,-361.35,245.49,-606.84
target_2.0R,AMBUJACEM,2024-09-02,SHORT,624.20,618.00,2024-09-02T10:15:00,617.70,624.20,604.70,80,61.18,620.07,0.0048,2024-09-02T15:20:00,620.65,EOD,0,-236.00,247.67,-483.67
