book,venue,day,dte_trd,cfg,entry_hm,win_end,sl_shape,qty,lots,mode,mgmt,k_actual,k_fwd,misstrike,steps_off,fwd,spot_rec,booked_credit,booked_exit,booked_reason,booked_exit_ts,booked_pnl,rep_a_credit,rep_a_exit,rep_a_reason,rep_a_exit_hm,rep_a_gross,rep_a_net,rep_f_credit,rep_f_exit,rep_f_reason,rep_f_exit_hm,rep_f_gross,rep_f_net,delta_net,dwell_mode
CSL30F_SENSEX,SENSEX,2026-08-14,4,09:16->15:20 SL30,09:16,15:20,30,60,3,PAPER,,77800,77900,1,1,77937.35,77774.37,884.7,848.35,TIME_EXIT,15:20:01,2021,876.15,851.05,TIME,15:20,1506,1359,869.55,821.6,TIME,15:20,2877,2731,1372,DWELL2
NAS_C20_TRAIL,NIFTY,2026-08-14,2,09:16->15:20 SL20,09:16,15:20,20,130,2,PAPER,trail,24300,24350,1,1,24370.1,24329.0,201.45,198.45,TIME_EXIT,15:20:01,230,200.7,198.55,TIME,15:20,279,166,192.1,178.2,TIME,15:20,1807,1696,1530,DWELL2
NAS_C20_SHIFT,NIFTY,2026-08-14,2,09:16->15:20 SL20,09:16,15:20,20,130,2,PAPER,shift,24300,24350,1,1,24370.1,24329.0,201.45,198.45,TIME_EXIT,15:20:01,230,200.7,198.55,TIME,15:20,279,166,192.1,178.2,TIME,15:20,1807,1696,1530,DWELL2
CSL_TIMEB_NIFTY,NIFTY,2026-08-17,1,13:00->14:00 SL20,13:00,14:00,20,390,6,REAL,,24350,24400,1,1,24375.95,24334.0,124.35,120.85,TIME_EXIT,14:00:03,1205,125.05,121.1,TIME,14:00,1540,1254,125.8,119.0,TIME,14:00,2652,2366,1111,DWELL2
CSL_TIMEB_SENSEX,SENSEX,2026-08-17,3,13:00->14:00 SL20,13:00,14:00,20,120,6,PAPER,,77800,78000,1,2,78002.5,77841.43,693.25,686.35,TIME_EXIT,14:00:03,668,693.5,684.95,TIME,14:00,1026,771,670.8,658.45,TIME,14:00,1482,1233,461,DWELL2
NAS_COMB20,NIFTY,2026-08-17,1,09:16->15:20 SL30,09:16,15:20,30,130,2,PAPER,,24300,24300,0,0,24323.6,24307.95,133.35,133.05,TIME_EXIT,15:20:10,-121,135.0,133.05,TIME,15:20,253,156,135.0,133.05,TIME,15:20,253,156,0,DWELL2
CSL_TIMEB_NIFTY,NIFTY,2026-08-18,0,09:30->11:00 SL25,09:30,11:00,25,520,8,REAL,,24250,24250,0,0,24237.15,24245.1,81.8,77.25,TIME_EXIT,11:00:03,2206,80.45,78.5,TIME,11:00,1014,676,80.45,78.5,TIME,11:00,1014,676,0,DWELL2
CSL_TIMEB_SENSEX,SENSEX,2026-08-18,2,09:25->11:00 SL20,09:25,11:00,20,120,6,PAPER,,77500,77600,1,1,77555.15,77498.77,588.95,569.45,TIME_EXIT,11:00:03,2180,594.05,573.1,TIME,11:00,2514,2282,592.65,592.35,TIME,11:00,36,-196,-2479,DWELL2
NAS_COMB20,NIFTY,2026-08-18,0,09:16->15:20 SL25,09:16,15:20,25,130,2,PAPER,,24250,24250,0,0,24241.0,24244.35,86.95,58.45,TIME_EXIT,15:20:15,3545,87.6,57.25,TIME,15:20,3945,3861,87.6,57.25,TIME,15:20,3945,3861,0,DWELL2
CSL30F_SENSEX,SENSEX,2026-08-18,2,09:16->15:20 SL30,09:16,15:20,30,60,3,PAPER,,77500,77600,1,1,77567.65,77527.32,575.2,531.3,TIME_EXIT,15:20:00,2474,585.65,531.3,TIME,15:20,3261,3147,581.5,547.95,TIME,15:20,2013,1899,-1248,DWELL2
