symbol,pattern,direction,n_sessions,n_trades,win_rate,avg_win,avg_loss,profit_factor,max_dd_pct,sharpe,total_return_pct
FDC,vwap_v,short,442,274,0.2993,0.8298,-0.3867,0.916,14.954,-0.615,-6.21
FINCABLES,vwap_v,long,442,231,0.2987,0.9038,-0.3843,1.002,13.637,0.012,0.1
FINCABLES,vwap_v,short,442,218,0.3165,0.7915,-0.3866,0.948,8.902,-0.374,-2.99
FINPIPE,vwap_v,long,442,249,0.2731,0.8563,-0.3903,0.824,15.603,-1.373,-12.42
FINPIPE,vwap_v,short,442,235,0.3277,0.8058,-0.3903,1.006,13.47,0.044,0.39
FORTIS,vwap_v,long,442,252,0.3294,0.8417,-0.3802,1.087,10.396,0.585,5.62
FORTIS,vwap_v,short,442,268,0.3507,0.7841,-0.3883,1.091,9.434,0.611,6.15
FSL,vwap_v,long,442,258,0.3643,0.8994,-0.3928,1.312,6.8,1.927,20.13
FSL,vwap_v,short,442,220,0.3227,0.9286,-0.3947,1.121,9.516,0.812,7.12
GARFIBRES,vwap_v,long,442,273,0.2344,0.8507,-0.3948,0.66,29.103,-2.964,-28.06
GARFIBRES,vwap_v,short,442,269,0.2862,0.8729,-0.3923,0.892,13.056,-0.806,-8.1
GESHIP,vwap_v,long,442,226,0.3319,0.8363,-0.3924,1.059,5.05,0.401,3.47
GESHIP,vwap_v,short,442,241,0.39,0.8226,-0.3869,1.36,6.955,2.154,20.45
GHCL,vwap_v,long,442,258,0.2364,0.8591,-0.392,0.679,28.561,-2.753,-24.81
GHCL,vwap_v,short,442,246,0.2886,0.839,-0.3949,0.862,14.124,-1.055,-9.53
GICRE,vwap_v,long,442,233,0.3948,0.7696,-0.3889,1.291,6.461,1.773,15.96
GICRE,vwap_v,short,442,226,0.3407,0.8143,-0.3871,1.087,10.872,0.584,5.02
GILLETTE,vwap_v,long,442,256,0.2656,0.8498,-0.3833,0.802,22.289,-1.547,-14.27
GILLETTE,vwap_v,short,442,252,0.4048,0.8212,-0.3843,1.453,5.059,2.63,26.12
GLENMARK,vwap_v,long,442,278,0.295,0.8157,-0.3931,0.868,15.096,-1.004,-10.17
GLENMARK,vwap_v,short,442,275,0.3636,0.8145,-0.3904,1.192,7.595,1.241,13.14
GMDCLTD,vwap_v,long,442,215,0.3163,0.9449,-0.3967,1.102,6.07,0.691,5.94
GMDCLTD,vwap_v,short,442,234,0.3077,0.8875,-0.3988,0.989,10.036,-0.078,-0.7
GNFC,vwap_v,long,442,258,0.2907,0.697,-0.3792,0.753,25.638,-1.969,-17.12
GNFC,vwap_v,short,442,251,0.3904,0.7151,-0.382,1.199,5.673,1.258,11.63
GODFRYPHLP,vwap_v,long,442,228,0.2807,0.9439,-0.3876,0.95,9.724,-0.36,-3.15
GODFRYPHLP,vwap_v,short,442,220,0.3136,0.8608,-0.3987,0.987,11.754,-0.097,-0.81
GODREJAGRO,vwap_v,long,442,262,0.2672,0.8876,-0.397,0.815,15.841,-1.46,-14.1
GODREJAGRO,vwap_v,short,442,263,0.3346,0.7973,-0.391,1.025,8.178,0.177,1.74
GODREJCP,vwap_v,long,442,284,0.3627,0.7536,-0.382,1.123,10.592,0.8,8.48
GODREJCP,vwap_v,short,442,267,0.2884,0.6837,-0.3887,0.713,22.575,-2.408,-21.21
GODREJIND,vwap_v,long,442,251,0.2749,0.8548,-0.394,0.822,14.703,-1.385,-12.73
GODREJIND,vwap_v,short,442,244,0.3238,0.8321,-0.3937,1.012,10.833,0.083,0.77
GPPL,vwap_v,long,442,206,0.2767,0.8196,-0.3741,0.838,12.096,-1.229,-9.02
GPPL,vwap_v,short,442,243,0.4115,0.7315,-0.386,1.325,5.334,1.958,17.95
GRANULES,vwap_v,long,442,262,0.3702,0.8836,-0.3954,1.314,5.0,1.939,20.47
GRANULES,vwap_v,short,442,263,0.289,0.9192,-0.3971,0.941,17.361,-0.436,-4.4
GRAPHITE,vwap_v,long,442,241,0.3195,0.9419,-0.3986,1.11,12.592,0.74,7.16
GRAPHITE,vwap_v,short,442,245,0.4245,0.8905,-0.4,1.642,4.2,3.568,36.21
GRINDWELL,vwap_v,long,442,266,0.3008,0.7624,-0.3933,0.834,20.338,-1.278,-12.16
GRINDWELL,vwap_v,short,442,247,0.3239,0.8279,-0.386,1.028,6.177,0.192,1.78
GSFC,vwap_v,long,442,251,0.2749,0.742,-0.3935,0.715,23.384,-2.371,-20.41
GSFC,vwap_v,short,442,251,0.3745,0.7563,-0.3965,1.142,5.797,0.937,8.83
GSPL,vwap_v,long,442,234,0.2863,0.8086,-0.3841,0.845,18.302,-1.189,-9.96
GSPL,vwap_v,short,442,241,0.332,0.7922,-0.386,1.02,10.886,0.137,1.22
GUJGASLTD,vwap_v,long,442,252,0.3532,0.8014,-0.393,1.113,7.991,0.757,7.27
GUJGASLTD,vwap_v,short,442,240,0.3208,0.801,-0.3866,0.979,8.997,-0.152,-1.34
GULFOILLUB,vwap_v,long,442,234,0.2991,0.8697,-0.3958,0.938,11.511,-0.454,-4.02
GULFOILLUB,vwap_v,short,442,243,0.3539,0.8904,-0.3877,1.258,6.6,1.622,15.7
HDFCAMC,vwap_v,long,442,263,0.289,0.7093,-0.3751,0.769,22.893,-1.833,-16.23
HDFCAMC,vwap_v,short,442,261,0.4023,0.7299,-0.3815,1.288,6.859,1.758,17.12
HEG,vwap_v,long,442,221,0.3077,0.919,-0.3955,1.033,7.717,0.228,1.98
HEG,vwap_v,short,442,244,0.377,0.8434,-0.395,1.292,7.339,1.817,17.55
HEIDELBERG,vwap_v,long,442,264,0.2803,0.7593,-0.3878,0.763,23.805,-1.906,-17.48
HEIDELBERG,vwap_v,short,442,251,0.3267,0.693,-0.3813,0.882,17.336,-0.877,-7.6
HERITGFOOD,vwap_v,long,442,239,0.3054,0.8704,-0.3826,1.0,14.588,0.002,0.02
HERITGFOOD,vwap_v,short,442,224,0.3571,0.7284,-0.3974,1.018,7.881,0.126,1.04
