symbol,pattern,direction,n_sessions,n_trades,win_rate,avg_win,avg_loss,profit_factor,max_dd_pct,sharpe,total_return_pct
DIXON,compression,short,442,120,0.3917,0.8394,-0.3612,1.496,2.849,2.802,13.09
DMART,compression,long,442,295,0.3661,0.7038,-0.3741,1.087,7.341,0.569,6.06
DMART,compression,short,442,136,0.3971,0.7114,-0.3759,1.246,6.021,1.512,7.6
ECLERX,compression,long,442,276,0.2935,0.9421,-0.3929,0.996,13.197,-0.029,-0.31
ECLERX,compression,short,442,80,0.3875,0.8893,-0.4,1.407,6.2,2.419,7.97
EDELWEISS,compression,long,442,207,0.3043,0.9137,-0.3934,1.016,6.66,0.114,0.92
EDELWEISS,compression,short,442,75,0.3867,0.873,-0.3968,1.387,5.2,2.31,7.06
EIDPARRY,compression,long,442,269,0.2677,0.8854,-0.3927,0.824,23.447,-1.375,-13.61
EIDPARRY,compression,short,442,87,0.2989,0.8011,-0.3944,0.866,5.035,-1.014,-3.23
EIHOTEL,compression,long,442,274,0.2701,0.8109,-0.3919,0.766,20.77,-1.883,-18.37
EIHOTEL,compression,short,442,96,0.4062,0.8553,-0.389,1.504,3.809,2.875,11.18
ELGIEQUIP,compression,long,442,258,0.2248,0.8478,-0.3859,0.637,28.908,-3.199,-28.0
ELGIEQUIP,compression,short,442,116,0.3879,0.7773,-0.3904,1.262,4.756,1.624,7.26
EMAMILTD,compression,long,442,297,0.3401,0.8494,-0.3896,1.123,11.24,0.822,9.43
EMAMILTD,compression,short,442,66,0.2424,0.7871,-0.3655,0.689,6.283,-2.537,-5.68
ENDURANCE,compression,long,442,264,0.3068,0.8917,-0.3892,1.014,13.407,0.099,1.0
ENDURANCE,compression,short,442,113,0.3982,0.7836,-0.3796,1.366,3.894,2.161,9.45
ENGINERSIN,compression,long,442,213,0.3521,0.8243,-0.3938,1.138,10.13,0.904,7.48
ENGINERSIN,compression,short,442,99,0.3939,0.7399,-0.3825,1.257,4.088,1.608,5.91
ERIS,compression,long,442,267,0.3483,0.8268,-0.3883,1.138,6.815,0.908,9.33
ERIS,compression,short,442,95,0.4105,0.8146,-0.3858,1.47,2.0,2.707,10.16
ESCORTS,compression,long,442,295,0.3051,0.7885,-0.3867,0.895,15.925,-0.781,-8.3
ESCORTS,compression,short,442,136,0.375,0.727,-0.3956,1.103,5.214,0.687,3.45
EXIDEIND,compression,long,442,288,0.3299,0.7271,-0.3841,0.932,11.227,-0.493,-5.06
EXIDEIND,compression,short,442,114,0.3246,0.6784,-0.3795,0.859,6.771,-1.059,-4.12
FDC,compression,long,442,307,0.2866,0.9128,-0.3898,0.941,7.6,-0.431,-5.03
FDC,compression,short,442,129,0.3953,0.7901,-0.3888,1.329,3.977,1.978,9.97
FINCABLES,compression,long,442,246,0.3049,0.8718,-0.3873,0.987,13.676,-0.09,-0.84
FINCABLES,compression,short,442,107,0.4112,0.6768,-0.3652,1.294,3.2,1.774,6.77
FINPIPE,compression,long,442,271,0.31,0.8584,-0.382,1.009,7.801,0.066,0.68
FINPIPE,compression,short,442,101,0.4653,0.8011,-0.394,1.77,2.202,4.036,16.38
FORTIS,compression,long,442,299,0.3211,0.8737,-0.3848,1.074,6.193,0.501,5.76
FORTIS,compression,short,442,114,0.3596,0.7384,-0.3916,1.059,7.12,0.4,1.68
FSL,compression,long,442,244,0.3811,0.8906,-0.386,1.421,6.093,2.483,24.54
FSL,compression,short,442,78,0.4487,0.8441,-0.4,1.718,3.0,3.904,12.35
GARFIBRES,compression,long,442,263,0.2395,0.9006,-0.3934,0.721,24.237,-2.338,-21.94
GARFIBRES,compression,short,442,100,0.36,0.8605,-0.3967,1.22,4.993,1.408,5.59
GESHIP,compression,long,442,254,0.315,0.8387,-0.3897,0.99,7.945,-0.073,-0.7
GESHIP,compression,short,442,100,0.37,0.7178,-0.3819,1.104,3.615,0.682,2.5
GHCL,compression,long,442,268,0.2836,0.8329,-0.3873,0.851,15.704,-1.132,-11.05
GHCL,compression,short,442,115,0.2783,0.8556,-0.3817,0.864,8.675,-1.022,-4.3
GICRE,compression,long,442,254,0.3465,0.7783,-0.391,1.055,9.234,0.375,3.59
GICRE,compression,short,442,110,0.3455,0.7871,-0.3862,1.076,9.338,0.509,2.1
GILLETTE,compression,long,442,299,0.2308,0.8277,-0.3875,0.641,36.357,-3.161,-32.01
GILLETTE,compression,short,442,107,0.4486,0.7762,-0.3964,1.593,4.415,3.311,13.87
GLENMARK,compression,long,442,319,0.3103,0.8015,-0.39,0.925,20.056,-0.552,-6.46
