label,universe,top_n,cash_leg,roc,ma,cost_bps,cagr,sharpe,sortino,max_drawdown,calmar,vol,turnover_annual,pct_in_cash,n_months,start,end,final_mult
ext5_top3_nocash_blend_ma6,ext5,3,False,blend,ma6,20.0,14.89,1.078,1.913,-18.25,0.816,13.83,1.97,0.0,125,2016-02-29,2026-06-30,4.247
ext5_top3_nocash_blend_noma,ext5,3,False,blend,noma,20.0,14.89,1.078,1.913,-18.25,0.816,13.83,1.97,0.0,125,2016-02-29,2026-06-30,4.247
ext5_top3_nocash_blend_ma10,ext5,3,False,blend,ma10,20.0,14.89,1.078,1.913,-18.25,0.816,13.83,1.97,0.0,125,2016-02-29,2026-06-30,4.247
ext5_top3_cash_roc12_ma6,ext5,3,True,roc12,ma6,20.0,10.25,0.942,1.335,-16.21,0.632,11.04,3.06,16.3,125,2016-02-29,2026-06-30,2.763
ext5_top3_cash_roc12_noma,ext5,3,True,roc12,noma,20.0,10.83,0.852,1.237,-18.89,0.573,13.12,2.06,4.5,125,2016-02-29,2026-06-30,2.917
ext5_top3_cash_roc12_ma10,ext5,3,True,roc12,ma10,20.0,10.95,0.919,1.362,-16.45,0.665,12.15,2.51,9.3,125,2016-02-29,2026-06-30,2.952
ext5_top3_cash_roc6_ma6,ext5,3,True,roc6,ma6,20.0,10.32,0.898,1.422,-18.25,0.566,11.75,2.79,18.3,131,2015-08-31,2026-06-30,2.922
ext5_top3_cash_roc6_noma,ext5,3,True,roc6,noma,20.0,11.1,0.865,1.414,-21.74,0.511,13.21,2.43,10.2,131,2015-08-31,2026-06-30,3.156
ext5_top3_cash_roc6_ma10,ext5,3,True,roc6,ma10,20.0,11.41,0.918,1.712,-21.74,0.525,12.67,2.57,11.3,127,2015-12-31,2026-06-30,3.137
ext5_top3_cash_blend_ma6,ext5,3,True,blend,ma6,20.0,10.73,0.955,1.462,-16.21,0.662,11.4,3.15,13.1,125,2016-02-29,2026-06-30,2.892
ext5_top3_cash_blend_noma,ext5,3,True,blend,noma,20.0,11.87,0.931,1.518,-20.73,0.573,13.0,2.35,4.3,125,2016-02-29,2026-06-30,3.217
ext5_top3_cash_blend_ma10,ext5,3,True,blend,ma10,20.0,13.16,1.081,1.997,-16.54,0.795,12.16,2.38,7.2,125,2016-02-29,2026-06-30,3.623
