,three_asset,nifty
2023-01-31,12.46161783140225,9.273250239693205
2023-02-28,12.400306423504913,9.093959731543636
2023-03-31,13.00321547702589,9.101629913710465
2023-04-30,13.170676516492668,9.457813998082466
2023-05-31,13.76071948700988,9.763183125599246
2023-06-30,13.938922805428394,10.09635666347077
2023-07-31,14.475819249057007,10.430488974113148
2023-08-31,14.255014011348889,10.199904122722927
2023-09-30,14.118767427821192,10.390699904122735
2023-10-31,14.09871039013063,10.114093959731555
2023-11-30,14.98445692285571,10.648609779482276
2023-12-31,15.687139593421747,11.488494726749774
2024-01-31,15.817203575746017,11.517737296260803
2024-02-29,15.953351566014037,11.661073825503372
2024-03-31,16.624774884407252,11.838926174496661
2024-04-30,16.939456387934424,11.987535953978924
2024-05-31,17.22488066016905,12.039789069990428
2024-06-30,18.008898893999678,12.822627037392158
2024-07-31,17.806285810618594,13.31495685522533
2024-08-31,18.21594955504442,13.474592521572404
2024-09-30,18.782138998270337,13.824544582933864
2024-10-31,18.851470180427164,12.97411313518698
2024-11-30,18.95005546597772,12.937679769894554
2024-12-31,20.180393068227392,12.678331735378734
2025-01-31,20.420548998490826,12.607861936721015
2025-02-28,19.50285994282237,11.910354745925233
2025-03-31,20.08120370591702,12.617929050814974
2025-04-30,20.31048068662443,13.03883029721958
2025-05-31,20.87250771526844,13.325503355704718
2025-06-30,21.671345075315532,13.734899328859079
2025-07-31,22.261632824174786,13.387344199424756
2025-08-31,22.32219035160556,13.233940556088227
2025-09-30,23.931631268151307,13.303930968360518
2025-10-31,25.463742580214728,13.95397890699906
2025-11-30,25.567598347450172,14.213326941514882
2025-12-31,25.976491816617216,14.156759348034537
2026-01-31,27.33710184325732,13.745445829338468
2026-02-28,27.112459256351848,13.676414189837029
2026-03-31,25.64345452121217,12.149568552253134
2026-04-30,28.924473955078227,13.039789069990432
2026-05-31,30.37245047464616,12.837008628954957
2026-06-30,29.30154334542511,12.840843720038372
